,x,
Baseball Bog,1,
Belmont Bog,1,
Burden Lake,1,
Canyon Lake,1,
Clear Pond (US:New York),1,
Clear Pond (US:South Carolina),1,
Deer Lake Bog,1,
Frains Lake,1,
Hack Pond,1,
Hell's Kitchen Lake,1,
High Lake,1,
Lac aux Quenouilles,1,
Lac Dufresne,1,
Lac Marcotte,1,
Lake Lacawac,1,
Mayflower Lake,1,
Myrtle Lake,1,
Olson Lake,1,
Pasacaco Pond,1,
Peatsah Section,1,
Peterson Slough,1,
Potts Mountain Pond,1,
Quillin Site,1,
Ryerse Lake,1,
Szabo Pond,1,
Tourbière de Lanoraie JOSEPH,1,
Unknown Pond,1,
Vallée de l'Albion,1,
Wentzel's Pond,1,
Anderson Lake,2,
Camp Lake,2,
Caribou Bog,2,
Carter Site,2,
Crider's Pond,2,
Goshen Springs,2,
Lake Louise,2,
Lake Mary,2,
Lake Mendota,2,
Lily Lake (US:Minnesota),2,
Petit Lac Terrien,2,
Winter Gulf Site,2,
Yellow Dog Pond,2,
Adeline Lake,3,
Big John Pond,3,
Colo Marsh,3,
Devils Lake (US:Wisconsin),3,
Kellners Lake,3,
Lac Colin,3,
Lac des Atocas,3,
Lake of the Clouds (US:Minnesota),3,
Pink Lake,3,
Rose Swamp,3,
Ruby Lake,3,
Scott Lake,3,
Upper Mallot Lake,3,
Bear Bog,4,
Chippewa Bog,4,
Chub Lake,4,
Dark Lake,4,
Fudger Lake,4,
Green Pond (US:New Jersey),4,
Kotiranta Lake,4,
Lac Romer,4,
Little Bass Lake,4,
Lost Pond,4,
Mud Lake,4,
Nina Lake,4,
Paynter Marsh,4,
Rhule Fen,4,
Saint-Calixte,4,
Silver Lake (CA:Nova Scotia),4,
Union Lake,4,
Weslemkoon Lake,4,
Berry Pond,5,
Dosquet,5,
Gass Lake,5,
Lac Castor,5,
Lac Pluvieux,5,
Mud Lake (US:Minnesota:Hubbard),5,
Panther Run Pond,5,
Parrott's Pond,5,
Rossburg Bog,5,
Wolverine Lake,5,
Ziebell Lake,5,
Barry Lake,6,
Bucyrus Bog,6,
Clear Lake (US:Iowa),6,
Conroy Lake,6,
Cub Lake,6,
Frenchmens Bay,6,
Lac Bastien,6,
Rockyhock Bay,6,
Rostock Mammoth Site,6,
Titicut Swamp,6,
Wolf Creek,6,
Wood Lake,6,
Big Pond,7,
BL-Tombigbee,7,
Browns Pond,7,
Hams Lake,7,
Lac à la Tortue,7,
Lake Rachel,7,
Mermaid Bog,7,
Mohawk Pond,7,
Radtke Lake,7,
Sud du Lac du Noyer,7,
Taupawshas Bog,7,
Three Pines Bog,7,
Tourbière de Farnham,7,
Valhalla Hollow,7,
Volo Bog,7,
Basin Pond,8,
Hanson Marsh,8,
Jackson Pond,8,
Lac à Sam,8,
Little Pine Lake,8,
Spruce Pond,8,
Tourbière de Lanoraie COTEAU JAUNE,8,
Lac Louis,9,
Pickerel Lake (US:South Dakota),9,
Protection Bog,9,
Reidel Lake,9,
Sinkhole Pond,9,
Stotzel-Leis Site,9,
Tonawa Lake,9,
Buck Lake,10,
Camel Lake,10,
East Twin Lake (US:Ohio),10,
Lac Mimi,10,
Spring Lake (US:Pennsylvania),10,
Tannersville Bog,10,
Terhell Pond,10,
Ely Lake,11,
Houghton Bog,11,
Lac Geai,11,
Nelson Pond,11,
Perch Lake,11,
Rattle Lake,11,
Stewart's Dark Lake,11,
Cupola Pond,12,
Green Lake,12,
Lac à Magie,12,
Ondris Pond,12,
Wintergreen Lake,12,
Found Lake,13,
Saint-Gabriel,13,
Maplehurst Lake,14,
Pond Mills Pond,14,
Porqui Pond,14,
Shouldice Lake,14,
Cedar Bog Lake,15,
East Baltic Bog,15,
Nutt Lake,15,
Wolsfeld Lake,15,
Jacobson Lake,16,
Lake West Okoboji,16,
North Pond,16,
Van Nostrand Lake,16,
Basswood Road Lake/Splan Pond,17,
Brandreth Bog,17,
Wylde Lake,17,
Decoy Lake,18,
Dismal Swamp (91),18,
Howes Prairie Marsh,18,
Mont Shefford,18,
Tourbière de Lanoraie HENRI,18,
Graham Lake,19,
Humber Pond 5,19,
Mashapaug Pond,20,
Mud Lake (US:Florida),20,
Poland Spring Pond,20,
Powers Fort Swale,22,
Sutherland Pond,22,
Portage Lake,24,
Tourbière de Lanoraie STJEAN,24,
Cranberry Glades,25,
Mansell Pond,25,
Bog D,26,
Cranberry Lake,26,
Kirchner Marsh,26,
Shady Valley Bog,26,
Chase Pond,27,
Hemlock Hollow,27,
Longswamp,27,
Gould Pond,28,
Old Field,28,
Ramsay Lake,28,
Rose Lake,28,
Kellys Hollow,29,
West Olaf Lake,29,
Sharkey Lake,30,
Dead Frog Pond,31,
Irvin Lake,31,
Saint-Raymond,32,
Zuehl Farm Site,32,
Black Pond,35,
Lake Annie,35,
No Bottom Pond,35,
Humber Pond 7,36,
Marais de Keswick,36,
Grenadier Pond,40,
Humber Pond 3,41,
Muscotah Marsh,42,
Shaws Bog,43,
Blue Mounds Creek,48,
Cahaba Pond,54,
Wylde Bog,56,
Boriack Bog,58,
Tamarack Creek,65,
Kimble Pond,76,
Crawford Lake,81,I don't see anything.
Irwin Smith Bog,108,I don't see anything here.
Sewell Lake,114,"High grassland taxa?  Betula, Artemisia, Poaceae.  Weird sums."
