"","Migration","Nothing","Novelty","Persistence","Refugium"
"Adeline Lake",0,4,0,17,1
"Aino Pond",5,21,3,3,3
"Albert Lea Lake",0,0,0,0,0
"Alexander Lake",1,0,0,5,0
"Alexis Lake",0,0,0,0,0
"Aliuk Pond",0,0,0,0,0
"Almora Lake",0,2,3,2,0
"Anderson Lake",0,0,0,0,1
"Anderson Pond",1,3,3,0,0
"Andree Bog",2,3,1,0,0
"Andrus Lake",0,0,0,0,0
"Arrington Marsh",0,0,0,0,0
"Axe Lake",0,8,1,8,2
"Bad Medicine Lake",0,0,0,0,0
"Baie du Diana",6,7,1,0,0
"Barchampe Lake",0,6,1,28,0
"Barry Lake",2,14,4,11,6
"Baseball Bog",0,2,0,14,2
"Basin Pond",3,7,10,15,0
"Basswood Road Lake/Splan Pond",2,3,20,0,0
"Battaglia Bog",0,0,0,0,0
"Bear Bog",0,0,0,7,2
"Beckman Lake",0,1,5,0,0
"Belmont Bog",0,1,0,0,0
"Bereziuk",0,0,0,1,2
"Berry Pond",3,9,4,0,2
"Big John Pond",0,0,1,1,0
"Big Pond",0,1,3,0,0
"Billy's Lake",2,32,10,6,5
"Bishops Falls",0,2,0,0,2
"BL-Tombigbee",1,4,3,0,0
"Black Bass Lake",0,3,1,0,1
"Black Pond",7,6,7,1,0
"Blackhoof Site",0,2,5,0,0
"Blandin Pond",0,1,0,1,4
"Blomford Lake",1,3,1,2,0
"Blue Mounds Creek",5,4,9,3,1
"Bob Black Pond",0,0,0,0,0
"Bob Lake",0,1,0,2,1
"Bog D",0,15,13,0,3
"Border Beacon",0,7,1,5,8
"Boriack Bog",3,5,31,0,0
"Bossuot Lake",0,1,2,0,1
"Boundary Lake",2,9,6,22,7
"Boundary Pond",1,12,4,25,3
"Brandreth Bog",1,19,10,6,6
"Brisay 2",0,1,1,0,2
"Brophy Ditch",1,0,1,0,0
"Brown's Bay, Lake Minnetonka",0,0,0,0,0
"Brown Lake (US:Ohio)",0,1,4,0,0
"Brown Lake (US:Wisconsin)",0,0,0,0,0
"Browns Pond",0,0,0,0,0
"Buck Lake",1,1,2,0,0
"Bucyrus Bog",0,4,2,0,0
"Burden Lake",6,10,2,3,1
"Burntside Lake",0,0,0,10,0
"Cahaba Pond",11,11,19,0,0
"Camel Lake",10,8,9,2,0
"Camp 11 Lake",0,2,0,16,0
"Camp 12 Lake",0,0,0,0,0
"Camp Lake",0,0,0,0,2
"Campbell Lake",0,0,3,0,1
"Canyon Lake",0,5,0,24,7
"Carbuncle Pond",0,6,1,4,2
"Caribou Bog",0,0,0,0,0
"Caribou Hill",1,9,1,15,7
"Carter Site",0,0,0,0,0
"Cedar Bog Lake",3,9,11,0,4
"Chase Pond",2,3,12,0,0
"Chatsworth Bog",13,26,9,2,1
"Chesapeake Bay, Parker Creek",0,10,2,8,3
"Chesapeake Bay, Patuxent River (2-P-5)",0,21,0,18,9
"Chesapeake Bay, Potomac River",2,13,0,37,12
"Chesapeake Bay, Rhode River",4,14,3,45,9
"Cheyenne Bottoms",0,0,0,0,0
"Chippewa Bog",11,25,15,1,1
"Chism 1",0,0,0,0,0
"Chism 2",1,5,0,1,0
"Chub Lake",0,2,1,0,0
"Cindy Pond",0,0,0,3,1
"Clear Lake",1,14,5,9,3
"Clear Lake (US:Iowa)",6,20,5,3,1
"Clear Pond (US:New York)",2,19,4,13,2
"Clear Pond (US:South Carolina)",8,13,4,29,2
"Colo Marsh",0,3,3,0,1
"Comb Lake",0,0,0,0,0
"Compass Pond",15,17,8,3,5
"Conklin Quarry",0,0,0,0,0
"Conroy Lake",8,21,7,6,0
"Cottonwood Lake",0,0,0,0,0
"Cottonwood Lake (US:Minnesota)",0,0,0,0,0
"Cottonwood Lake (US:South Dakota)",0,1,2,0,0
"Cranberry Glades",1,0,3,0,0
"Cranberry Lake",4,37,11,8,17
"Crates Lake",15,17,11,1,1
"Crawford Lake",13,22,48,0,0
"Crazy Pond",0,1,4,0,0
"Creditview Wetland",3,6,7,1,2
"Crider's Pond",1,3,9,0,0
"Cristal Lake",0,0,0,0,0
"Cub Lake",6,20,4,12,5
"Cummins Pond",1,5,13,8,7
"Cupola Pond",4,8,10,0,1
"Dalton Lake",0,0,0,0,0
"Dark Lake",0,3,2,7,4
"Daumont",1,0,1,2,0
"Dead Frog Pond",10,4,0,0,0
"Decoy Lake",3,17,10,42,9
"Deer Lake Bog",0,1,0,0,0
"Delorme 1",0,0,0,0,0
"Delorme 2",0,3,2,2,3
"Demont Lake",6,13,36,2,3
"Denton Lake",0,0,0,0,0
"Devils Lake (US:North Dakota)",1,14,4,3,0
"Devils Lake (US:Wisconsin)",3,3,8,0,0
"Diana 375",0,0,0,0,0
"Dismal Swamp (91)",0,0,0,0,0
"Disterhaft Farm Bog",13,38,8,7,9
"Dogfish Lake",0,0,0,0,0
"Donut Pond Bog",0,1,8,0,1
"Dosquet",0,1,0,1,0
"Duck Pond",4,3,1,0,0
