"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Shepherdia.canadensis","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Plantago.lanceolata.type","Rhamnus.alnifolia.R..frangula","Rumex.type","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Taxus","Thalictrum","Rosaceae.undiff.","Caryophyllaceae","Picea.glauca.type","Fabaceae","Onagraceae","Acer.saccharinum","Nemopanthus.mucronatus","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Myrica.gale","Ranunculaceae.undiff.","Zea.mays","Pinus.resinosa.type","Castanea.dentata","Corylus.cornuta","Rubiaceae","Acer.spicatum","Fraxinus.americana.type","Prunus.pensylvanica","Sambucus","Caprifoliaceae.undiff.","Brassicaceae","Viburnum.nudum","Viburnum.lentago","Impatiens","Cornus","cf..Oxyria.digyna"
0,0,674,1,2,12,1,98,179,13,81,9,2,4,28,2,1,5,7,18,1,2,14,20,2,1,1,3,3,4,4,5,15,1,22,105,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91,609,0,4,3,0,11,214,5,67,12,2,1,17,1,18,0,61,4,0,0,4,17,2,0,1,62,5,1,1,3,9,0,39,7,0,0,1,31,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,181,541,1,3,11,2,87,100,4,106,1,2,1,17,0,0,0,14,21,0,0,3,14,4,0,0,4,6,3,4,2,1,1,31,72,0,0,3,7,1,1,0,0,3,4,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,363,588,0,1,11,5,42,202,8,24,8,11,1,38,1,0,1,37,31,0,0,0,15,6,0,0,2,7,1,0,5,2,0,23,57,0,0,19,13,2,2,0,0,0,0,5,0,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,453,462,0,0,2,1,3,104,6,16,24,8,1,18,0,0,2,31,33,0,0,1,8,0,0,1,0,10,0,0,11,6,0,19,77,0,0,5,42,14,0,0,0,0,0,5,0,0,0,0,2,3,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,544,608,0,1,10,3,4,169,4,30,17,6,3,2,2,0,0,24,73,0,0,0,15,2,0,0,1,9,1,0,6,2,1,48,125,0,0,0,30,8,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,725,755,1,2,4,4,2,262,2,38,69,18,2,1,3,0,3,19,33,0,0,1,22,0,0,3,0,11,0,0,6,15,0,30,67,0,0,1,115,7,1,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
50,1025,441,0,5,5,2,1,162,1,13,55,5,3,1,1,0,2,9,19,0,0,0,10,0,0,1,0,8,0,0,1,13,1,3,40,0,1,0,68,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
60,1443,546,1,0,5,2,2,168,7,16,53,14,3,0,1,0,2,11,34,0,0,0,16,0,0,4,0,8,1,1,2,14,1,25,60,0,0,0,82,3,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
70,1861,480,0,0,7,0,2,148,3,12,52,11,4,1,2,0,0,14,19,0,0,1,15,0,0,0,0,5,0,0,6,9,1,4,76,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,2070,387,0,1,4,1,2,155,2,9,28,5,1,0,0,0,1,5,15,0,0,1,5,0,0,3,0,10,0,0,5,8,1,2,41,0,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,2279,594,0,1,3,6,0,208,0,25,79,4,2,1,3,0,1,4,39,0,0,0,11,0,0,8,0,19,0,1,5,12,0,29,48,0,0,1,73,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
90,2698,556,1,1,9,2,0,196,3,1,69,14,2,1,1,0,3,7,24,0,0,0,8,0,0,4,0,14,1,0,4,14,1,21,72,0,0,0,72,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
100,3037,414,0,0,3,0,0,151,1,9,29,6,3,0,0,0,2,8,43,0,0,0,10,1,0,2,0,4,0,0,1,9,0,8,91,0,0,0,24,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,3299,566,0,1,10,0,0,205,7,3,54,11,6,0,0,0,0,13,62,0,0,0,28,0,0,2,0,20,0,0,4,20,2,0,84,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3560,546,0,0,8,0,1,186,19,29,52,15,4,2,2,0,0,4,48,0,0,0,22,0,0,2,0,9,0,1,5,8,0,0,97,0,0,0,27,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
