"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Celtis","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Herbs.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Polemoniaceae","Quercus","Rumex","Salix","Scrophulariaceae","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Pinus","Populus","Poaceae","Urtica","Larix","Thalictrum","Tsuga","Vitis","Juglans","Abies","Fabaceae.undiff.","Platanus","Ephedra","Sarcobatus.vermiculatus","Apiaceae","Potentilla.type","Rosaceae.undiff.","Viburnum","Ranunculaceae.undiff.","Lamiaceae","Caryophyllaceae","Laportea.type","Liliaceae","Caprifoliaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Morus","Dalea","Sanguisorba","Shepherdia","Myrica","Ericaceae"
387,99,525,65,14,13,2,2,1,28,1,2,2,23,7,1,2,17,2,1,131,1,4,1,8,14,21,4,3,10,30,3,101,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,294,519,78,11,6,2,4,0,21,2,2,5,25,8,3,2,10,0,0,119,0,4,0,8,12,23,5,3,5,29,2,117,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,483,530,78,15,12,1,5,2,15,3,4,1,11,10,4,2,27,2,0,159,0,5,0,8,15,22,6,4,8,28,1,68,4,1,1,1,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,650,544,86,23,10,0,2,0,23,0,8,2,26,8,4,0,17,2,0,138,2,2,0,9,21,15,5,4,4,36,5,79,1,1,3,0,1,1,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,787,546,43,18,16,0,1,1,26,0,7,4,14,5,0,3,28,2,1,188,1,2,0,4,21,11,7,3,9,53,2,57,1,4,2,0,0,2,0,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,915,537,63,16,16,4,4,0,11,1,4,1,16,9,2,0,21,0,0,144,0,2,0,10,13,24,2,9,8,32,3,114,1,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
520,1033,530,63,13,8,0,6,1,12,1,3,1,19,11,0,2,39,1,0,102,0,3,0,7,8,25,4,3,10,21,2,158,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,1145,507,54,6,8,0,1,0,6,1,5,2,8,7,0,0,29,1,0,130,0,1,0,12,5,41,4,2,7,27,0,138,4,3,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,1255,524,31,16,14,1,2,1,10,3,9,3,17,7,1,0,38,0,0,182,0,3,0,11,9,47,10,1,8,26,7,56,0,1,2,1,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
580,1368,509,45,34,17,1,0,0,7,1,1,3,30,3,2,0,11,2,1,131,0,4,0,6,15,5,1,1,11,42,0,125,5,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,1488,553,36,28,12,0,0,0,8,0,1,7,34,3,0,0,3,3,1,150,0,6,0,4,12,4,2,0,6,62,15,143,5,1,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,1619,510,24,20,19,0,1,1,4,0,0,3,40,5,2,0,7,2,1,120,0,12,0,8,13,9,10,4,7,43,7,129,10,0,2,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
