"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Alnus","Pinus","Larix","Quercus","Apiaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Salix","Abies","Tsuga","Fagus","Amaranthaceae.undiff.","Fraxinus.pennsylvanica.type","Thalictrum","Iva.xanthifolia.type","Myrica","Populus","Carya","Rumex","Iva.annua.type","Sarcobatus.vermiculatus","Ulmus"
1,46,331,2,1,92,1,34,3,127,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,226,326,2,1,69,0,54,2,113,73,5,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,426,331,2,2,82,0,42,7,116,61,9,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,626,340,0,0,70,0,31,3,131,82,13,1,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,827,333,1,1,69,0,23,3,158,60,6,7,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1027,313,1,1,99,0,31,2,114,56,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1227,338,0,0,89,0,22,6,150,58,3,2,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1427,317,0,0,65,1,36,2,137,63,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1627,307,0,1,56,0,16,2,165,54,3,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1828,307,1,2,61,0,22,3,164,45,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2028,296,0,1,64,0,17,3,157,46,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,2258,305,0,0,52,0,12,0,171,60,5,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,2577,344,0,1,82,0,10,8,134,99,3,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,2895,307,0,1,53,0,12,1,160,77,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3214,338,0,0,74,0,8,3,163,82,2,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
150,3533,327,0,1,72,0,2,0,155,93,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3852,342,0,2,40,0,7,3,166,114,0,1,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
170,4171,308,0,0,45,0,1,0,153,98,5,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,4489,344,0,0,52,0,2,0,153,127,4,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4808,361,0,2,113,0,2,2,95,137,4,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5127,339,0,0,101,0,0,3,43,165,7,9,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5434,306,0,4,130,0,4,2,30,134,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5707,328,0,0,113,0,3,5,19,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5980,298,0,1,39,0,3,1,14,232,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6252,310,0,0,62,0,1,0,4,238,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
250,6525,315,0,0,97,1,7,0,7,195,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6798,316,0,1,91,1,56,3,10,94,13,0,1,0,24,0,14,1,0,0,0,6,0,0,0,1,0,0,0,0,0
265,NA,272,2,2,54,2,27,4,12,47,28,0,1,0,73,0,15,0,0,0,2,0,0,0,0,2,1,0,0,0,0
270,NA,331,0,3,30,0,31,12,9,22,9,0,0,0,206,3,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0
275,NA,334,5,4,25,0,30,17,27,11,39,0,0,0,167,3,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0
280,NA,301,4,9,63,0,25,8,37,59,43,0,2,0,41,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
290,NA,321,1,8,81,0,21,8,47,47,73,1,2,0,21,2,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0
