"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Alnus.incana.type","Ambrosia.type","Betula","Carya","Celtis","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Populus","Poaceae","Rosaceae","Rhamnaceae.Vitaceae","Acer.rubrum","Artemisia","Herbs.undiff.","Asteraceae.subf..Cichorioideae","Morus","Tilia","Tsuga","Alnus.viridis.type","Polygonaceae.undiff.","Fraxinus.undiff.","Liquidambar","Picea","Abies","Iva.annua.type","Rumex","Sarcobatus.vermiculatus","Thalictrum","Acer.undiff.","Ericaceae","Myrica","Juglans.undiff.","Larix","Cannabaceae","Acer.spicatum"
15.5,77,215,3,1,36,4,4,1,9,1,2,2,1,2,1,2,3,2,1,4,4,9,3,87,2,4,11,1,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,124,257,0,1,9,9,7,0,5,0,0,4,0,0,1,1,0,0,3,5,9,24,1,149,1,4,2,0,2,7,0,0,1,3,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.5,530,308,9,7,4,20,11,0,8,1,2,4,3,2,2,4,0,1,7,4,8,27,3,146,0,3,8,1,1,9,0,0,0,6,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.5,1522,289,1,4,6,10,3,0,4,0,0,1,6,0,2,2,0,1,3,8,5,24,8,147,2,5,12,0,3,14,0,3,0,6,0,1,0,2,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75.5,4606,283,11,0,8,3,4,0,6,1,0,6,2,2,0,7,0,2,8,5,6,34,1,114,0,3,18,0,0,19,0,1,0,4,3,0,0,5,1,0,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0
95.5,6232,261,9,2,10,2,7,0,6,2,0,2,1,1,0,3,0,0,10,2,6,34,4,83,0,2,36,0,0,20,1,1,0,5,0,0,0,3,0,0,0,0,0,4,1,0,0,1,0,1,1,1,0,0,0,0
115.5,6537,313,3,0,15,3,22,0,9,0,0,2,1,0,1,8,0,0,14,4,7,29,1,140,1,2,26,0,1,15,0,0,0,5,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
135.5,6843,277,3,2,10,6,5,3,6,0,2,7,1,1,0,4,0,0,8,2,7,26,3,101,0,3,31,1,0,21,0,0,0,6,1,0,0,7,0,0,0,0,0,4,1,1,0,0,0,2,0,0,2,0,0,0
155.5,7149,297,5,1,10,3,10,0,8,0,1,3,0,3,0,10,0,4,5,11,8,40,2,107,1,3,27,0,1,19,0,0,0,4,0,0,0,2,0,0,0,0,1,3,1,3,0,0,0,0,0,0,0,1,0,0
165.5,7310,248,3,0,7,2,7,0,12,0,1,5,1,0,0,5,0,1,3,9,2,48,0,71,1,2,26,1,1,13,0,0,0,7,2,0,0,5,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,0
175.5,7629,373,7,2,6,6,9,0,8,1,3,10,0,4,4,8,1,0,15,13,22,95,3,69,2,8,27,0,0,26,0,0,1,8,1,0,0,1,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0
215.5,8905,352,8,2,9,6,9,0,6,2,1,4,1,5,2,4,0,0,15,13,8,52,2,112,1,3,44,0,0,18,0,0,2,1,1,0,0,4,0,0,0,0,0,9,4,1,0,0,1,0,0,0,0,2,0,0
235.5,9543,332,4,1,4,20,5,0,5,1,2,4,1,16,4,3,1,0,7,28,11,62,2,48,1,3,47,1,0,13,0,0,0,3,0,0,0,4,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,1,0,0
255.5,10181,373,2,3,4,45,4,0,0,3,0,0,0,25,1,0,0,1,1,40,0,87,1,32,0,0,74,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,26,14,0,0,0,0,0,0,0,0,3,0,0
265.5,10511,326,2,6,0,35,1,1,0,0,4,6,1,23,3,0,0,0,9,31,1,59,0,31,1,1,48,0,0,4,0,1,0,5,1,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0,0,0,3,0,0
275.5,NA,458,3,2,7,5,3,0,5,2,5,7,0,62,6,7,0,0,45,0,0,2,0,19,3,4,15,0,7,12,1,0,0,11,0,0,0,0,0,0,0,0,0,173,31,2,0,0,4,0,0,0,0,2,13,0
285.5,NA,399,1,2,3,1,2,0,1,6,2,7,0,67,2,3,0,0,25,0,0,4,1,29,3,4,10,0,0,3,0,0,0,6,4,0,0,0,0,0,0,0,0,184,18,3,0,0,1,0,0,0,0,2,5,0
305.5,NA,303,2,0,2,4,0,2,3,6,2,11,0,45,0,0,0,0,23,1,1,2,0,24,10,1,21,0,4,1,0,0,0,8,0,0,0,0,0,3,0,0,0,98,12,0,0,0,4,0,0,1,0,3,9,0
335.5,NA,393,2,1,6,6,2,0,3,7,0,8,0,26,2,0,0,0,13,0,1,2,0,18,2,2,15,0,2,3,2,0,0,6,2,0,0,0,0,0,0,0,3,239,15,0,0,0,1,0,0,0,0,4,0,0
375.5,NA,304,1,1,3,4,1,0,2,14,1,5,0,29,0,1,0,0,24,1,0,1,0,19,5,4,9,0,1,8,2,0,0,17,0,0,1,0,0,0,0,0,3,121,20,0,0,0,0,0,0,0,0,6,0,0
415.5,NA,160,1,2,3,1,1,0,1,4,0,7,0,10,0,0,0,0,9,0,0,2,0,5,0,0,6,0,1,3,0,0,0,12,0,0,0,0,0,0,0,0,0,81,10,0,0,0,1,0,0,0,0,0,0,0
455.5,NA,430,0,0,6,4,1,0,1,1,0,7,0,28,5,2,0,0,14,2,0,3,0,26,3,9,15,1,2,7,0,0,0,5,0,0,0,0,0,0,0,0,0,275,7,0,0,0,2,0,0,0,0,4,0,0
475.5,NA,334,0,0,6,1,0,0,2,2,3,15,0,56,2,4,1,0,11,1,0,2,0,26,1,6,8,1,0,12,1,0,0,13,0,0,0,0,0,3,0,0,0,138,6,1,0,0,0,0,0,0,0,4,7,1
495.5,NA,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0
