"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae..low.spine.","Betula","Caryophyllaceae","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Hypericum","Ilex","Larix","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Quercus","Rosaceae.trees","Salix","Sambucus","Tilia","Tsuga","Ulmus","Brassicaceae","Rumex","Asteraceae..high.spine.","Juglans","Carya","Asteraceae.subf..Asteroideae.undiff.","Plantago","Rhus","Thalictrum"
10,-2,414,0,3,4,53,0,0,1,64,2,2,1,0,0,8,1,4,13,0,0,120,7,0,0,5,0,0,3,0,0,1,24,0,19,42,0,0,0,0,1,5,29,1,1,0,0,0,0,0,0
70,249,303,0,3,7,6,0,0,4,55,1,2,4,1,0,4,1,2,3,8,0,54,3,0,0,5,2,0,0,0,0,0,28,0,16,72,0,0,0,0,5,4,4,0,3,2,2,1,1,0,0
181,5717,558,0,1,6,0,0,0,0,20,0,2,30,0,0,6,3,10,2,25,3,7,0,0,0,0,12,1,0,0,0,3,28,1,187,162,0,13,0,0,16,4,3,0,9,0,4,0,0,0,0
210,7145,483,0,11,8,2,0,2,0,27,0,0,23,0,0,5,0,5,0,23,0,1,3,0,1,4,33,0,0,0,1,0,11,0,108,168,0,0,0,0,21,3,2,0,15,0,4,0,0,1,1
250,9115,333,0,6,18,5,0,0,22,38,0,0,1,0,0,7,0,1,4,8,2,10,0,0,0,7,5,1,0,0,1,1,27,0,53,105,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0
260,9608,324,0,0,19,11,1,0,21,33,0,0,0,1,0,5,2,5,1,5,3,8,0,0,0,6,2,1,0,0,0,2,38,0,34,116,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0
270,10101,542,0,2,29,6,0,0,9,44,0,0,0,0,2,10,1,73,0,0,1,12,1,1,0,11,0,4,2,0,17,11,80,0,101,112,0,3,0,0,9,1,0,0,0,0,0,0,0,0,0
280,10593,372,1,1,7,3,0,0,8,41,1,1,0,1,0,4,0,45,2,1,0,27,1,0,1,7,0,2,2,14,3,31,69,1,31,61,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
290,11086,392,1,1,16,1,0,0,4,62,0,1,0,0,0,12,3,31,18,0,1,9,1,0,0,7,0,1,9,15,0,75,58,1,8,48,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0
312,11476,158,2,0,22,0,0,1,0,16,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,27,0,6,42,22,0,5,4,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
320,11618,310,9,0,16,3,0,0,0,43,0,0,0,0,0,6,1,5,1,0,2,0,2,1,1,25,0,7,128,32,0,6,4,1,6,6,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
