"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","cf..Hypericum","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Elaeagnus","Ephedra.viridis.type","Equisetum","Euphorbiaceae","Fabaceae.undiff.","Fagus","Fraxinus","Galium","Humulus.type","Juglans","Lamiaceae.undiff.","Larix","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago.major","Platanus","Poaceae","Polemonium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Primulaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Shepherdia.canadensis","Solanaceae","Sparganium.type","Stachys.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Viscaceae","Vitis"
15,1080,0,0,3,14,40,2,14,18,31,0,4,0,0,2,0,2,0,0,0,1036,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,2,7,0,0,1,0,95,1,8,91,0,0,0,0,0,0,0,53,0,0,1,1,4,2,3,0,0,0,0,1,9,0,0,0,0,6,10,0,0,1,0,0,0
20,1411,1,1,2,66,34,0,0,11,43,1,7,0,0,2,0,0,0,0,0,126,0,1,0,1,0,0,0,0,8,0,1,5,2,2,0,4,0,0,0,5,3,0,0,1,3,87,0,7,116,0,1,1,0,0,0,4,45,0,0,0,0,2,3,0,1,0,0,0,0,20,0,0,0,0,7,5,0,0,0,0,0,0
25,1729,0,2,4,69,32,2,7,19,49,0,6,1,1,6,0,0,0,0,0,286,1,1,0,1,2,0,0,0,1,0,0,3,3,0,0,1,0,0,0,11,4,0,0,1,3,81,0,10,85,0,0,2,0,0,1,0,73,2,0,0,1,8,2,0,0,0,0,0,1,15,0,0,0,0,16,5,0,0,0,0,0,1
30,2030,0,3,5,124,37,1,0,19,22,0,7,0,0,3,0,0,0,0,0,162,0,2,0,0,2,0,0,0,6,0,0,2,1,0,1,0,1,0,0,26,6,0,0,5,1,68,0,8,69,0,0,12,0,0,0,1,65,2,0,0,2,6,0,0,0,1,0,0,0,31,1,1,0,0,26,3,0,0,0,1,0,0
35,2311,2,3,1,95,49,0,2,14,26,0,5,1,0,4,0,0,0,1,3,162,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,15,1,0,0,3,2,55,0,2,102,0,0,2,0,0,0,0,69,3,0,0,2,10,5,0,1,0,0,0,0,20,2,0,0,0,21,9,0,0,0,1,0,0
40,2572,0,0,4,105,50,1,0,13,23,0,9,3,0,3,0,0,0,0,0,211,2,1,0,0,2,0,0,0,3,0,0,3,2,0,2,0,0,0,0,15,1,0,0,1,2,30,0,3,104,0,0,3,0,0,0,1,63,2,0,0,2,1,1,0,1,0,0,0,0,6,0,0,0,0,14,9,0,0,0,0,2,0
45,2818,0,2,0,132,46,1,0,17,54,0,3,0,0,2,0,0,0,1,0,177,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,15,4,0,0,1,2,46,0,7,64,0,0,8,2,0,0,0,68,3,0,0,4,8,0,0,1,0,0,0,0,31,0,0,0,0,21,4,0,0,0,0,0,0
50,3053,0,2,4,120,55,0,1,22,24,0,3,0,0,3,0,0,0,0,0,182,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,9,1,0,1,4,3,52,0,5,116,0,0,4,0,1,0,0,49,3,0,0,0,6,0,0,0,0,0,0,0,18,0,1,0,0,17,7,0,0,0,0,0,0
55,3284,0,0,3,127,51,0,2,23,39,0,5,0,0,6,0,0,0,1,0,131,1,1,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,16,2,0,0,4,2,43,0,0,71,0,0,1,0,0,0,0,67,0,0,0,5,9,1,0,0,0,0,0,0,29,0,0,0,0,27,6,0,0,0,0,0,0
60,3516,0,0,6,96,41,0,0,26,22,0,2,0,0,4,0,0,0,0,1,146,0,0,1,0,2,0,0,1,5,1,1,1,2,3,0,1,0,0,0,25,2,0,0,5,2,35,0,1,121,0,0,0,1,0,0,0,47,0,0,0,5,4,2,0,0,0,0,0,0,105,0,1,0,0,27,8,0,0,0,0,0,0
