"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Athyrium","Betula","Boraginaceae.undiff.","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Rhamnus","cf..Rhus","cf..Rumex","cf..Sanguisorba","cf..Verbena","Cheilanthes","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fagus.Nyssa","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Gentianella","Heliotropium","Hypericum","Ilex","Impatiens","Indeterminable","Isoëtes","Iva","Jasione","Juglans","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.clavatum","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parnassia","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantaginaceae.cf..Littorella","Plantaginaceae.undiff.","Plantago","Platanus","Poaceae","Polygala","Polygonella","Polygonum.persicaria.type","Polygonum.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Sagittaria","Salix","Selaginella","Taxodium","Thalictrum","Tilia","Trifolium","Tsuga","Typha","Ulmus","Unknown","Utricularia","Vitis","Xanthium"
217,101,0,0,0,0,2,3,10,0,1,7,0,0,0,6,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,9,0,0,0,7,2,3,0,3,0,1,0,0,0,6.5,0,265,0,0,0,1,8,0,0,0,0,1,0,0,0,84,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0
219,195,0,3,0,0,3,4,10,0,0,5,0,0,0,29,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,1,8,0,0,9,0,8,0,0,0,10,0,538.5,0,0,0,0,25,0,0,0,0,0,1,0,1,127,0,0,0,0,0,3,0,0,0,1,0,7,0,0,1,0
221,288,0,0,0,0,0,1,12,0,0,1,0,0,0,12,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,1,1,0,0,3,0,3,0,0,0,11.5,0,246,0,0,0,0,7,0,0,0,1,0,1,0,0,100,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
223,382,0,0,0,0,2,0,10,0,0,4,0,0,0,16,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,3,0,13,0,0,0,0,0,5,0,0,0,0,1,1,4,7,0,2,0,0,0,16,0,412.5,0,0,0,1,26,0,0,0,0,0,0,0,0,71,1,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0
225,475,0,1,0,5,4,2,9,0,0,2,0,0,0,28,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,3,0,0,1,3,0,14,0,0,0,0,0,14,0,0,0,1,4,0,1,7,0,6,0,0,0,14,0,520.5,0,0,0,1,22,0,0,0,0,0,1,0,0,111,0,0,1,2,0,0,0,0,0,0,0,7,2,0,0,0
227,568,0,0,0,1,4,0,8,0,0,1,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,6,0,0,1,0,0,8,0,0,0,0,0,0,0,4,0,2,0,0,0,9.5,0,246,0,0,0,0,10,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
229,660,0,0,0,0,3,0,1,0,8,3,0,0,0,20,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7,0,0,0,1,0,10,0,0,0,0,0,17,0,0,0,2,1,3,1,11,0,10,0,0,0,54,0,634.5,0,0,0,1,15,0,0,0,0,1,1,0,0,135,0,0,0,0,0,3,0,0,0,0,1,7,2,0,0,0
231,753,0,0,0,0,3,1,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,1,0,10,0,0,0,1,2,0,2,6,0,1,0,0,0,16,0,285,0,1,0,0,13,0,0,0,0,0,3,0,0,43,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0
233,845,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,0,8,0,0,0,0,1,0,1,3,0,1,0,1,0,1,0,354.5,0,0,0,0,14,0,0,0,0,1,2,0,0,79,0,0,0,1,0,2,0,0,0,0,0,5,0,0,1,0
235,937,0,0,0,0,5,0,1,0,0,3,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5,0,0,0,1,0,9,0,0,0,2,0,0,0,5,0,2,0,0,1,14,0,333,0,0,0,1,18,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0
