"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Elaeagnus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sambucus","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Dryas","Plantago","Poaceae","Polygonum","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Urtica","Xanthium","Cystopteris","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Brasenia.schreberi","Hippuris.vulgaris","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
0,-44,1,1,1,11,2,58,9,2,0,0,0,2,0,0,7,10,3,7,2,0,21,1,0,0,0,6,2,0,14,14,0,1,21,4,0,0,0,0,6,20,0,76,0,2,4,2,0,4,0,0,3,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
20,336,1,0,1,11,6,37,3,0,0,0,0,0,0,1,10,12,3,9,1,1,26,1,0,0,0,13,0,0,68,68,0,4,29,5,0,0,0,9,21,16,0,26,1,0,1,0,0,1,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0
30,535,0,0,1,16,2,69,6,0,0,0,0,2,0,0,20,14,3,11,0,0,19,1,0,0,0,29,1,0,102,102,0,4,84,0,0,0,0,4,21,25,0,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,745,0,0,0,13,4,39,12,0,0,0,0,1,0,0,16,14,3,11,3,2,18,2,0,0,0,26,0,0,59,59,0,3,92,1,0,0,0,2,21,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
50,969,0,0,1,8,1,27,2,0,0,0,0,1,0,0,15,14,2,12,1,0,22,3,0,0,0,31,0,0,30,30,0,10,98,0,0,0,0,8,13,15,0,1,0,1,0,2,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
60,1211,0,1,0,26,2,45,10,0,0,0,0,1,0,0,19,8,2,6,3,2,15,2,0,0,0,27,0,0,32,32,0,3,77,4,0,0,0,4,12,23,0,2,0,1,1,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0
65,1340,0,0,3,32,5,35,10,0,0,0,0,4,0,0,18,15,2,13,2,2,19,1,0,0,0,38,1,0,31,31,0,9,49,2,0,0,0,8,19,32,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0
70,1475,0,0,0,44,2,30,8,0,0,0,0,0,0,0,91,22,1,21,0,0,37,0,2,1,0,28,0,0,10,10,0,0,23,2,0,0,0,11,14,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
90,2082,0,0,0,60,2,39,9,0,2,0,0,0,0,0,92,19,1,18,2,0,39,2,0,0,0,13,0,0,10,10,0,3,17,0,0,0,0,13,8,55,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
100,2431,0,0,1,30,2,29,15,0,0,0,0,2,0,0,110,32,5,27,6,1,26,0,0,1,0,26,2,0,9,9,0,3,29,1,0,0,0,5,6,70,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
