"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Picea","Quercus","Salix","Thalictrum","Alnus","Pinus","Populus","Amaranthaceae","Ericaceae","Tilia","Poaceae","Acer.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Rosaceae","Abies","Rumex","Ulmus","Acer.rubrum","Corylus","Ostrya.Carpinus","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Carya","Fagus","Iva.annua.type","Fraxinus.pennsylvanica.type","Plantago","Xanthium","Platanus","Iva.xanthifolia.type"
1,6,308,3,2,16,1,9,1,3,213,1,2,1,15,38,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,331,7,2,20,1,15,0,1,225,2,1,0,29,25,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,195,315,1,4,39,4,12,0,3,162,1,8,0,39,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,377,326,3,5,17,0,16,0,10,218,1,1,0,18,32,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,560,338,1,6,21,0,19,0,8,205,1,2,0,28,42,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,742,321,1,18,34,2,20,0,1,153,1,1,1,36,47,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,925,346,0,1,36,0,10,0,5,211,1,1,0,44,30,1,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1107,363,0,6,29,0,17,0,6,225,5,2,0,35,29,0,0,3,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1289,346,0,8,30,0,19,0,2,214,0,2,0,31,32,0,1,1,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1472,345,1,7,32,2,20,0,1,203,1,3,0,31,34,0,2,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1654,331,0,4,32,0,15,0,0,212,4,3,0,21,29,2,3,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1837,335,1,7,28,2,15,0,2,188,0,1,0,36,46,2,0,1,0,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2019,329,0,3,40,0,14,0,3,179,0,1,0,50,29,1,1,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2202,328,0,3,29,2,9,0,8,184,2,3,0,41,39,1,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2384,336,0,4,18,0,17,0,0,222,1,0,0,23,47,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2566,359,0,19,28,1,8,0,4,219,2,1,0,35,39,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,2749,332,0,3,38,0,8,0,2,207,1,0,0,33,35,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2931,323,0,8,27,1,7,0,1,191,0,4,0,41,36,0,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3163,327,0,3,24,0,7,0,4,200,1,1,0,44,37,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3445,333,1,6,21,3,8,0,7,213,2,3,0,36,24,2,3,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
200,3727,330,1,10,26,0,9,0,3,195,2,0,0,46,29,0,1,0,0,1,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4008,329,0,9,28,1,9,0,3,181,0,2,0,43,45,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,4290,328,1,9,38,2,16,0,3,182,0,1,0,41,32,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4571,318,1,3,21,1,6,0,10,179,1,1,0,53,37,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4853,344,0,6,26,0,8,0,0,234,3,1,0,23,37,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5135,313,4,7,41,0,9,0,5,175,2,1,0,33,32,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
260,5416,325,1,4,24,2,9,0,6,223,1,1,0,14,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5698,306,0,5,25,3,8,0,2,199,2,1,0,31,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5979,318,2,10,29,1,15,0,3,196,3,2,0,23,28,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
290,6261,308,3,4,40,2,13,0,2,187,2,2,0,18,31,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,6543,299,0,6,25,2,11,0,5,202,2,1,0,18,23,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
310,6824,320,2,7,52,4,25,0,4,160,2,6,0,20,31,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
320,7106,330,4,11,53,3,19,0,9,161,1,5,0,26,26,6,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,7247,337,2,4,47,8,21,0,12,162,2,3,0,34,16,16,1,1,0,3,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
330,7388,312,2,8,47,3,18,0,7,178,2,2,0,6,26,1,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
335,NA,318,3,8,48,10,16,0,11,152,0,3,0,25,20,13,3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
340,NA,308,1,7,128,8,55,0,0,50,1,5,0,17,20,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
345,NA,324,2,6,91,48,50,0,0,39,2,12,0,19,39,6,3,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,NA,320,0,15,84,8,50,0,0,43,2,16,0,28,68,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
355,NA,317,3,12,101,1,52,0,0,40,0,18,0,25,49,1,2,3,0,3,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
360,NA,335,3,9,92,4,76,0,0,28,2,26,0,6,68,0,2,4,0,5,0,0,2,0,2,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0
365,NA,300,2,12,76,1,52,0,1,32,0,20,0,8,74,1,5,2,0,5,0,0,2,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,0
370,NA,315,3,12,75,2,52,0,0,51,1,17,0,19,51,0,2,7,0,4,0,0,2,0,2,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0
375,NA,336,5,10,67,4,75,0,0,33,1,50,0,16,41,0,7,5,0,10,0,0,0,0,1,0,0,1,0,0,0,1,7,0,0,0,0,2,0,0,0
380,NA,322,11,13,45,2,81,0,0,34,0,36,0,8,66,0,5,3,0,6,0,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
385,NA,337,8,14,20,2,86,0,2,52,2,39,0,13,82,0,3,0,0,9,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
395,NA,315,5,6,22,1,50,0,1,85,2,40,1,6,52,0,4,3,0,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
400,NA,322,9,9,18,3,21,0,2,100,1,19,0,7,115,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,NA,322,8,9,16,1,17,1,0,112,1,15,0,5,116,0,2,1,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
410,NA,331,8,15,14,6,27,0,3,82,1,8,0,5,135,0,2,0,0,16,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0
415,NA,303,3,16,21,6,31,0,0,87,0,8,0,28,68,0,9,1,0,15,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2
420,NA,305,9,16,10,2,22,0,0,119,1,2,0,5,94,1,5,1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
