"sample.depths","sample.ages","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fraxinus..tricolpate.","Ilex","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Myrica","Viburnum","Poaceae","Acer.rubrum","Arceuthobium","Fagus","Juglans.cinerea","Iva.undiff.","Populus","Boraginaceae","Ostrya.Carpinus","Platanus","Taxus","Tilia","Acer.spicatum","Urticaceae","Amaranthaceae.undiff.","Cephalanthus","Corylus","Cuscuta","Fraxinus..tetracolpate.","Rhus","Rosaceae.undiff.","Juglans.nigra","Cupressaceae","Liliaceae","Morus","Xanthium","Lycopus.type","Nyssa","Fabaceae","Abies","Acer.saccharum.type","Impatiens","Liquidambar","Salsola","Cornus","Brassicaceae","Vitis","Sambucus","Acer.saccharinum.type","Iva.annua.type","Parnassia","Rhamnaceae.Vitaceae.undiff.","Iva.xanthifolia.type","Ranunculaceae.undiff.","Artemisia","Cannabaceae","Crataegus.type","Potentilla.type","Thalictrum","Galium","Ribes","Saxifraga.type","Apiaceae","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Polygonum","Shepherdia","Campanulaceae","Dryas.type"
25,200,0.008130081300813,0.0894308943089431,0.203252032520325,0.008130081300813,0.056910569105691,0.016260162601626,0.024390243902439,0.008130081300813,0.032520325203252,0.008130081300813,0.048780487804878,0.024390243902439,0.008130081300813,0.105691056910569,0.0894308943089431,0.040650406504065,0.008130081300813,0.065040650406504,0.024390243902439,0.016260162601626,0.016260162601626,0.008130081300813,0.032520325203252,0.056910569105691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1829,0.008130081300813,0,0.146341463414634,0.016260162601626,0.008130081300813,0.008130081300813,0.008130081300813,0.008130081300813,0.08130081300813,0,0.040650406504065,0.016260162601626,0.024390243902439,0.113821138211382,0.16260162601626,0,0,0.178861788617886,0,0.008130081300813,0.016260162601626,0.008130081300813,0.016260162601626,0,0.008130081300813,0.008130081300813,0.105691056910569,0.008130081300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3014,0,0,0.168421052631579,0,0,0.0210526315789474,0,0,0.0736842105263158,0.0105263157894737,0.0842105263157895,0.0315789473684211,0.0210526315789474,0.168421052631579,0.157894736842105,0,0,0.0947368421052632,0.0105263157894737,0.0105263157894737,0.0210526315789474,0,0.0210526315789474,0,0.0210526315789474,0,0.0631578947368421,0,0.0105263157894737,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4791,0.00757575757575758,0.00757575757575758,0.090909090909091,0,0.00757575757575758,0.00757575757575758,0,0.00757575757575758,0.151515151515152,0.00757575757575758,0.0757575757575758,0.00757575757575758,0.00757575757575758,0.053030303030303,0.310606060606061,0,0,0.0378787878787879,0,0.0378787878787879,0.0303030303030303,0.0227272727272727,0.00757575757575758,0,0.00757575757575758,0,0.053030303030303,0.00757575757575758,0,0,0.00757575757575758,0.0227272727272727,0.00757575757575758,0.00757575757575758,0.00757575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5383,0,0,0.0956521739130435,0.00869565217391304,0,0.0173913043478261,0.00869565217391304,0.0173913043478261,0.0695652173913043,0,0.121739130434783,0.00869565217391304,0.00869565217391304,0.11304347826087,0.147826086956522,0,0,0.182608695652174,0,0.00869565217391304,0.00869565217391304,0,0,0.00869565217391304,0.0173913043478261,0,0.121739130434783,0,0,0,0,0,0.00869565217391304,0.00869565217391304,0,0.00869565217391304,0.00869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5718,0.00934579439252336,0,0.0841121495327103,0.0280373831775701,0,0.0280373831775701,0.0280373831775701,0.00934579439252336,0.00934579439252336,0,0.121495327102804,0.0186915887850467,0.00934579439252336,0.11214953271028,0.242990654205607,0,0,0.11214953271028,0.00934579439252336,0,0.0467289719626168,0,0,0.00934579439252336,0,0,0.0841121495327103,0,0,0,0,0.00934579439252336,0.0186915887850467,0,0,0,0,0.00934579439252336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5928,0.0126582278481013,0,0.0253164556962025,0,0,0,0,0,0.291139240506329,0,0,0.0126582278481013,0.0253164556962025,0.0126582278481013,0.0632911392405063,0,0,0.151898734177215,0,0,0.189873417721519,0,0,0.0126582278481013,0.0379746835443038,0,0,0,0,0.0253164556962025,0,0,0.0126582278481013,0,0,0,0,0,0.0126582278481013,0.0126582278481013,0.0759493670886076,0.0126582278481013,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6348,0,0,0.0555555555555556,0.0111111111111111,0,0.0111111111111111,0,0.0111111111111111,0.0222222222222222,0,0.0111111111111111,0,0,0.0444444444444444,0.133333333333333,0,0,0.155555555555556,0.0222222222222222,0.0222222222222222,0.233333333333333,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.122222222222222,0,0.0222222222222222,0,0,0,0,0,0.0111111111111111,0.0111111111111111,0,0,0,0,0,0.0111111111111111,0,0,0.0333333333333333,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6769,0.009009009009009,0,0.0495495495495495,0.0045045045045045,0,0.018018018018018,0,0,0.0135135135135135,0,0,0,0.009009009009009,0.0225225225225225,0.126126126126126,0,0,0.09009009009009,0.009009009009009,0,0.477477477477477,0,0,0.0135135135135135,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0,0.063063063063063,0,0.0315315315315315,0,0.0045045045045045,0,0.0045045045045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6971,0.0333333333333333,0,0.0333333333333333,0,0,0.0166666666666667,0,0.0166666666666667,0.0166666666666667,0,0.0166666666666667,0,0,0.0833333333333333,0.116666666666667,0,0,0.116666666666667,0.0333333333333333,0.0166666666666667,0.25,0.0166666666666667,0,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0166666666666667,0,0,0.0166666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
