"sample.depths","sample.ages","Abies","Betula","Amaranthaceae.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Humulus","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Ericales","Fraxinus.nigra","Carya","Fagus","Juglans.nigra","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Plantago","Cyperaceae","Rumex","Acer.rubrum","Artemisia","Galium","Ephedra.nevadensis.type","Arceuthobium","Platanus","Tilia","Corylus","Juglans.cinerea","Pinus.undiff.","Sarcobatus.vermiculatus","Cupressaceae","Iva.annua","Myrica","Thalictrum","Rosaceae","Iva.xanthifolia","Apiaceae"
1,-24,0.00652173913043478,0.169565217391304,0.00434782608695652,0.00217391304347826,0.00217391304347826,0.0130434782608696,0.0239130434782609,0.0260869565217391,0.0130434782608696,0.00217391304347826,0.00869565217391304,0.00869565217391304,0.00217391304347826,0.0217391304347826,0.0217391304347826,0.46304347826087,0.180434782608696,0.0282608695652174,0.00217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,0.035264483627204,0.294710327455919,0,0,0,0.10831234256927,0.0151133501259446,0.0075566750629723,0.0100755667506297,0,0,0,0,0,0.035264483627204,0.229219143576826,0.211586901763224,0.0302267002518892,0,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00251889168765743,0.00503778337531486,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,0.0263157894736842,0.163157894736842,0,0.00789473684210526,0,0.0894736842105263,0.00789473684210526,0.0236842105263158,0.0578947368421053,0,0.00263157894736842,0.00526315789473684,0,0,0.00789473684210526,0.384210526315789,0.192105263157895,0.00789473684210526,0.00263157894736842,0,0.00263157894736842,0,0.00263157894736842,0.00526315789473684,0,0.00526315789473684,0,0.00263157894736842,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,90,0.022271714922049,0.164810690423163,0,0.0022271714922049,0.0044543429844098,0.089086859688196,0.0111358574610245,0.0178173719376392,0.0111358574610245,0,0,0,0,0.0044543429844098,0.0378619153674833,0.240534521158129,0.307349665924276,0.0089086859688196,0.0022271714922049,0,0.0022271714922049,0,0.0467706013363029,0.0044543429844098,0,0.0044543429844098,0,0.0066815144766147,0,0.0022271714922049,0.0022271714922049,0.0066815144766147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,413,0.0300925925925926,0.18287037037037,0.00231481481481481,0.0115740740740741,0.00925925925925926,0.099537037037037,0.0162037037037037,0.0277777777777778,0,0.00231481481481481,0,0,0,0,0.00462962962962963,0.351851851851852,0.143518518518519,0.0763888888888889,0,0.00231481481481481,0.00694444444444444,0,0,0.00694444444444444,0,0.00925925925925926,0,0.0115740740740741,0,0.00231481481481481,0,0,0.00231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1020,0.0153452685421995,0.217391304347826,0,0.0179028132992327,0.0153452685421995,0.0690537084398977,0.020460358056266,0.0281329923273657,0.00255754475703325,0,0,0,0,0.010230179028133,0.00767263427109974,0.370843989769821,0.138107416879795,0.00255754475703325,0.0051150895140665,0,0.00767263427109974,0.00255754475703325,0.00255754475703325,0.00255754475703325,0,0.0127877237851662,0,0.030690537084399,0,0,0,0,0,0.020460358056266,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1626,0.00417536534446764,0.202505219206681,0,0.00208768267223382,0,0.0876826722338205,0.0187891440501044,0.0271398747390397,0,0,0.00208768267223382,0,0,0.00208768267223382,0,0.448851774530271,0.148225469728601,0.00417536534446764,0,0,0.00835073068893528,0,0.00835073068893528,0.00417536534446764,0,0.00626304801670146,0,0.00626304801670146,0,0,0.00208768267223382,0.00208768267223382,0,0.0146137787056367,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1798,0.00508905852417303,0.188295165394402,0,0.00254452926208651,0.00508905852417303,0.0203562340966921,0.0254452926208651,0.0152671755725191,0,0,0,0,0,0.00763358778625954,0,0.49618320610687,0.203562340966921,0.00254452926208651,0.00508905852417303,0,0.00508905852417303,0,0.00508905852417303,0.00254452926208651,0,0,0,0.00254452926208651,0,0,0.00254452926208651,0,0,0,0.00254452926208651,0.00254452926208651,0,0,0,0,0,0,0,0,0,0,0
80,1971,0.010482180293501,0.272536687631027,0.00209643605870021,0.00419287211740042,0.00419287211740042,0.039832285115304,0.0230607966457023,0.0188679245283019,0,0,0,0.00419287211740042,0,0.00419287211740042,0.00209643605870021,0.389937106918239,0.184486373165618,0.00419287211740042,0,0.00209643605870021,0.00419287211740042,0,0.00419287211740042,0.0146750524109015,0,0.00628930817610063,0,0.00419287211740042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2143,0.0126903553299492,0.180203045685279,0,0.0050761421319797,0.00253807106598985,0.0532994923857868,0.0253807106598985,0.0253807106598985,0,0.00253807106598985,0.00253807106598985,0,0,0.00253807106598985,0.00253807106598985,0.525380710659898,0.129441624365482,0.00253807106598985,0,0,0.00253807106598985,0,0,0.0050761421319797,0,0.00253807106598985,0,0.0101522842639594,0,0,0.00253807106598985,0,0,0,0,0,0.00253807106598985,0.00253807106598985,0,0,0,0,0,0,0,0,0
