"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Poaceae","Rumex"
0,-27,0.0190839694656489,0,0.0152671755725191,0.0916030534351145,0.381679389312977,0,0,0,0.0801526717557252,0.00381679389312977,0.0114503816793893,0,0,0,0.0305343511450382,0.00381679389312977,0.0534351145038168,0.248091603053435,0,0,0.0190839694656489,0,0,0,0.00763358778625954,0.00381679389312977,0.00381679389312977,0,0,0.00763358778625954,0.0190839694656489,0
10,586,0.0343347639484979,0,0.0128755364806867,0.072961373390558,0.184549356223176,0.00429184549356223,0,0,0,0.00429184549356223,0,0,0,0.0343347639484979,0,0.00429184549356223,0.0643776824034335,0.459227467811159,0,0,0.0171673819742489,0.0171673819742489,0.00429184549356223,0.0343347639484979,0,0.0257510729613734,0.00429184549356223,0.00429184549356223,0,0.00858369098712446,0.00429184549356223,0.00429184549356223
20,1200,0.00873362445414847,0,0.0131004366812227,0.0436681222707424,0.270742358078603,0,0.00436681222707424,0,0,0,0.00873362445414847,0.0524017467248908,0,0.0349344978165939,0,0.00436681222707424,0.0305676855895196,0.410480349344978,0,0,0.0305676855895196,0.00436681222707424,0,0.0524017467248908,0.00873362445414847,0.00873362445414847,0.00436681222707424,0.00436681222707424,0,0,0.00436681222707424,0
30,1813,0.029126213592233,0.0145631067961165,0.00485436893203883,0.0242718446601942,0.237864077669903,0.00485436893203883,0,0,0,0.00485436893203883,0.00970873786407767,0,0,0.0436893203883495,0,0.00485436893203883,0.0728155339805825,0.480582524271845,0,0,0.0145631067961165,0,0,0.0485436893203883,0,0,0,0,0,0.00485436893203883,0,0
40,2426,0.009009009009009,0,0.0045045045045045,0.0675675675675676,0.171171171171171,0,0,0,0,0,0,0.027027027027027,0,0.0135135135135135,0,0.0045045045045045,0.027027027027027,0.63963963963964,0,0,0.009009009009009,0,0,0.018018018018018,0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
50,3039,0.0143540669856459,0,0.00956937799043062,0.00478468899521531,0.200956937799043,0,0,0,0,0,0.00478468899521531,0.00478468899521531,0,0.00478468899521531,0,0.00478468899521531,0.0143540669856459,0.631578947368421,0,0,0.0143540669856459,0,0.00478468899521531,0.0287081339712919,0.0239234449760766,0.00478468899521531,0.00478468899521531,0,0,0.0239234449760766,0,0
60,3304,0.014018691588785,0,0.00934579439252336,0,0.214953271028037,0,0,0.00934579439252336,0,0,0.00467289719626168,0,0,0.00467289719626168,0,0,0.00934579439252336,0.626168224299065,0,0,0.0186915887850467,0,0,0.014018691588785,0.00934579439252336,0,0.00467289719626168,0,0,0.0560747663551402,0.00467289719626168,0
70,3419,0.00938967136150235,0,0.00469483568075117,0.00938967136150235,0.230046948356808,0,0.00469483568075117,0,0.00469483568075117,0,0.0140845070422535,0,0,0.00469483568075117,0.00938967136150235,0,0.0234741784037559,0.615023474178404,0,0,0.0140845070422535,0,0,0.0187793427230047,0.00469483568075117,0.00469483568075117,0,0,0.00469483568075117,0.0187793427230047,0.00469483568075117,0
80,3533,0,0,0,0.0235849056603774,0.226415094339623,0,0,0,0,0,0.00471698113207547,0,0,0.00471698113207547,0,0,0.0141509433962264,0.627358490566038,0,0,0.0235849056603774,0,0,0.0283018867924528,0.0141509433962264,0,0.00943396226415094,0,0,0.0235849056603774,0,0
90,3648,0.0138888888888889,0,0.00462962962962963,0.0277777777777778,0.217592592592593,0,0,0.0185185185185185,0,0,0,0.00462962962962963,0,0,0,0.00462962962962963,0.0138888888888889,0.606481481481482,0,0,0.0138888888888889,0,0.00462962962962963,0.0138888888888889,0.0138888888888889,0,0,0,0,0.0416666666666667,0,0
