"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Carya","Cephalanthus","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.nigra","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Ranunculus","Acer.saccharum","Salix","Tilia","Brassicaceae","Rosaceae","Fraxinus.undiff.","Platanus","Shepherdia.canadensis","Apiaceae","Alnus","Plantago","Fraxinus.nigra","Acer.negundo","Impatiens","Larix","Liquidambar","Nyssa","Rumex","Thalictrum","Vitis","Fabaceae","Polygonum","Rubiaceae.undiff.","Sarcobatus.vermiculatus","Taxus","Cornus","Abies","Celtis","Humulus","Arceuthobium","Juglans.cinerea","Zea.mays","Castanea","Lamiaceae","Xanthium","Shepherdia.argentea","Iva.xanthifolia"
1,-29,192,1,1,15,2,1,4,1,5,7,2,16,2,1,4,1,22,6,5,2,57,1,15,8,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-21,181,2,2,16,0,1,3,0,8,7,5,21,0,0,6,0,33,3,2,5,31,0,13,7,2,3,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-13,180,1,0,15,0,1,5,0,6,8,1,12,0,6,0,0,24,0,5,6,21,4,13,9,0,7,0,2,0,0,14,2,1,1,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-5,237,0,1,5,0,0,3,3,0,12,1,30,0,4,6,1,31,1,6,7,63,5,14,6,0,5,1,0,1,0,7,1,0,0,4,0,2,2,3,2,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,164,0,1,8,3,0,4,2,15,9,1,20,0,1,0,1,36,0,0,2,22,0,12,7,0,5,2,3,0,1,2,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,12,215,0,1,7,1,0,4,2,41,16,0,26,0,6,0,0,11,0,0,3,56,4,15,2,0,4,7,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,20,212,0,2,10,1,0,2,0,11,4,1,34,0,5,10,2,24,4,4,11,52,1,14,3,0,5,1,0,0,1,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,28,260,0,2,13,2,2,5,1,10,3,0,40,0,5,0,1,36,1,2,9,92,1,11,5,0,4,6,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,36,160,0,1,3,0,2,1,2,7,10,2,40,0,2,1,0,10,5,2,5,49,0,3,3,1,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,44,299,1,0,15,0,0,4,0,2,6,0,64,0,8,1,0,29,0,6,19,92,2,22,5,0,3,2,1,1,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100,53,363,0,0,22,0,0,7,0,16,5,0,106,0,2,3,0,17,2,4,10,128,1,13,4,0,2,3,2,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
110,61,322,0,0,4,2,0,8,8,13,1,0,136,0,3,1,1,16,2,3,15,68,2,9,17,1,2,3,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,69,988,0,0,5,1,0,2,1,10,22,5,771,0,5,1,0,11,1,8,10,62,4,17,10,0,7,3,6,2,0,7,0,0,0,4,1,3,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0
130,77,532,0,2,5,1,0,10,0,11,19,0,273,0,7,1,1,17,5,4,7,107,1,22,15,1,2,3,3,0,0,3,0,0,0,4,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,85,1150,0,0,15,0,0,0,0,1,9,4,991,0,2,1,0,10,5,3,16,33,0,21,10,0,2,3,6,0,2,3,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0
150,94,114,0,0,3,1,0,1,0,8,10,0,38,1,3,5,0,8,4,1,4,6,0,10,0,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,102,250,0,1,3,2,0,3,0,2,12,7,85,0,1,1,0,7,6,0,5,28,4,39,1,3,7,0,2,0,0,10,1,0,0,8,0,6,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,110,255,0,0,6,5,0,1,0,8,21,6,104,0,3,2,0,16,5,0,9,18,0,26,2,0,3,3,0,0,0,6,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,118,155,0,0,9,2,0,0,0,0,5,4,31,0,0,1,0,17,6,1,14,9,2,31,2,1,3,0,2,0,0,4,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
190,126,127,1,0,10,1,0,0,2,0,4,2,12,0,0,1,0,10,4,0,5,2,0,51,1,2,4,0,1,0,0,2,0,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
200,135,289,0,0,15,2,0,0,0,0,2,16,182,0,0,2,0,20,0,0,7,0,5,20,2,3,1,0,0,0,2,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,143,138,1,0,9,1,0,0,0,0,3,2,16,0,0,5,0,21,1,0,5,1,2,57,0,0,3,0,2,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,171,122,0,1,7,1,0,0,0,0,2,1,6,1,0,3,0,17,10,2,6,1,1,43,2,2,3,0,1,0,0,4,1,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,231,119,0,0,11,2,0,0,0,2,6,2,4,0,0,5,0,20,6,1,8,0,1,31,0,0,3,0,3,0,0,4,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,349,374,0,0,15,2,0,1,2,15,4,5,164,0,0,3,0,50,6,1,10,0,0,73,0,1,9,0,2,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,409,116,0,0,11,2,0,0,0,0,2,10,4,0,0,4,0,17,6,0,4,0,1,35,1,2,5,1,3,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,646,186,0,2,5,1,0,0,0,6,4,11,56,0,0,13,1,14,7,1,14,2,1,19,6,0,3,2,4,0,1,5,2,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,765,125,0,0,5,1,0,0,1,0,0,11,19,2,0,1,1,17,6,1,0,0,1,46,0,0,3,0,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
350,943,127,1,0,5,3,0,2,0,3,12,17,6,1,0,1,0,2,12,1,5,0,0,12,1,0,28,2,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
380,1121,151,0,0,6,2,0,0,1,0,2,18,31,0,0,5,0,21,2,0,9,0,2,37,0,0,2,0,1,0,0,6,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
400,1239,128,1,0,10,3,0,0,0,1,2,12,2,1,0,5,1,23,6,0,12,1,1,30,0,0,5,1,1,0,0,3,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
420,1358,214,2,0,16,6,0,0,3,1,0,20,9,0,0,1,0,27,17,0,21,0,0,54,0,0,23,0,7,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
480,1714,105,0,0,15,2,0,0,0,0,2,9,1,2,0,9,0,23,2,0,4,0,1,21,0,0,6,0,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1828,194,0,1,10,3,0,0,0,0,8,17,50,0,0,0,1,22,3,0,8,0,2,46,0,0,7,0,1,0,0,7,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
520,1927,153,0,0,6,2,0,0,0,1,1,26,42,0,0,1,4,7,9,0,11,0,1,21,0,0,8,0,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
560,2126,152,0,1,15,2,0,0,1,2,2,26,33,1,0,4,2,8,9,0,9,0,1,21,0,1,6,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,2325,118,0,0,19,1,0,0,0,1,4,31,8,1,0,2,0,14,2,0,12,0,0,11,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
620,2425,119,0,0,12,3,0,1,0,0,1,19,13,0,0,0,1,25,4,2,14,0,4,8,0,1,5,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
640,2524,350,1,0,10,0,1,0,0,2,0,20,243,0,0,4,0,14,1,1,9,0,1,20,1,0,6,0,6,0,0,3,0,0,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,2624,161,0,0,5,1,0,0,2,2,1,15,49,0,0,0,1,13,6,0,11,1,3,31,0,0,4,0,1,0,1,5,1,0,0,3,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,2723,266,0,0,9,8,0,4,0,1,8,9,154,1,0,3,0,14,1,0,15,0,0,32,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
700,2823,234,0,0,20,5,0,0,3,6,2,27,44,4,0,0,0,24,6,2,7,2,5,45,1,0,21,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
720,2922,220,0,0,9,5,0,0,1,1,0,10,103,0,0,3,1,12,8,1,1,0,1,41,2,2,6,1,5,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
740,3022,225,0,0,7,1,0,0,0,0,0,9,102,0,0,2,0,26,1,0,3,0,1,61,0,0,4,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,3121,474,1,0,12,1,0,2,0,2,1,15,357,0,0,5,1,30,4,2,5,2,1,15,0,1,3,0,1,0,0,3,1,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
780,3221,444,0,1,16,2,0,2,2,2,0,12,334,0,0,2,0,12,0,2,5,0,3,28,0,0,4,1,3,0,0,3,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,3320,116,0,0,25,1,1,1,0,1,0,4,6,2,1,3,2,6,3,3,3,0,4,35,0,0,7,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,3519,154,0,1,6,1,0,0,0,0,0,6,52,0,0,1,8,15,1,0,7,0,0,42,0,0,8,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,3619,159,0,0,8,2,0,1,2,1,0,9,47,1,0,3,0,23,1,0,9,1,1,21,0,0,7,1,1,0,0,6,0,0,0,6,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
880,3718,193,0,0,9,2,0,0,0,1,8,8,71,0,0,1,1,11,0,0,8,1,1,46,0,0,6,0,4,0,0,4,0,0,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
900,3796,303,0,0,3,0,0,0,1,15,3,8,194,0,0,3,0,14,0,3,7,1,0,30,0,0,11,2,1,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
