"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Impatiens","Asteraceae.subf..Cichorioideae","Picea","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Fagus","Thalictrum","Cupressaceae","Larix","Rumex","Juglans.cinerea","Ostrya.Carpinus","Artemisia","Corylus","Juglans.nigra","Polygonum.persicaria","Sarcobatus.vermiculatus","Ranunculus","Populus","Lamiaceae"
1,-28,278,1,2,2,1,4,10,1,6,2,4,21,1,1,5,2,3,1,21,124,46,1,14,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,43,290,0,0,12,4,0,32,0,5,0,0,15,0,16,14,4,14,6,9,81,20,0,36,0,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,78,404,1,0,2,1,12,125,0,6,3,0,10,2,5,23,7,7,5,17,99,48,0,20,2,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0
35,626,300,1,0,1,0,0,4,0,11,0,0,3,0,5,117,0,7,2,0,134,5,0,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
55,2730,300,0,0,6,2,0,13,0,0,1,0,7,0,7,117,3,7,6,0,84,12,0,10,0,4,13,0,2,1,0,2,3,0,0,0,0,0,0,0,0
65,3782,284,0,0,9,5,0,13,0,0,1,0,0,0,11,106,7,17,15,1,50,7,0,18,0,1,19,2,1,0,0,0,1,0,0,0,0,0,0,0,0
75,4834,280,0,0,9,0,0,8,0,0,0,0,0,1,5,97,8,12,14,2,76,5,0,14,4,0,14,0,1,0,0,0,5,1,1,1,2,0,0,0,0
85,5886,301,0,0,6,1,1,11,0,0,0,2,6,0,3,92,6,25,22,2,70,4,0,13,3,2,21,0,6,0,0,0,3,1,0,0,0,1,0,0,0
95,6938,300,1,0,1,1,0,31,0,0,2,0,19,0,1,45,4,12,9,2,114,4,0,18,5,0,24,1,2,0,0,1,2,1,0,0,0,0,0,0,0
105,7991,300,2,0,5,0,0,38,0,0,3,1,10,0,0,50,1,5,11,1,133,5,0,11,3,1,11,0,5,2,0,0,2,0,0,0,0,0,0,0,0
115,8344,301,0,0,8,0,1,32,0,0,1,0,23,0,1,7,0,4,7,0,198,3,0,7,2,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0
145,9405,301,3,0,9,0,0,19,0,0,2,1,21,0,3,4,1,14,5,1,186,11,0,4,3,3,3,1,0,2,0,0,4,1,0,0,0,0,0,0,0
155,9759,300,5,0,6,0,0,18,0,0,1,1,6,1,0,3,5,5,8,0,214,7,0,6,0,0,1,0,6,1,0,0,6,0,0,0,0,0,0,0,0
165,10112,298,2,0,7,0,1,10,0,0,1,0,11,0,0,1,0,12,2,3,226,7,0,4,1,0,0,1,1,1,0,0,4,0,0,0,0,0,3,0,0
175,10466,301,3,0,15,1,0,8,0,0,2,0,15,0,0,0,1,7,9,0,207,18,0,4,1,0,0,1,0,1,0,0,5,0,0,0,0,0,2,1,0
185,10820,286,3,0,6,0,0,14,0,0,0,0,10,0,0,0,2,0,7,0,210,20,0,4,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,1,1
195,11173,298,4,0,5,0,0,13,0,0,6,0,11,0,0,0,1,3,0,1,225,7,0,3,2,0,2,0,0,7,0,1,3,1,0,0,0,0,0,3,0
205,11446,292,3,0,5,0,1,4,0,0,16,0,0,0,0,1,2,6,0,1,225,4,0,1,0,2,0,0,1,17,0,1,0,0,1,0,0,0,0,1,0
215,11718,300,2,0,2,0,1,1,0,0,8,0,6,0,0,2,7,4,0,0,250,5,0,1,0,2,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0
225,NA,300,0,0,0,0,0,79,0,2,41,0,1,0,1,0,0,0,0,0,173,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,NA,358,1,0,0,0,0,138,0,1,76,0,2,0,0,0,1,0,0,1,130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,NA,293,0,0,0,0,0,88,0,0,121,0,4,0,0,1,2,1,0,1,71,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
