"sample.depths","sample.ages","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Brasenia.schreberi","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Cerealia","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Humulus","Isoëtes","Juglans.cinerea","Juglans.nigra","Fabaceae","Liquidambar","Lycopodium.annotinum","Lycopodium.clavatum","Huperzia.lucidula","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.amphibium","Polygonum.lapathifolium","Polypodiaceae","Populus","Potamogeton","Pteridium","Quercus","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sphagnum","Juniperus.Thuja","Tilia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Utricularia","Indeterminable","Unknown","Charcoal"
1.5,2,1,0,0,131,7,1,0,1,3,0,0,0,7,0,3,0,0,35,0,0,2,0,121,3,0,0,0,1,0,0,0,0,19,6,2,0,0,1,0,1,2,0,4,1,1,0,0,3,4,5,0,119,5,1,1,1,0,1,2,0,20,196,19,0,11,6,1103
10,209,0,1,4,185,3,2,0,0,1,1,0,3,7,0,3,1,0,84,0,0,5,0,38,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0,1,0,0,1,1,9,0,76,3,0,9,0,0,1,0,0,18,7,4,0,9,5,3120
20,452,0,2,2,48,4,7,0,4,5,1,0,1,2,0,9,0,0,76,0,2,5,3,275,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,11,14,26,0,7,0,0,2,0,7,3,136,0,0,13,0,0,0,0,3,4,19,10,3,14,8,648
25,573,0,3,1,4,1,1,0,0,5,0,0,0,1,0,4,0,1,193,0,0,4,2,23,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,16,24,124,0,3,1,1,21,0,1,1,109,0,0,4,0,0,0,0,5,8,0,0,0,37,5,1845
30,694,0,1,0,11,2,0,0,0,0,0,0,0,3,0,2,0,0,77,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,16,4,223,0,3,0,0,43,0,3,3,23,0,0,1,0,0,0,0,2,6,0,0,0,35,18,1456
35,816,1,2,0,6,0,0,0,0,0,0,1,0,3,2,2,0,0,129,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,57,0,2,0,0,13,0,0,0,15,0,0,1,0,1,0,0,1,0,0,1,0,30,5,998
40,937,0,1,0,6,1,2,0,1,1,0,0,0,2,0,0,1,0,31,0,1,3,2,16,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,1,13,130,0,9,0,0,2,0,0,1,118,0,0,1,0,0,0,0,2,0,1,1,0,13,10,304
50,1180,2,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,17,0,0,7,4,23,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,1,0,10,19,132,0,12,0,0,3,0,1,0,104,0,0,6,0,1,0,0,1,1,0,0,0,15,0,386
60,1423,0,2,1,5,5,1,1,2,1,0,0,0,0,0,5,0,0,13,0,3,7,0,10,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,14,90,0,4,0,0,2,0,2,0,168,0,0,4,0,1,0,0,1,0,0,1,0,11,4,250
70,1666,0,3,0,6,3,1,0,3,14,0,3,0,5,0,3,0,0,30,0,9,1,1,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41,10,103,0,4,0,0,1,0,19,1,103,0,0,1,1,0,0,0,4,0,0,5,0,13,7,693
82,1957,0,4,1,9,1,5,0,1,7,0,0,0,0,0,3,0,0,8,0,1,4,2,17,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,83,0,5,0,0,2,0,15,0,111,0,0,5,0,0,6,0,0,0,0,6,1,5,6,555
87,2079,0,1,4,7,4,4,0,3,8,2,0,0,3,0,1,0,0,30,1,5,3,2,30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,13,98,0,7,0,0,3,0,13,4,113,0,0,2,0,0,0,0,2,1,1,7,0,14,9,717
91,NA,0,5,0,5,0,1,0,2,6,0,1,0,2,0,1,0,0,34,0,1,1,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,44,2,152,0,3,0,0,1,1,5,2,82,0,0,1,0,1,1,0,1,0,0,2,0,19,4,532
95,NA,0,10,1,5,0,4,0,1,1,0,1,0,2,0,4,0,0,33,0,1,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,4,124,0,5,0,0,2,1,0,5,112,0,0,4,1,0,0,0,3,0,0,7,0,60,14,878
