"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type","Vitis"
215,1075,0,0,3,0,16,0,1,0,0,0,1,0,0,29,23,1,10,0,5,0,0,0,0,0,8,0,4,0,3,15,0,0,3,0,4,1,0,0,0,4,0,0,0,0,0,3,0,2,3,0,6,2,2,50,0,2,1,0,0,1,0,3,114,0,0,2,0,1,0,0,0,0,0,5,0,0,0,18,0,0,0,0
220,1125,0,0,2,3,23,0,0,0,1,0,0,0,0,31,19,0,8,0,11,0,0,0,1,0,5,0,4,0,4,5,0,3,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,7,5,0,45,0,0,0,0,1,6,0,2,105,1,0,2,0,1,0,0,0,0,0,10,0,0,0,19,0,3,0,0
240,1335,0,0,2,2,22,0,0,0,0,0,2,0,1,32,12,0,8,0,9,0,0,0,0,0,7,0,7,0,0,15,0,1,4,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,7,0,5,2,2,43,0,1,0,1,0,6,0,3,104,0,0,2,0,1,0,0,0,0,1,1,0,0,0,17,0,2,0,0
260,1560,0,0,5,3,8,0,0,1,2,0,0,0,0,25,11,1,6,0,7,0,0,0,0,0,5,0,4,0,4,15,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,1,2,42,0,0,1,0,0,0,0,5,129,0,0,0,0,1,0,0,0,0,0,4,0,1,0,24,0,0,0,0
280,1799,0,0,2,4,16,0,0,0,1,0,0,0,1,36,4,0,8,0,4,0,0,0,1,0,2,0,8,0,3,10,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,2,3,53,0,1,0,0,0,0,1,2,107,2,0,0,0,0,0,0,0,0,0,3,0,1,0,23,0,2,0,0
295,1986,0,0,1,2,14,0,1,0,0,0,0,1,3,22,6,0,7,0,4,0,0,0,0,0,3,0,1,0,0,20,1,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,5,0,39,0,0,0,0,0,0,0,3,132,0,0,2,0,0,0,0,0,0,0,5,0,1,0,28,0,4,0,0
320,2314,0,0,4,1,26,0,0,1,0,0,0,0,0,36,7,0,6,0,9,0,0,0,0,0,4,0,1,0,1,13,0,1,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,5,3,37,0,0,0,0,0,0,0,4,117,2,0,0,0,0,0,0,0,0,1,4,0,0,0,21,0,0,0,0
340,2587,0,0,1,2,22,0,0,1,0,0,0,1,1,15,0,0,11,0,13,0,0,0,0,0,2,0,6,0,3,7,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,6,0,2,41,0,0,0,0,0,0,1,3,129,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0
360,2870,0,0,1,4,10,0,1,0,0,0,0,0,0,22,2,0,14,0,9,0,0,0,2,0,4,0,2,0,3,9,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,5,1,65,0,1,0,0,1,0,0,1,126,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,4,0,0
380,3161,0,0,1,2,18,0,1,0,0,0,0,0,0,26,2,0,10,0,9,0,0,0,0,1,3,0,6,0,1,10,0,2,4,0,0,6,1,2,0,0,1,0,0,0,0,0,0,0,1,0,3,2,2,45,0,1,1,0,0,0,0,4,124,0,0,3,0,1,0,0,0,0,0,2,0,1,0,11,1,2,0,0
