"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type","Vitis"
1060,11325,1,0,0,3,4,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,207,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
1070,11457,0,0,4,7,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,227,0,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1080,11603,11,0,1,5,3,0,0,0,0,0,0,0,1,29,0,0,2,0,1,0,0,0,2,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,188,0,0,0,0,2,0,0,2,54,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,4,0,0
1090,11764,11,0,0,1,7,2,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,10,1,0,0,0,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,3,10,149,0,0,1,0,2,0,0,11,49,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,3,0,0
1098,11905,8,0,0,2,11,5,0,0,0,0,0,0,1,61,0,1,0,0,0,0,0,0,2,0,7,0,2,0,2,0,0,6,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,2,3,27,114,0,0,2,0,2,0,0,13,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0
1110,12135,14,0,0,2,23,4,0,0,0,0,0,0,0,65,0,0,1,0,0,0,0,0,2,0,8,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,17,113,0,0,3,0,1,0,2,2,46,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,2,0,0
1120,12345,10,0,0,0,12,3,0,0,0,0,0,0,0,112,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,9,38,85,0,0,1,0,1,1,0,0,39,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,1,0,0
1130,12571,11,0,0,0,23,3,0,0,0,0,0,0,2,84,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,31,115,0,0,0,0,3,0,0,0,38,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0
1140,12814,21,0,0,0,23,7,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,36,114,0,0,3,0,0,0,1,1,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0
1148,13019,26,0,0,0,31,7,0,0,0,0,0,0,0,63,0,1,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,38,98,0,0,3,0,0,0,1,0,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0
1160,13346,5,0,0,1,30,25,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,34,152,0,0,4,0,1,0,0,1,37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,0,0
1170,13633,21,0,0,0,20,11,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,34,152,0,0,0,0,2,0,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1180,13932,5,0,0,0,16,8,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,5,0,4,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,9,22,176,0,0,0,0,1,0,0,2,50,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0
1190,14241,15,0,0,0,17,3,1,0,0,0,0,1,1,31,0,1,0,0,0,0,0,0,1,1,9,0,0,0,1,3,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,9,45,106,0,1,3,0,1,0,0,6,31,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0
1195,14398,7,0,0,0,15,1,0,1,0,0,0,0,1,8,0,1,0,0,0,0,0,0,3,1,3,0,3,0,0,2,0,5,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,23,163,0,1,3,0,2,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1210,14882,16,0,0,0,5,1,0,1,0,0,0,0,1,9,0,0,1,0,0,1,0,0,0,1,3,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,153,0,0,0,0,0,1,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1220,15211,13,0,0,0,5,0,0,1,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,19,62,115,0,0,3,0,4,1,0,1,28,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0
1230,15544,5,0,0,1,3,1,1,2,0,0,0,3,3,16,0,0,1,0,0,0,0,0,0,4,6,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,105,51,0,0,9,0,4,0,0,6,30,0,0,0,0,0,7,0,0,0,1,0,0,3,0,0,1,2,0,0
1235,15712,2,0,0,0,2,2,0,0,0,1,0,0,2,18,0,0,0,0,0,0,0,0,1,8,13,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,86,57,0,0,10,0,10,0,1,0,37,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0
1240,15879,2,0,0,0,3,10,0,1,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,137,90,0,0,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0
1245,NA,0,0,0,0,10,2,0,0,0,0,0,1,2,43,0,0,0,0,0,0,0,0,0,6,39,0,2,0,3,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,81,81,0,0,9,0,0,0,0,0,5,0,0,0,0,0,4,2,0,0,0,0,0,5,0,0,0,1,0,0
1250,NA,2,0,0,0,17,4,0,4,0,0,0,4,4,21,0,0,1,1,0,0,0,0,0,3,40,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,90,0,0,10,0,2,0,0,0,10,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,2,0,0
1255,NA,2,0,0,0,16,1,0,0,0,0,0,5,1,15,0,0,2,0,0,0,0,0,0,3,60,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,90,0,0,11,0,0,0,1,0,5,0,0,0,2,0,6,3,0,0,0,0,0,4,0,0,0,0,0,0
1260,NA,1,0,0,0,13,0,1,0,0,0,0,3,3,7,0,0,1,3,0,0,0,0,0,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,134,0,0,9,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
1280,NA,1,0,0,0,8,5,2,0,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,143,0,0,13,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,2,0,7,0,0,0,0,0,0
1302,NA,1,0,0,0,12,0,2,3,0,0,0,8,3,3,0,0,1,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,129,0,0,16,0,0,0,0,0,3,0,0,0,2,0,5,0,1,0,0,1,0,3,0,0,0,1,0,0
1320,NA,0,0,0,0,1,0,0,1,0,0,0,6,2,6,0,0,0,1,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,55,162,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,6,0,0,0,0,0,0
1340,NA,0,0,0,0,2,2,0,3,0,0,0,11,3,1,0,0,1,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,42,139,0,0,12,0,0,0,0,0,3,0,0,0,3,0,7,1,0,0,0,0,0,5,0,0,0,0,0,0
1360,NA,0,0,0,0,1,0,0,4,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,19,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,202,0,0,5,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0
