"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Clethra","Cyrilla.racemiflora","Ericaceae","Fraxinus.undiff.","Gordonia","Ilex","Iva.xanthifolia.type","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Planera.aquatica","Quercus","Rumex","Sambucus","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Myrica","Populus","Poaceae","Cyperaceae.undiff.","Iva.frutescens.type","Cupressaceae.undiff.","Pinus.subg..Pinus.undiff.","Artemisia","Celtis","Cephalanthus","Platanus","Sapindus","Serenoa","Liliaceae","Fagus","Polygonum.amphibium","Salix","Thalictrum","Acer.undiff.","Castanea","Lechea","Urtica.type","Xanthium","Rosaceae","Primula","Rhus","Symplocos","Apiaceae.undiff.","Anacardiaceae.undiff.","Betulaceae.undiff.","Moraceae","Hypericum","Juglans.nigra","Mimosaceae","Rutaceae","Combretaceae.Melastomataceae","Styloceras","Rhamnaceae.undiff.","Phoradendron","Chamaecrista.type","Arecaceae.undiff.","Acer.negundo","Pinus.clausa.type","Polygonella.fimbriata.type","Corylus","Myrtaceae.undiff.","Osmanthus","Brassicaceae","Malvaceae","Polygonella.polygama.type","Eugenia","Viburnum","Tilia","Cornus.sericea.type","Magnolia","Caryophyllaceae","Ranunculaceae.undiff.","Dodonaea","Lamiaceae","Pistacia","Liriodendron","Acer.saccharum.type","Urticaceae","Plantago","Pinaceae.undiff.","Picea","Pinus.subg..Strobus","Acer.rubrum","Asteraceae.subf..Cichorioideae","Tsuga","Urticales.undiff.","Viscaceae.undiff.","Itea","Rubiaceae.undiff.","Gomphrena.type","Fraxinus.nigra.type","Galium","Campanulaceae","Dalea","Parthenocissus","Myrsine","Sisyrinchium","Ceanothus","Onagraceae","Euphorbia","Ceratiola.ericoides.type","Fabaceae.undiff.","Solanaceae","Abies","Araliaceae","Eriogonum"
488,12069,417,5,0,13,0,0,1,0,1,0,1,0,6,3,20,0,0,93,0,0,12,11,7,1,0,1,0,32,3,0,1,188,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,12210,430,2,0,16,0,0,0,0,0,0,0,0,1,0,22,0,1,145,0,0,3,5,3,1,2,1,0,32,1,2,23,157,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,12352,364,6,0,10,0,0,0,0,1,0,0,0,5,0,27,0,0,114,0,0,4,5,3,1,0,2,0,42,8,1,11,102,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,12399,311,5,1,14,0,0,1,0,4,0,0,0,7,3,12,79,0,91,0,0,4,4,6,0,0,0,0,22,10,1,3,28,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,12446,366,6,0,15,0,0,3,0,3,0,0,0,2,2,16,0,0,103,0,0,1,1,6,4,0,2,0,28,4,0,13,146,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,12540,322,1,1,13,1,0,0,0,3,0,0,0,3,0,8,0,1,97,0,0,4,7,2,0,0,4,1,26,7,1,7,122,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,12634,344,5,0,26,0,0,0,1,0,0,0,0,4,0,17,0,0,124,0,0,7,1,4,1,1,1,0,24,5,0,6,105,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,12728,380,2,0,24,2,0,0,0,2,0,0,0,1,0,17,0,0,147,0,0,3,5,0,1,1,2,0,15,8,0,7,134,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,12823,337,6,1,16,0,0,0,0,0,0,0,0,1,0,15,0,0,117,0,0,6,6,5,2,1,0,0,36,12,0,2,101,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,12887,344,7,1,23,0,0,0,0,2,0,0,0,0,2,17,0,0,147,0,0,5,3,7,3,0,3,0,5,3,1,4,105,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,12922,304,2,0,16,0,0,0,0,2,0,0,0,3,3,27,0,1,110,0,0,9,3,5,0,1,0,0,13,2,0,6,89,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
