"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Aquifoliaceae","Betula","Carya","Castanea","Corylus","Cupressaceae","Fagus","Larix","Nyssa","Ostrya.Carpinus","Picea","Plantago.undiff.","Platanus","Quercus","Rumex","Salix","Scrophulariaceae","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Fraxinus","Myrica","Pinus","Populus","Amaranthaceae","Poaceae","Rosaceae","Acer.saccharum","Euphorbiaceae","Violaceae","Acer.undiff.","Cyperaceae","Ericaceae","Morus","Plantago.major","Plantago.lanceolata","Sambucus","Liliaceae","Juglans","Ranunculus","Artemisia","Fabaceae","Cornus","Ailanthus","Cephalanthus","Liquidambar","Lamiaceae","Brassicaceae.type","Solanaceae","Asteraceae.subf..Cichorioideae","Rhamnus","Celtis","Saxifraga","Caprifoliaceae.undiff.","Apiaceae","Urtica"
1,-25,0.0278551532033426,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.142061281337047,0.0222841225626741,0.0584958217270195,0.00557103064066852,0.00278551532033426,0.011142061281337,0.00278551532033426,0.00557103064066852,0.0139275766016713,0.0306406685236769,0.011142061281337,0.00557103064066852,0.348189415041783,0.00557103064066852,0.00557103064066852,0.00278551532033426,0.00278551532033426,0.0278551532033426,0.00557103064066852,0.0167130919220056,0.00278551532033426,0.0389972144846797,0.0557103064066852,0.0139275766016713,0.00278551532033426,0.0473537604456825,0.00557103064066852,0.00278551532033426,0.0501392757660167,0.00278551532033426,0.00278551532033426,0.00835654596100279,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,0,0,0,0,0.1270207852194,0,0.0669745958429561,0,0.0069284064665127,0.0184757505773672,0,0,0.0092378752886836,0.0069284064665127,0,0,0.360277136258661,0.0184757505773672,0.0046189376443418,0,0,0.0623556581986143,0.0046189376443418,0.0207852193995381,0,0.0438799076212471,0.0900692840646651,0.0115473441108545,0,0.0762124711316397,0,0,0.0415704387990762,0,0,0,0,0.0023094688221709,0.0046189376443418,0.0023094688221709,0.0023094688221709,0.0023094688221709,0.0046189376443418,0.0023094688221709,0.0023094688221709,0.0046189376443418,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,0,0,0,0.00290697674418605,0.148255813953488,0.0232558139534884,0.13953488372093,0.00581395348837209,0.00290697674418605,0.00872093023255814,0.00290697674418605,0.00290697674418605,0,0.0116279069767442,0,0,0.325581395348837,0.0116279069767442,0.00290697674418605,0,0,0.0581395348837209,0.00290697674418605,0.0145348837209302,0,0.0174418604651163,0.0755813953488372,0.00872093023255814,0,0.0726744186046512,0,0.00290697674418605,0.0203488372093023,0,0,0,0,0.0116279069767442,0,0.00581395348837209,0.00290697674418605,0,0.00290697674418605,0.00290697674418605,0,0,0.00290697674418605,0.00290697674418605,0.00290697674418605,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0
14,40,0,0,0.00673400673400673,0,0.121212121212121,0.0437710437710438,0.104377104377104,0.00673400673400673,0.0101010101010101,0.00673400673400673,0,0,0.0101010101010101,0.00336700336700337,0,0,0.346801346801347,0.0235690235690236,0.00336700336700337,0,0,0.0572390572390572,0.00336700336700337,0.0168350168350168,0.00336700336700337,0.0303030303030303,0.0841750841750842,0.00673400673400673,0,0.0673400673400673,0,0,0.0202020202020202,0.00673400673400673,0.00336700336700337,0,0,0,0,0.00673400673400673,0,0,0,0,0,0.00336700336700337,0,0,0,0,0.00336700336700337,0,0,0,0,0,0,0,0,0,0,0,0
19,65,0.0029585798816568,0,0,0,0.13905325443787,0.0207100591715976,0.100591715976331,0,0,0.0207100591715976,0,0.00887573964497041,0,0.00887573964497041,0,0,0.269230769230769,0.0207100591715976,0,0,0,0.0562130177514793,0.00887573964497041,0.0118343195266272,0,0.0562130177514793,0.118343195266272,0.00887573964497041,0.0029585798816568,0.0650887573964497,0,0.00591715976331361,0.0355029585798817,0.00591715976331361,0,0,0,0.00887573964497041,0,0,0,0,0.0029585798816568,0,0,0.0029585798816568,0,0,0,0,0,0.0029585798816568,0.00591715976331361,0.00591715976331361,0.0029585798816568,0,0,0,0,0,0,0,0
24,90,0,0,0.009375,0,0.14375,0.015625,0.10625,0,0.00625,0.00625,0,0.00625,0.003125,0.003125,0,0.003125,0.3375,0.015625,0,0,0,0.046875,0.00625,0.00625,0.003125,0.025,0.090625,0.003125,0,0.08125,0,0.003125,0.04375,0.003125,0.003125,0,0.00625,0,0,0.00625,0,0,0.003125,0,0,0.003125,0,0.003125,0.003125,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0
28,110,0,0.00613496932515337,0.0122699386503067,0,0.144171779141104,0.0122699386503067,0.144171779141104,0,0.0398773006134969,0.0184049079754601,0.00306748466257669,0.00920245398773006,0,0.00920245398773006,0,0.00306748466257669,0.220858895705521,0.0214723926380368,0,0,0.00306748466257669,0.0153374233128834,0.0153374233128834,0.0153374233128834,0,0.0552147239263804,0.116564417177914,0.00306748466257669,0.00306748466257669,0.0368098159509202,0.00920245398773006,0.00306748466257669,0.0214723926380368,0,0.0122699386503067,0,0,0,0.00613496932515337,0.00306748466257669,0,0,0,0,0,0.00920245398773006,0.00306748466257669,0.00306748466257669,0.00920245398773006,0,0,0.00613496932515337,0,0,0,0,0.00306748466257669,0.00306748466257669,0,0,0,0,0
33,135,0,0,0.00613496932515337,0.00306748466257669,0.159509202453988,0,0.147239263803681,0.0122699386503067,0.0153374233128834,0.0245398773006135,0,0.00613496932515337,0,0,0,0.00306748466257669,0.303680981595092,0.0214723926380368,0,0,0,0.0184049079754601,0.00613496932515337,0.0184049079754601,0,0.0245398773006135,0.0797546012269939,0.0153374233128834,0,0.049079754601227,0.00306748466257669,0,0.0460122699386503,0,0,0,0,0,0.00306748466257669,0,0,0.00613496932515337,0.00613496932515337,0,0,0.00613496932515337,0,0,0,0,0,0,0,0.00613496932515337,0,0,0,0,0.00920245398773006,0,0,0,0
37,155,0,0.0118694362017804,0.0029673590504451,0.0029673590504451,0.0830860534124629,0.0267062314540059,0.100890207715134,0.0029673590504451,0.0029673590504451,0.0178041543026706,0,0.00593471810089021,0.0029673590504451,0.0267062314540059,0,0,0.311572700296736,0.0148367952522255,0.0029673590504451,0,0.0029673590504451,0.0801186943620178,0.00593471810089021,0.00890207715133531,0,0.0474777448071217,0.0682492581602374,0.0118694362017804,0.0029673590504451,0.0682492581602374,0.00593471810089021,0,0.0445103857566766,0,0.00593471810089021,0,0,0,0.00593471810089021,0.0029673590504451,0,0,0,0,0,0.00593471810089021,0.0029673590504451,0,0,0,0,0,0.00593471810089021,0.0029673590504451,0,0,0,0.0029673590504451,0,0,0,0,0
41,175,0,0,0.00593471810089021,0,0.121661721068249,0.0237388724035608,0.166172106824926,0,0,0.0207715133531157,0,0.00890207715133531,0.0029673590504451,0.00593471810089021,0,0.0029673590504451,0.362017804154303,0.0178041543026706,0.0029673590504451,0,0,0.0534124629080119,0.0029673590504451,0.0029673590504451,0,0,0.0652818991097923,0.0118694362017804,0,0.0682492581602374,0.0029673590504451,0,0.0326409495548961,0,0.00593471810089021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593471810089021,0.0029673590504451,0,0,0,0,0.0029673590504451,0,0,0,0
