"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Tilia","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.Thuja","Populus","Poaceae","Brassicaceae","Dalea.candida","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus.lupulus","Pinus.strobus.type","Parthenocissus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Polygonum","Carya","Caryophyllaceae","Sarcobatus.vermiculatus","Plantago","Larix.laricina","Vitis","Galium","Ephedra","Iva.annua","Acer.rubrum","Celtis","Liliaceae","Amorpha","Rosaceae","Ericaceae","Xanthium","Hydrophyllum.virginianum","Ranunculaceae.undiff.","Dalea.purpurea","Impatiens","Platanus","Lythrum.alatum","Viburnum.lentago","Lamiaceae","Arceuthobium","Shepherdia.argentea","Shepherdia.canadensis"
155,1175,446,0,16,53,1,10,13,0,44,3,65,79,0,3,3,11,12,1,12,12,8,8,30,0,0,0,3,12,13,5,1,0,16,0,3,0,0,1,0,0,0,2,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1267,360,0,9,48,3,8,16,0,41,6,47,70,0,1,0,10,26,0,9,7,5,10,15,0,0,0,2,5,5,2,3,0,6,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1543,415,0,12,72,8,8,19,0,29,4,31,100,0,3,4,8,19,0,15,12,5,12,16,0,0,0,0,1,8,1,4,0,9,0,4,0,0,0,0,1,0,5,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
215,1727,377,0,5,37,4,4,17,0,17,5,76,135,0,0,0,5,17,0,8,2,0,3,15,0,0,0,6,0,4,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,1911,416,1,18,32,2,10,23,0,24,2,42,172,0,4,0,3,9,0,7,4,5,6,22,0,0,0,3,1,11,3,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,2095,427,0,18,37,4,4,20,0,17,4,62,128,0,4,1,5,12,0,13,9,5,6,39,0,0,0,1,0,10,3,1,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
275,2279,458,0,28,47,10,7,31,0,18,4,70,112,0,2,0,4,14,0,11,12,2,4,40,0,0,0,0,2,11,2,3,0,7,0,11,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
295,2463,421,0,17,48,4,4,29,0,27,7,111,64,0,6,1,7,15,0,7,8,1,1,25,0,0,0,1,1,6,2,1,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2647,435,0,26,53,5,1,30,0,22,5,104,76,0,1,2,4,10,0,12,24,1,1,16,0,0,0,1,0,9,1,0,0,17,0,3,1,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
335,2831,470,0,25,56,3,5,39,0,41,4,52,119,0,6,0,3,16,0,16,11,2,2,44,0,0,0,1,1,3,1,4,0,5,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
