"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Ericaceae","Picea","Alnus","Pinus","Poaceae","Asteraceae.undiff.","Quercus","Cyperaceae","Salix","Amaranthaceae","Shepherdia.canadensis","Caryophyllaceae","Rubus","Saxifragaceae","Fabaceae","Fraxinus","Onagraceae"
0,34,223,8,1,38,1,136,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,580,285,16,0,34,2,197,32,3,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1127,214,19,0,26,4,138,22,3,1,0,1,0,0,0,0,0,0,0,0,0,0
30,1673,309,14,0,53,4,199,36,1,1,0,0,1,0,0,0,0,0,0,0,0,0
40,2220,454,29,0,78,3,243,94,5,1,0,0,0,1,0,0,0,0,0,0,0,0
50,2766,366,17,0,70,3,233,38,2,2,0,1,0,0,0,0,0,0,0,0,0,0
60,3313,299,19,0,52,2,196,27,2,0,0,0,1,0,0,0,0,0,0,0,0,0
70,3859,340,19,0,50,0,236,30,4,0,0,0,1,0,0,0,0,0,0,0,0,0
80,4406,285,18,1,67,0,158,36,2,0,0,1,1,1,0,0,0,0,0,0,0,0
90,4952,332,20,0,78,1,198,31,0,1,0,0,3,0,0,0,0,0,0,0,0,0
100,5499,365,35,0,127,2,73,124,2,0,0,0,1,0,1,0,0,0,0,0,0,0
110,6045,248,42,0,109,0,14,80,2,1,0,0,0,0,0,0,0,0,0,0,0,0
120,NA,273,20,0,74,2,9,162,3,1,1,0,1,0,0,0,0,0,0,0,0,0
127,NA,253,32,0,84,2,17,111,3,2,0,0,2,0,0,0,0,0,0,0,0,0
140,NA,506,25,0,90,2,29,350,0,3,1,0,4,2,0,0,0,0,0,0,0,0
150,NA,213,21,0,56,0,5,123,2,3,0,0,2,0,1,0,0,0,0,0,0,0
160,NA,275,3,0,18,1,2,245,1,2,0,0,1,2,0,0,0,0,0,0,0,0
165,NA,250,1,2,63,3,11,141,5,9,1,1,5,6,1,1,0,0,0,0,0,0
170,NA,237,5,7,83,5,16,49,22,8,0,0,8,28,0,0,4,2,0,0,0,0
175,NA,244,2,2,76,8,20,38,19,26,1,0,6,40,0,0,1,1,1,1,1,1
180,NA,143,0,3,36,1,15,21,29,16,0,0,8,6,1,0,3,4,0,0,0,0
