"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Tsuga.canadensis","Viburnum.opulus","Picea.undiff.","Ericaceae.undiff.","Artemisia","Juglans.cinerea","Rosaceae.undiff.","Juniperus.type","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Larix","Ostrya.Carpinus","Sambucus","Rubiaceae","Picea.glauca.type","Acer.saccharinum","Viburnum.nudum","Tilia","Lamiaceae","Caryophyllaceae","Salix.undiff.","Pinus.resinosa.type","Prunus.virginiana","Nemopanthus.mucronatus","Amaranthaceae","Brassicaceae","Plantago","Ranunculaceae.undiff.","Thalictrum","Rosaceae.cf..Prunus.serotina","Asteraceae.subf..Cichorioideae","Populus.balsamifera.type","Viburnum.edule","Fabaceae.undiff.","Onagraceae","Saxifraga","Rhamnus.cathartica","Shepherdia.canadensis","cf..Oxyria.digyna","Vaccinium","Cornus.sericea","Dryas","Oxytropis.maydelliana.type","Potentilla.palustris.type","Salix.vestita.type","Caprifoliaceae.undiff.","Apiaceae","Viburnum.lentago","Salix.herbacea.type","Armeria.maritima","Polygonum.viviparum","Saxifraga.oppositifolia.type","Impatiens"
0,96,0.00161030595813205,0.00161030595813205,0.0386473429951691,0.00644122383252818,0.00322061191626409,0.5829307568438,0.0161030595813204,0.0193236714975845,0.00161030595813205,0.00483091787439614,0.0289855072463768,0.0483091787439614,0.00161030595813205,0.0112721417069243,0.00161030595813205,0.00483091787439614,0.00966183574879227,0.0209339774557166,0.0660225442834139,0.00483091787439614,0.0112721417069243,0.00161030595813205,0.0177133655394525,0.0193236714975845,0.00161030595813205,0.00161030595813205,0.0225442834138486,0.00161030595813205,0.0466988727858293,0.00161030595813205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,574,0,0.00126742712294043,0.0633713561470216,0.00253485424588086,0,0.615969581749049,0.0291508238276299,0.0114068441064639,0.00506970849176172,0.00126742712294043,0.0316856780735108,0.0367553865652725,0.00253485424588086,0.0164765525982256,0,0.00253485424588086,0.0101394169835234,0.017743979721166,0.0291508238276299,0.00887198986058302,0.00253485424588086,0.00126742712294043,0.00887198986058302,0.0329531051964512,0,0,0.0228136882129278,0,0.0228136882129278,0.00253485424588086,0.00253485424588086,0.00380228136882129,0.00633713561470215,0.00253485424588086,0.00253485424588086,0.00126742712294043,0.00126742712294043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1044,0.00157232704402516,0.00314465408805031,0.0518867924528302,0.00314465408805031,0,0.616352201257862,0.029874213836478,0.0283018867924528,0.00471698113207547,0,0.029874213836478,0.0393081761006289,0,0.00943396226415094,0,0.00628930817610063,0.00786163522012579,0.020440251572327,0.0283018867924528,0.0220125786163522,0.00157232704402516,0,0.00786163522012579,0.0330188679245283,0,0,0.0235849056603774,0,0.0157232704402516,0.00314465408805031,0.00628930817610063,0,0,0,0,0,0,0.00157232704402516,0.00157232704402516,0.00157232704402516,0.00157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1506,0.0056980056980057,0,0.0284900284900285,0.0056980056980057,0,0.544159544159544,0.0227920227920228,0.0256410256410256,0.0056980056980057,0,0.0256410256410256,0.0598290598290598,0.00284900284900285,0.0227920227920228,0,0.0056980056980057,0.00284900284900285,0.0256410256410256,0.0769230769230769,0.00854700854700855,0,0.0056980056980057,0.00854700854700855,0.0313390313390313,0,0.0113960113960114,0.00284900284900285,0,0.0398860398860399,0.00284900284900285,0,0,0.0056980056980057,0.00284900284900285,0,0,0.00284900284900285,0.0056980056980057,0.0056980056980057,0,0,0.00284900284900285,0.00284900284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1960,0,0,0.0498753117206983,0.00498753117206983,0,0.630922693266833,0.0399002493765586,0.0423940149625935,0.00249376558603491,0,0.0199501246882793,0.0423940149625935,0,0.00997506234413965,0,0.00498753117206983,0.00748129675810474,0.00997506234413965,0.0324189526184539,0.00748129675810474,0,0,0.00498753117206983,0.0249376558603491,0,0,0.027431421446384,0,0.0149625935162095,0,0,0.00249376558603491,0.00997506234413965,0,0.00498753117206983,0,0,0.00249376558603491,0,0,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2407,0.00315457413249211,0.00157728706624606,0.0536277602523659,0.00157728706624606,0,0.665615141955836,0.0205047318611987,0.0205047318611987,0.00473186119873817,0.00473186119873817,0.0141955835962145,0.0347003154574132,0,0.00946372239747634,0.00157728706624606,0,0.00630914826498423,0.00473186119873817,0.026813880126183,0.0173501577287066,0.00473186119873817,0.00157728706624606,0.00946372239747634,0.0331230283911672,0,0,0.0189274447949527,0,0.0141955835962145,0.00473186119873817,0,0,0.00473186119873817,0.00630914826498423,0,0,0,0.00473186119873817,0.00473186119873817,0,0,0,0,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2846,0,0.00425531914893617,0.051063829787234,0.00638297872340425,0,0.606382978723404,0.025531914893617,0.0234042553191489,0.0106382978723404,0,0.0191489361702128,0.0595744680851064,0,0.0148936170212766,0,0.00212765957446809,0.00212765957446809,0.0106382978723404,0.0340425531914894,0.0106382978723404,0.00425531914893617,0.0106382978723404,0.00425531914893617,0.0446808510638298,0,0,0.00851063829787234,0,0.0361702127659574,0.00212765957446809,0.00212765957446809,0,0,0,0,0,0,0.00425531914893617,0,0,0,0,0,0,0.00212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3278,0,0.002,0.036,0.002,0,0.624,0.006,0.032,0.004,0.002,0.012,0.064,0,0.008,0.002,0,0.008,0.014,0.044,0.01,0,0.002,0.002,0.074,0.002,0,0.014,0,0.024,0,0.002,0.002,0,0,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3702,0.00261096605744125,0.00130548302872063,0.0352480417754569,0.00652741514360313,0.00261096605744125,0.656657963446475,0.0130548302872063,0.0130548302872063,0.00261096605744125,0.00261096605744125,0.0117493472584856,0.0939947780678851,0,0.0221932114882507,0.00522193211488251,0.00130548302872063,0.00522193211488251,0.00783289817232376,0.00652741514360313,0.0117493472584856,0.00391644908616188,0,0.010443864229765,0.0522193211488251,0,0,0.00783289817232376,0,0.00652741514360313,0,0.00261096605744125,0,0.00261096605744125,0.00130548302872063,0.00130548302872063,0,0,0.00261096605744125,0.00130548302872063,0,0.00130548302872063,0,0,0,0,0,0.00130548302872063,0.00261096605744125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4118,0.0026246719160105,0,0.062992125984252,0.0026246719160105,0,0.622047244094488,0.0131233595800525,0.0183727034120735,0.010498687664042,0.0026246719160105,0.0131233595800525,0.0446194225721785,0,0.0236220472440945,0,0,0.015748031496063,0.0131233595800525,0.020997375328084,0.015748031496063,0,0.0026246719160105,0.005249343832021,0.05249343832021,0,0,0.010498687664042,0,0.015748031496063,0.0026246719160105,0.0026246719160105,0.005249343832021,0.0078740157480315,0.005249343832021,0.0026246719160105,0,0,0,0.0026246719160105,0.0026246719160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
