"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Fraxinus","Herbs.undiff.","Humulus","Indeterminable","Juglans","Larix","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Populus","Quercus","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Tilia","Typha.latifolia","Ulmus"
60,3457,0,3,3,120,19,11,8,1,2,8,0,0,0,1,88,3,5,1,16,5,0,15,11,18,3,0,16,11,87,0,52,1,3,0,1,0,10,6
65,3708,0,1,2,166,19,14,20,4,0,10,0,0,0,5,94,1,5,0,9,2,0,9,1,1,3,1,10,5,67,0,36,0,0,0,1,0,4,5
70,3951,0,1,1,188,33,13,10,0,0,3,0,0,0,3,92,2,4,1,14,0,0,6,3,1,1,0,11,0,29,0,60,1,1,0,1,0,12,1
75,4185,0,0,4,158,39,5,12,0,0,8,0,0,0,0,90,1,4,0,8,2,0,5,1,0,3,1,15,10,53,0,38,0,0,0,0,0,2,10
80,4409,0,2,6,102,50,18,8,5,2,7,1,0,1,5,72,2,10,0,6,5,0,13,3,0,1,2,12,4,48,1,55,0,0,0,1,0,4,7
85,4622,0,1,1,192,28,16,11,3,2,3,0,0,0,0,120,0,5,0,14,1,0,14,1,0,2,2,12,4,44,0,58,1,3,0,3,0,7,2
90,4824,0,1,2,175,32,12,9,4,4,1,0,0,0,1,92,2,6,1,18,4,0,7,1,0,0,1,12,3,43,0,54,0,2,0,0,0,3,5
95,5014,0,0,1,215,16,10,9,0,0,1,1,0,1,1,63,1,4,0,8,2,0,20,0,0,0,1,17,4,32,0,34,0,3,0,0,0,2,3
100,5191,0,0,0,487,28,8,11,0,0,2,0,0,0,0,54,0,3,0,21,1,0,13,0,0,0,0,13,2,24,0,30,0,1,0,0,0,3,2
110,5517,0,1,0,712,19,12,8,0,0,1,0,0,0,4,35,0,2,0,34,0,0,3,0,0,0,7,16,0,26,0,23,3,0,0,0,1,0,2
120,5830,0,0,0,1414,26,6,15,0,0,0,0,0,2,0,30,0,3,0,37,0,0,2,0,0,1,6,15,2,28,0,27,0,0,0,0,0,7,2
130,6160,0,1,2,993,36,7,15,1,0,0,0,0,1,0,30,1,6,0,28,3,0,3,0,0,0,2,10,0,22,0,21,1,1,0,0,0,1,3
140,6538,1,1,3,1319,32,2,6,1,0,4,0,0,0,0,48,1,2,0,13,2,0,1,0,0,0,4,10,2,25,0,17,2,1,0,1,0,3,3
150,6994,0,5,3,1052,51,6,13,2,0,1,0,0,3,0,37,0,7,0,21,0,0,3,0,0,4,10,20,3,21,0,37,3,1,0,0,0,6,2
155,7261,0,1,3,396,71,11,16,2,0,1,0,0,3,0,38,1,3,0,18,0,0,6,0,0,1,13,13,2,29,0,36,1,0,0,1,0,4,3
160,7555,0,4,2,271,91,16,19,0,0,1,0,0,0,0,31,3,6,0,31,2,0,4,0,0,3,17,19,3,61,1,65,1,0,0,0,0,4,3
