"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Brassicaceae","Caltha","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Ceanothus","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dryopteris.type","Ephedra","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Huperzia.selago","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Ledum.Chamaedaphne.calyculata","Lemnaceae","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla.type","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae.trees","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Spiraea.type","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Utricularia","Viburnum","Xanthium"
152,28,21,1,1,0,2,0,51,18,52,0,0,0,16,0,0,112,0,0,1,0,0,0,0,4,0,0,4,17,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,23,0,4,0,0,1,0,1,0,0,3,101,40,111,292,0,1,27,0,0,1,1,0,0,0,0,1,0,24,0,0,0,0,0,0,3,1,0,0,0,0,16,0,0,1,0,0,1,12,0,0,0
156,44,20,0,0,0,1,1,52,11,46,0,1,0,18,1,0,133,0,0,0,0,0,0,0,1,0,0,5,5,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,20,0,0,0,1,1,0,0,0,12,1,91,53,96,388,0,0,27,0,0,0,2,0,0,2,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0
166,84,15,1,0,0,1,0,43,5,28,0,0,0,12,4,0,118,0,0,0,0,0,0,0,0,0,0,2,9,7,0,0,2,0,1,2,0,2,2,1,0,0,0,0,1,0,0,0,25,1,8,0,0,1,0,1,0,12,1,89,46,140,289,0,0,12,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,1,4,0,0,0,0,13,0,0,1,0,0,0,7,0,0,1
186,252,14,0,0,0,0,2,34,6,10,0,0,0,15,6,0,148,0,0,0,0,0,0,1,1,1,0,6,15,8,0,0,7,1,2,0,0,3,1,0,0,0,0,0,0,0,1,0,37,1,9,0,0,1,0,1,0,5,1,76,26,135,288,0,0,5,0,0,0,2,0,1,0,0,0,0,32,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,1,0,1,1,5,0,0,2
207,453,10,0,0,0,0,0,31,3,9,1,0,0,8,7,0,102,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,3,5,50,29,86,274,0,1,3,0,0,0,2,0,0,1,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,5,0,0,1
221,586,10,0,0,0,0,1,59,3,13,0,0,1,22,1,0,161,0,0,0,0,0,0,2,0,0,0,3,7,8,0,1,0,0,1,2,0,4,0,0,0,0,0,0,1,0,0,0,43,2,0,0,0,2,0,3,0,8,6,74,56,178,268,0,0,6,0,0,0,2,0,0,0,0,0,0,28,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,4,2,14,0,0,0
235,720,5,1,0,0,0,0,27,0,5,0,0,1,17,3,0,119,0,0,0,0,0,0,0,0,0,0,2,11,6,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,28,0,1,0,0,6,0,0,0,8,5,64,47,148,158,0,0,9,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0
245,815,10,0,0,0,0,0,28,1,0,0,0,0,7,2,0,81,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,12,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,4,0,2,0,20,1,60,17,131,299,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,1,0,0,5,0,0,0
250,863,13,0,0,0,1,0,52,3,8,0,0,0,14,10,0,132,0,0,0,0,0,1,0,0,0,0,3,2,5,0,1,14,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,43,0,0,0,1,6,0,3,0,21,4,64,42,151,345,0,0,10,0,0,1,4,1,0,0,0,0,4,27,0,0,0,1,0,2,7,1,0,0,0,0,6,2,0,1,0,0,0,9,0,0,0
260,958,7,0,0,0,0,0,21,4,3,0,0,0,8,2,0,65,0,0,0,0,0,0,0,1,0,0,2,5,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,41,1,0,0,0,4,0,0,0,9,3,62,18,225,245,0,0,5,0,0,0,1,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,3,2,0,0,0
