"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Ephedra.torreyana.type","Fraxinus.americana.type","Pinus","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Impatiens","Thalictrum","Rosaceae","Abies","Ostrya.Carpinus","Acer.negundo","Rumex","Iva.xanthifolia","Carya","Iva.annua","Ephedra.nevadensis.type","Xanthium","Acer.rubrum","Dalea.purpurea","Tsuga","Platanus","Amorpha","Lamiaceae","Ranunculus","Fagus","Juglans.nigra","Dalea.candida.type","Plantago","Apiaceae","Brassicaceae","Shepherdia.argentea","Celtis","Shepherdia.canadensis","Ericaceae"
1,1,0.0167597765363128,0.156424581005587,0.0446927374301676,0.00837988826815642,0.00837988826815642,0.0111731843575419,0.0111731843575419,0.00279329608938547,0.00558659217877095,0.00279329608938547,0.00837988826815642,0.0726256983240224,0.00279329608938547,0.00279329608938547,0.00279329608938547,0.00279329608938547,0.0167597765363128,0.0391061452513966,0.0670391061452514,0.00279329608938547,0.00837988826815642,0.480446927374302,0.0111731843575419,0.00837988826815642,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,0.0186666666666667,0.0693333333333333,0.0293333333333333,0.008,0.0133333333333333,0.0133333333333333,0.008,0,0.00533333333333333,0,0.016,0.0746666666666667,0.0106666666666667,0,0,0.008,0.00533333333333333,0.04,0.0933333333333333,0,0.00266666666666667,0.514666666666667,0.0186666666666667,0.032,0.00533333333333333,0.00533333333333333,0.00266666666666667,0.00266666666666667,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,39,0.0214067278287462,0.0764525993883792,0.036697247706422,0.0122324159021407,0,0.0122324159021407,0.00611620795107034,0,0.0122324159021407,0,0.0122324159021407,0.0336391437308868,0.0091743119266055,0,0,0.00611620795107034,0,0.055045871559633,0.0672782874617737,0,0,0.605504587155963,0.00305810397553517,0.0152905198776758,0.00305810397553517,0.00611620795107034,0,0,0,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,52,0.0183727034120735,0.062992125984252,0.0131233595800525,0.0078740157480315,0.0078740157480315,0.0078740157480315,0.0078740157480315,0,0.010498687664042,0,0.015748031496063,0.020997375328084,0,0,0,0.0026246719160105,0.010498687664042,0.026246719160105,0.0341207349081365,0,0.0078740157480315,0.700787401574803,0.005249343832021,0.0131233595800525,0.0078740157480315,0,0,0.0026246719160105,0,0.0026246719160105,0.005249343832021,0.0026246719160105,0.0026246719160105,0.0026246719160105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,64,0.0151515151515152,0.0696969696969697,0.00909090909090909,0.00303030303030303,0,0,0.00303030303030303,0,0.00909090909090909,0,0.00606060606060606,0.0393939393939394,0,0,0,0.00303030303030303,0.00606060606060606,0.0515151515151515,0.0363636363636364,0,0.00303030303030303,0.721212121212121,0,0.0151515151515152,0,0,0,0,0,0,0.00303030303030303,0,0,0,0.00303030303030303,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,122,0.0163398692810458,0.0751633986928105,0.0065359477124183,0,0,0.0130718954248366,0.00326797385620915,0,0.0065359477124183,0,0.00326797385620915,0.0228758169934641,0,0,0,0.00980392156862745,0.00326797385620915,0.0228758169934641,0.0130718954248366,0,0,0.745098039215686,0.00980392156862745,0.0261437908496732,0.0065359477124183,0,0,0,0,0.0065359477124183,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,327,0.0198863636363636,0.0539772727272727,0.00284090909090909,0.00852272727272727,0,0,0.00568181818181818,0,0.0113636363636364,0,0.0284090909090909,0.0397727272727273,0,0,0,0.00284090909090909,0.00568181818181818,0.0142045454545455,0.0113636363636364,0,0.00568181818181818,0.747159090909091,0.00284090909090909,0.00284090909090909,0,0,0,0.00568181818181818,0,0.00568181818181818,0.0198863636363636,0.00284090909090909,0,0,0,0,0.00284090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,533,0.0205882352941176,0.0794117647058823,0,0.00588235294117647,0.00588235294117647,0.00294117647058824,0.00588235294117647,0,0.00294117647058824,0,0.0235294117647059,0.0294117647058824,0.0088235294117647,0.00294117647058824,0.00294117647058824,0,0.0088235294117647,0.0470588235294118,0.0147058823529412,0,0.00588235294117647,0.691176470588235,0.00588235294117647,0.0088235294117647,0.00588235294117647,0,0,0,0,0.0088235294117647,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,738,0.0223463687150838,0.0418994413407821,0,0.00837988826815642,0.00279329608938547,0.0111731843575419,0.00279329608938547,0,0.00558659217877095,0,0.0195530726256983,0.0251396648044693,0.00558659217877095,0.00279329608938547,0,0.00558659217877095,0.00837988826815642,0.0335195530726257,0.0195530726256983,0,0.00279329608938547,0.756983240223464,0.00279329608938547,0.0139664804469274,0.00279329608938547,0,0,0,0,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,943,0.0282776349614396,0.0616966580976864,0,0.0051413881748072,0.0025706940874036,0.0102827763496144,0,0,0.0077120822622108,0,0.0051413881748072,0.0359897172236504,0,0,0,0.0025706940874036,0,0.0359897172236504,0.0154241645244216,0,0,0.750642673521851,0.0051413881748072,0.0179948586118252,0.0051413881748072,0,0,0,0,0,0.0077120822622108,0,0,0,0,0,0,0.0025706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
