"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Iva.annua.type","Lamiaceae","Plantago","Poaceae.undiff.","Rosaceae","Rumex","Thalictrum","Zea.mays"
0,-27,0,0.00272479564032698,0.0108991825613079,0.0599455040871935,0,0,0,0,0,0,0,0,0,0,0,0.425068119891008,0,0.00272479564032698,0.177111716621253,0,0,0.0136239782016349,0.00817438692098093,0,0,0.00544959128065395,0,0.147138964577657,0,0,0.0790190735694823,0.0190735694822888,0,0,0,0,0.0490463215258856,0,0,0,0
40,230,0,0.00731707317073171,0.0341463414634146,0.0780487804878049,0,0,0.0024390243902439,0,0,0.00731707317073171,0,0,0.0024390243902439,0,0,0.121951219512195,0.0097560975609756,0.0048780487804878,0.0951219512195122,0,0,0.0414634146341463,0.0121951219512195,0,0,0.0170731707317073,0.0024390243902439,0.370731707317073,0,0,0.00731707317073171,0.0317073170731707,0.073170731707317,0.0024390243902439,0.0024390243902439,0.0024390243902439,0.0707317073170732,0,0.0024390243902439,0,0
50,294,0.00539083557951483,0.0161725067385445,0.0377358490566038,0.0619946091644205,0,0,0,0.0134770889487871,0,0.0107816711590297,0.00808625336927224,0,0.00269541778975741,0,0.00269541778975741,0.21832884097035,0.0107816711590297,0.0134770889487871,0.0539083557951483,0.00269541778975741,0,0.045822102425876,0.0835579514824798,0.00808625336927224,0.0134770889487871,0.0188679245283019,0,0.148247978436658,0,0,0.00269541778975741,0.00539083557951483,0.0512129380053908,0,0,0,0.15633423180593,0,0.00539083557951483,0,0.00269541778975741
60,358,0.0176991150442478,0.0176991150442478,0,0,0,0,0,0,0.0088495575221239,0.0353982300884956,0,0,0,0,0.0088495575221239,0,0,0,0.539823008849557,0.0088495575221239,0,0.088495575221239,0.0088495575221239,0,0.168141592920354,0.0353982300884956,0,0.0088495575221239,0,0,0,0,0.0088495575221239,0,0,0,0.0265486725663717,0,0,0.0176991150442478,0
90,551,0.00684931506849315,0.0342465753424658,0,0.00684931506849315,0,0,0,0,0,0,0,0,0,0,0.0205479452054795,0,0,0.0205479452054795,0.636986301369863,0,0,0.0410958904109589,0.00684931506849315,0.00684931506849315,0.157534246575342,0.0136986301369863,0,0,0,0,0,0,0.0342465753424658,0,0,0,0,0,0,0.0136986301369863,0
110,680,0.0116279069767442,0.0116279069767442,0,0,0,0,0,0,0,0,0,0.00581395348837209,0,0,0.0581395348837209,0.0116279069767442,0,0.0174418604651163,0.604651162790698,0,0,0.0465116279069767,0.00581395348837209,0,0.203488372093023,0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0.0116279069767442,0,0,0,0
130,808,0,0.0608108108108108,0.00675675675675676,0.0337837837837838,0.00675675675675676,0,0,0,0,0,0,0.00675675675675676,0,0,0.0135135135135135,0.00675675675675676,0,0.0135135135135135,0.581081081081081,0,0,0.0202702702702703,0.0202702702702703,0.00675675675675676,0.162162162162162,0.00675675675675676,0,0,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0
160,1001,0,0.111111111111111,0,0.0256410256410256,0,0,0,0,0,0.0256410256410256,0,0.0170940170940171,0,0,0,0,0,0.0427350427350427,0.427350427350427,0,0,0.094017094017094,0.102564102564103,0.00854700854700855,0.0769230769230769,0.0256410256410256,0,0,0,0,0,0.00854700854700855,0.0256410256410256,0,0,0,0.00854700854700855,0,0,0,0
180,1129,0,0.0846153846153846,0.00769230769230769,0,0,0,0,0.0153846153846154,0,0.0615384615384615,0.00769230769230769,0,0,0,0,0,0,0.00769230769230769,0.476923076923077,0,0,0.0461538461538462,0.2,0,0.0769230769230769,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0
190,1193,0,0.0583333333333333,0.00833333333333333,0.0333333333333333,0.00833333333333333,0,0,0,0,0.0583333333333333,0.0166666666666667,0.00833333333333333,0,0,0,0,0,0.025,0.325,0,0,0.141666666666667,0.0416666666666667,0,0.15,0.0166666666666667,0,0,0,0.00833333333333333,0,0,0.00833333333333333,0,0,0,0.0916666666666667,0,0,0,0
200,1276,0,0.0601092896174863,0.0109289617486339,0.0546448087431694,0,0.00546448087431694,0,0.00546448087431694,0,0.0491803278688525,0.0163934426229508,0.0109289617486339,0.0109289617486339,0,0,0.00546448087431694,0.0327868852459016,0.0109289617486339,0.163934426229508,0.00546448087431694,0,0.109289617486339,0.0218579234972678,0,0.0765027322404372,0.0491803278688525,0,0.0109289617486339,0,0,0.00546448087431694,0,0.0163934426229508,0,0,0,0.26775956284153,0,0,0,0
210,1375,0,0.0251046025104603,0,0.0543933054393305,0.00418410041841004,0,0,0,0,0.0418410041841004,0.00836820083682008,0.0209205020920502,0,0,0,0.00418410041841004,0.0209205020920502,0.00418410041841004,0.133891213389121,0,0,0.0543933054393305,0.0251046025104603,0,0.0502092050209205,0.0209205020920502,0,0,0,0,0.00418410041841004,0,0.0167364016736402,0,0,0,0.510460251046025,0,0,0,0
220,1475,0,0.01875,0.009375,0.05,0,0,0,0.015625,0,0.040625,0,0.00625,0,0,0.003125,0.003125,0.009375,0.003125,0.05,0,0,0.06875,0.003125,0.009375,0.025,0.034375,0,0,0,0.003125,0.003125,0,0.009375,0,0,0,0.634375,0,0,0,0
230,1575,0.00353356890459364,0.0459363957597173,0.00353356890459364,0.03886925795053,0.00353356890459364,0,0,0.0141342756183746,0,0.0424028268551237,0,0.0141342756183746,0,0,0,0,0.0141342756183746,0.00706713780918728,0.0459363957597173,0,0,0.0777385159010601,0.0141342756183746,0.0141342756183746,0.0141342756183746,0.0424028268551237,0,0,0,0,0,0,0.00353356890459364,0,0,0,0.600706713780919,0,0,0,0
240,1675,0,0.0738636363636364,0.0113636363636364,0.0681818181818182,0.00568181818181818,0,0,0.0340909090909091,0,0.0397727272727273,0.0625,0.0113636363636364,0,0,0,0,0.0227272727272727,0.0113636363636364,0.107954545454545,0,0,0.0852272727272727,0.0681818181818182,0.00568181818181818,0.0511363636363636,0.0397727272727273,0,0,0.00568181818181818,0,0,0,0.0340909090909091,0,0,0,0.255681818181818,0,0,0.00568181818181818,0
