"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Ericaceae","Fagus","Fraxinus..tetracolpate.","Ilex","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus.incana","Ambrosia","Juniperus.Thuja","Amaranthaceae","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus..tricolpate.","Tilia","Corylus","Platanus","Castanea","Alnus.viridis","Juglans","Myrica","Celtis","Thalictrum","Cyperaceae","Carya","Salix","Rosaceae","Cornus","Populus","Lycopus","Impatiens","cf..Vitis","Urtica","Asteraceae.subf..Cichorioideae"
7,59,356,14,4,129,24,4,2,1,2,5,53,27,7,1,17,1,1,1,15,10,2,1,10,3,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,684,335,2,0,111,12,27,1,0,0,1,8,44,7,0,107,0,0,0,3,0,0,1,0,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1558,374,0,0,144,1,16,0,1,3,7,19,37,5,0,104,0,3,0,4,0,0,0,2,2,19,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2083,505,3,1,131,11,37,4,0,3,2,16,53,14,0,179,0,2,0,5,0,0,0,3,6,21,2,3,1,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
227,3287,354,8,2,111,2,22,4,0,2,1,9,49,7,0,79,0,0,0,2,0,0,0,1,2,42,2,3,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
257,3843,344,4,1,75,3,33,0,0,0,5,14,71,9,0,46,0,1,0,12,0,0,0,2,5,57,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,4121,369,3,0,126,2,45,2,0,1,3,15,48,33,0,16,0,5,0,8,0,0,0,0,4,46,1,4,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
352,5453,498,2,5,129,3,37,1,1,0,3,8,82,30,0,136,0,13,0,5,0,0,0,0,4,20,2,4,0,0,0,0,0,0,2,1,0,8,2,0,0,0,0,0,0,0,0,0
382,5949,356,0,0,93,2,11,0,0,1,2,6,66,17,0,127,0,2,0,2,0,0,0,0,1,15,0,5,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0
467,7005,334,4,1,60,1,10,2,0,2,1,6,95,11,0,52,0,3,0,2,0,0,0,3,4,45,2,5,0,0,0,0,3,0,1,0,0,15,1,0,2,1,1,1,0,0,0,0
497,7297,328,2,0,29,0,3,3,1,0,1,6,115,24,0,46,1,4,0,3,1,0,0,0,1,81,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0
542,7869,310,0,1,38,0,7,2,0,1,2,13,76,21,0,40,3,10,0,3,0,2,0,1,0,81,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0
587,8472,383,2,0,53,1,1,1,0,0,3,22,108,49,0,22,0,7,0,4,0,0,0,4,2,83,5,5,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,3,0,0
657,10869,388,15,2,54,0,0,2,1,1,3,29,104,35,0,4,0,5,0,4,0,3,1,8,1,85,9,5,0,1,1,0,4,0,0,0,0,1,1,2,2,0,5,0,0,0,0,0
727,NA,411,9,1,100,0,0,1,0,0,6,56,130,26,0,2,1,6,0,4,0,5,0,7,2,24,7,8,0,0,0,0,7,0,2,0,0,1,1,3,0,0,1,0,0,0,1,0
762,NA,411,3,0,113,1,0,0,0,0,4,150,21,6,0,0,2,0,0,1,0,6,0,8,1,4,18,0,0,1,0,0,10,0,0,0,0,49,0,11,0,0,0,0,0,0,0,2
