"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Trees.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Myrica","Populus","Poaceae","Plantago","Corylus","Cupressaceae","Cyperaceae","Castanea","Taxus","Platanus","Tilia","Aquifoliaceae","Juglans.cinerea","Ericaceae","Sarcobatus.vermiculatus","Juglans.nigra","Sanguisorba","Rhamnaceae.Vitaceae","Liquidambar","Shepherdia","Elaeagnus","Juglans.undiff.","Asteraceae.subf..Cichorioideae"
0,-30,512,3,31,1,100,1,1,18,2,1,11,20,37,76,53,17,5,2,1,1,29,3,18,33,8,1,8,13,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,101,334,2,26,3,66,0,0,8,4,0,5,13,18,72,20,12,2,1,0,0,9,0,5,26,5,0,7,2,6,13,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,232,321,3,15,1,52,0,2,5,2,4,13,9,14,82,34,12,1,3,0,0,10,0,4,19,5,0,5,4,4,11,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,495,331,3,6,2,66,1,0,15,2,6,2,15,13,106,23,10,2,0,0,0,19,0,7,7,9,0,2,1,1,7,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,734,369,4,0,1,62,0,0,12,2,1,13,13,13,136,13,19,0,0,0,0,32,0,8,0,4,1,7,0,0,1,0,0,16,5,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
60,932,414,5,0,2,94,1,0,22,2,4,12,4,13,87,19,16,0,1,1,0,44,1,5,28,15,1,14,5,2,2,0,1,1,8,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
80,1131,327,1,0,1,56,0,0,29,1,3,2,6,16,65,25,10,0,1,0,0,66,0,5,11,9,0,7,1,1,2,0,1,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
100,1329,297,1,0,1,65,0,0,27,1,1,3,6,12,74,14,16,1,0,0,0,45,0,7,3,7,0,4,1,0,2,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,1527,317,4,1,0,73,1,1,32,2,1,3,3,6,39,17,20,0,0,0,0,71,0,17,7,9,1,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1725,323,0,0,1,81,1,0,14,0,0,1,4,18,76,24,16,0,0,0,0,48,1,4,11,5,0,7,3,2,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
160,1924,371,2,1,0,99,2,0,23,1,1,10,1,12,78,21,26,0,0,0,0,42,0,7,10,13,0,8,0,0,2,0,1,2,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
180,2122,474,3,0,3,97,0,0,40,2,3,9,8,18,123,22,20,0,0,0,0,85,2,10,7,10,0,8,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,2320,376,0,2,1,73,1,1,27,1,1,7,2,16,114,17,20,0,0,0,0,47,3,9,7,8,0,8,4,0,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
220,2518,313,1,0,0,69,1,0,43,1,4,6,7,12,57,13,21,0,0,0,0,39,0,12,3,8,0,6,0,1,0,0,0,2,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0
240,2717,328,6,0,1,65,1,0,30,1,1,4,2,5,73,18,10,0,0,0,0,68,0,7,3,12,0,11,2,1,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
260,2915,330,2,0,1,59,1,0,42,2,3,6,2,7,51,18,15,0,1,0,0,82,0,8,4,7,0,8,1,1,1,0,1,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
260,2915,330,2,0,1,59,1,0,42,2,3,6,2,7,51,18,15,0,1,0,0,82,0,8,4,7,0,8,1,1,1,0,1,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
280,3113,326,1,1,0,59,1,1,23,1,4,6,2,20,75,25,14,0,0,0,0,66,0,8,6,6,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
300,3312,426,1,0,0,71,0,0,31,3,4,15,3,11,104,40,22,0,0,0,0,63,0,5,6,16,0,14,2,3,1,0,0,4,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
310,3411,484,3,2,3,87,1,0,33,1,0,10,1,11,176,20,23,0,0,0,0,37,0,8,11,15,1,16,2,4,0,0,0,13,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
310,3411,484,3,2,3,87,1,0,33,1,0,10,1,11,176,20,23,0,0,0,0,37,0,8,11,15,1,16,2,4,0,0,0,13,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
320,3583,396,3,2,1,100,0,0,22,0,0,6,2,18,122,35,20,0,0,0,0,9,0,6,7,14,0,10,2,3,2,0,1,4,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
340,3991,387,0,1,2,81,2,0,12,1,0,9,5,19,121,46,24,0,1,0,1,7,2,12,9,10,0,4,2,4,1,0,0,2,3,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0
360,4398,480,0,0,0,99,2,0,29,0,0,14,4,20,141,39,48,0,0,0,0,12,0,18,7,10,0,12,4,3,1,0,1,7,2,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0
380,4806,436,0,1,0,90,3,1,11,2,0,11,5,21,142,43,39,0,1,0,0,13,0,12,18,9,0,8,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,5111,378,0,0,1,72,1,1,19,0,1,11,0,23,116,37,24,0,2,1,0,20,1,13,10,5,0,8,1,1,1,0,0,1,2,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0
422,5445,293,1,1,2,78,4,0,11,2,0,5,3,18,76,20,12,0,0,0,0,17,0,14,8,5,0,3,0,2,2,0,0,0,1,0,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0
430,5567,517,0,1,1,147,0,1,22,3,0,4,5,14,125,20,11,0,1,0,0,68,0,26,14,11,0,10,2,1,1,0,0,19,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
440,5719,383,1,1,1,59,1,0,7,0,1,6,2,16,132,28,17,0,0,0,0,65,0,9,9,10,0,9,0,1,1,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
460,6023,389,0,1,0,65,1,1,7,1,1,12,1,14,109,32,33,0,0,0,0,55,0,16,9,13,0,13,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,6328,418,0,0,0,42,0,0,7,1,1,7,1,26,158,48,21,0,0,0,0,64,0,13,9,7,0,7,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
500,6632,455,0,1,1,49,0,0,3,0,0,13,1,43,128,55,34,0,2,0,0,49,1,15,23,9,1,10,3,0,1,0,0,1,4,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
521,6952,609,0,1,1,83,0,1,12,1,2,21,0,54,185,71,56,0,0,0,0,43,0,23,13,13,0,13,2,1,0,0,0,0,4,0,0,4,2,0,0,0,0,2,0,0,1,0,0,0,0
540,7241,666,2,1,1,50,1,0,6,2,1,25,2,72,273,64,66,0,0,0,0,30,0,20,6,11,0,17,4,1,0,0,1,0,3,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
550,7397,683,2,4,1,30,1,1,4,2,1,17,2,34,370,92,60,0,1,0,0,6,0,6,11,10,0,12,5,2,3,0,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
560,7556,526,2,0,1,29,0,2,4,0,0,24,1,38,274,65,43,0,2,0,0,6,0,7,2,7,0,13,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
580,7876,546,0,1,1,26,0,1,5,1,1,37,2,56,233,60,63,0,1,0,0,4,1,22,4,6,0,7,0,7,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0
590,8035,494,2,0,2,31,1,0,4,1,0,24,5,48,256,36,36,0,0,0,0,3,1,7,12,4,0,7,1,3,1,0,3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
600,8195,347,0,1,0,25,0,0,1,1,1,15,3,47,140,45,29,0,0,0,0,2,0,9,6,5,0,10,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
621,8530,400,4,0,1,49,0,0,0,1,1,8,3,110,122,40,19,0,0,0,0,2,0,8,15,3,0,3,5,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
640,8833,438,4,0,1,41,0,0,1,0,0,4,3,107,161,64,18,0,1,1,0,1,0,4,7,2,0,6,5,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,9153,374,3,3,1,32,0,0,1,0,0,4,6,114,102,63,21,0,0,0,0,0,0,3,5,1,2,3,1,0,2,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
680,9472,324,3,3,1,51,0,2,0,0,2,3,3,96,74,33,14,0,1,0,0,2,1,2,14,1,0,6,2,3,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
700,9791,506,5,2,2,107,1,0,0,4,2,3,6,182,51,54,25,0,1,0,0,0,0,13,14,0,0,11,5,6,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
721,10126,372,0,0,5,67,0,1,0,0,2,4,5,177,24,36,14,0,1,0,0,1,0,5,7,1,0,3,2,3,6,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
740,10430,454,0,5,3,72,0,0,1,0,0,10,11,163,21,55,29,0,2,0,0,1,1,7,27,2,0,4,12,13,7,0,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
760,10749,334,1,1,1,61,1,2,0,1,1,5,9,145,13,43,12,0,2,0,0,1,0,8,11,1,0,2,3,2,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,11068,583,1,0,2,90,3,0,0,2,3,3,12,327,17,52,23,1,1,0,0,2,0,5,6,2,0,5,10,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,11168,486,1,4,8,90,1,0,1,1,2,6,26,211,19,29,20,0,6,0,0,2,0,10,3,1,1,1,8,15,13,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
800,11268,343,0,0,6,127,2,0,1,4,3,4,23,72,9,3,23,0,4,0,0,0,0,6,2,1,0,4,16,18,9,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
810,11369,299,0,1,1,111,0,0,0,4,2,9,37,46,12,9,19,0,0,0,0,2,0,12,0,3,1,5,13,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,11469,334,0,4,4,68,0,0,0,1,5,14,45,43,23,10,23,0,4,0,0,0,0,9,1,5,1,7,41,13,4,0,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
830,11569,306,0,5,8,39,0,1,1,5,4,12,49,34,22,2,24,0,9,0,0,0,2,5,0,3,0,4,36,24,6,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,11669,307,0,2,13,27,3,2,0,1,2,8,82,35,22,4,35,0,5,0,0,1,0,12,0,0,0,4,28,12,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
850,11769,299,0,0,4,37,1,1,0,2,1,10,120,15,15,8,24,0,5,0,0,0,1,4,1,1,0,5,11,27,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,11819,295,0,2,5,18,0,0,0,2,0,5,119,13,9,4,28,0,9,0,0,0,3,10,3,2,1,6,23,30,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,11869,360,1,0,6,27,0,0,2,4,0,6,124,30,17,8,28,0,7,0,0,1,0,8,4,3,0,4,39,25,2,0,3,0,4,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0
864,11912,323,1,2,7,30,1,0,1,4,0,13,39,22,4,3,35,0,12,0,0,0,0,6,5,2,0,7,18,88,6,0,0,8,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
866,11935,298,1,2,4,37,1,0,1,1,0,5,41,27,19,5,7,0,5,0,0,1,1,2,6,1,0,4,2,109,2,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
