"sample.depths","sample.ages","Abies","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Caltha.type","Carya","Caryophyllaceae.undiff.","Castanea","Celtis","Cephalanthus","cf..Scheuchzeria.palustris","Cornus.canadensis","Cornus.sericea.type","Cornus.undiff.","Corylus","Cupressaceae","Cyperaceae","Cystopteris.type","Dennstaedtia.type","Dryas","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.undiff.","Lamiaceae.undiff.","Larix","Lemnaceae","Liliaceae","Lobelia.type","Lycopodium.type","Melampyrum.type","Mentha.arvensis","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ononis.type","Osmunda","Ostrya.Carpinus","Pedicularis","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Polygonum.viviparum","Polypodium","Populus","Potamogetonaceae","Potentilla","Prunus.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Ranunculus.type.undiff.","Rosa","Rosaceae.undiff.","Rubus.cf..R..chamaemorus","Rumex","Rumex.Oxyria.digyna.undiff.","Salix","Sambucus","Saxifraga.cf..S..punctata","Saxifraga.cf..S..stellaris","Saxifraga.undiff.","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Stellaria.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..alete.","Unknown..trilete..undiff.","Urtica"
740.5,-66,6,0,1,0,3,12,1,0,6,0,0,4,6,0,71,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,3,0,0,0,0,0,0,0,0,0,5,11,0,9,0,2,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,19,4,28,0,0,0,0,38,0,1,0,0,0,0,2,1,0,0,4,11,0,0,0,0,1,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,3,4,0,1,0
748.5,-54,5,0,0,0,5,20,0,0,7,0,0,3,0,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,1,0,0,0,0,0,0,0,9,8,0,8,0,1,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,13,0,28,0,0,0,0,49,0,1,0,0,0,0,1,0,0,1,1,8,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,6,6,0,1,0
756.5,-40,4,0,0,0,1,20,1,0,14,0,1,4,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,1,0,0,0,0,0,0,0,12,11,0,9,1,0,17,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,12,2,24,0,1,0,0,50,0,0,0,0,0,0,0,1,0,0,3,11,0,0,0,0,1,0,8,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,5,6,0,1,0
764.5,-23,2,0,1,0,1,20,2,0,11,0,0,2,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,3,0,1,0,0,0,0,0,0,0,11,7,0,6,0,0,13,0,0,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,3,0,17,1,25,0,1,0,0,43,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,4,0,2,0
768.5,-13,5,0,1,0,1,29,10,2,7,0,0,1,3,0,87,0,0,1,0,1,0,0,0,0,0,0,0,0,5,10,3,0,0,0,0,0,0,0,0,0,15,6,0,6,0,0,12,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,2,0,14,0,25,1,0,0,0,34,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,7,5,0,0,0
770,-9,3,0,1,1,1,24,0,0,10,1,0,3,4,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,20,13,0,7,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,0,7,0,30,0,0,0,0,27,1,0,0,0,0,0,6,0,0,0,5,10,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,20,0,2,3,0,2,0
772.5,-1,8,0,0,0,2,25,1,0,13,0,2,0,4,0,99,0,0,0,0,0,0,1,0,0,0,1,0,0,9,22,4,0,0,0,1,0,0,0,0,0,6,7,0,5,0,0,18,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,3,0,23,0,1,0,0,34,0,0,0,0,0,1,3,0,0,0,4,8,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,6,3,0,0,0
780,24,3,0,0,0,4,20,0,0,7,0,0,3,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1,0,1,0,2,0,0,0,0,0,5,14,0,3,0,0,12,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,7,0,28,0,0,0,0,17,0,0,0,1,0,0,3,0,0,1,2,14,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,8,3,0,3,0
800,126,3,0,1,0,1,29,1,2,4,1,2,2,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,0,0,0,17,7,0,10,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,1,0,17,2,30,0,0,0,0,23,0,0,1,0,0,1,1,2,0,0,10,9,0,2,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,2,2,0,1,0
820,296,3,0,1,0,4,3,0,0,3,0,1,0,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,37,3,0,5,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,17,2,28,0,1,0,0,3,0,0,0,0,0,0,1,2,0,0,8,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1,2,0,0,0
