"sample.depths","sample.ages","upland.sum","Betula","Cyperaceae","Fagus","Larix","Picea","Quercus","Salix","Alnus","Ambrosia","Fraxinus.americana.type","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Ericales","Abies","Artemisia","Juglans.cinerea","Tsuga","Ulmus","Myrica","Poaceae","Amaranthaceae.undiff.","Ostrya.Carpinus","Fraxinus.nigra","Platanus","Cupressaceae","Asteraceae.subf..Asteroideae.undiff.","Populus","Apiaceae","Carya","Sarcobatus.vermiculatus","Shepherdia.canadensis","Elaeagnus","Celtis"
200,4076,215,17,7,1,1,3,1,1,3,1,1,1,107,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4282,212,15,8,1,0,17,2,0,1,0,0,0,106,52,0,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4488,205,2,4,0,0,2,0,0,0,0,0,1,135,54,0,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
230,4693,207,9,6,0,6,4,3,0,1,0,0,0,82,92,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,4899,209,3,4,1,0,5,4,0,4,0,1,0,93,85,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
250,5104,209,9,3,0,3,2,4,1,4,0,0,0,108,67,0,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
260,5310,202,1,1,1,0,1,0,0,1,0,0,0,149,44,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
270,5515,207,5,3,0,1,6,1,0,2,0,0,0,71,110,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
280,5721,215,7,8,0,0,4,2,0,5,0,0,1,114,66,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
290,5926,202,1,1,0,0,5,1,0,1,0,0,0,154,36,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6132,206,6,3,0,2,2,1,0,2,0,0,0,140,44,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
310,6453,200,5,0,0,0,1,4,0,0,0,0,0,132,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,7121,202,7,0,0,0,2,1,0,1,0,0,0,133,53,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
330,7788,204,5,1,1,6,1,1,0,1,0,0,0,113,71,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
340,8456,201,10,0,0,2,4,3,0,0,0,0,0,116,60,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
350,9124,206,12,0,0,6,10,2,0,1,0,0,0,30,130,0,4,4,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
360,9791,213,25,0,0,2,10,1,0,10,0,0,0,0,147,0,11,1,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
370,10459,205,12,1,0,2,9,6,0,2,0,0,1,3,163,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
380,11127,173,5,1,0,0,12,2,0,2,0,0,0,0,147,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
390,NA,206,28,0,0,1,50,1,0,0,2,0,0,6,112,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
400,NA,208,22,2,0,6,69,11,0,0,2,0,0,14,68,0,0,3,0,0,3,1,0,0,3,0,0,3,0,1,0,0,0,0,0,0
410,NA,216,22,2,0,2,82,11,1,1,4,0,0,0,77,1,0,3,0,0,3,1,0,1,3,0,0,2,0,0,0,0,0,0,0,0
420,NA,208,13,0,0,2,127,4,1,0,0,0,0,2,38,0,1,2,0,0,5,1,0,1,1,0,0,3,3,4,0,0,0,0,0,0
430,NA,209,9,1,1,0,117,14,1,2,2,0,1,3,47,0,0,2,0,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
440,NA,218,11,8,0,0,104,12,2,0,1,0,1,7,54,0,0,5,0,0,2,1,0,0,0,0,0,6,0,2,0,0,1,1,0,0
450,NA,231,18,1,0,0,26,37,7,2,5,0,1,3,76,0,0,6,1,0,13,1,1,3,5,1,0,5,3,11,0,3,0,1,1,0
460,NA,227,18,6,0,1,24,5,4,0,2,0,1,9,116,0,2,5,0,0,18,1,4,3,0,0,0,5,1,0,0,0,1,0,0,1
