"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Achillea.type","Adiantum.pedatum","Alnus.incana.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium.filix.femina","Athyrium.undiff.","Berchemia.scandens","Betula","Bidens.type","Botrychium.multifidum","Botrychium.undiff.","Brasenia.schreberi","Brassicaceae","Caltha","Calycanthus","Carya","Caryophyllaceae","Celtis.Maclura.type","Cephalanthus.occidentalis","Cheilanthes","Cirsium.Carduus.type","Clethra","Cornus.canadensis.type","Corylus","Cupressaceae.undiff.","Cyperaceae","Cystopteris.bulbifera","Deparia.acrostichoides","Dryopteris.carthusiana","Dryopteris.cristata","Dryopteris.goldiana","Dryopteris.marginalis","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida..monolete..undiff.","Filicopsida..trilete..undiff.","Fraxinus..tricolpate.","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.undiff.","Galium","Gaura","Gleditsia","Humulus","Ilex.type","Impatiens","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae.undiff.","Larix","Liquidambar","Lycopodiella.inundata","Mentha.type","Menyanthes.trifoliata","Morus","Myrica.type","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Pleopeltis.polypodioides","Poaceae.undiff.","Polygonum.aviculare","Polygonum.hydropiper.type","Polypodium.virginianum","Pontederia","Populus.deltoides.type","Potamogetonaceae","Potentilla","Proserpinaca","Prunus.americana.type","Prunus.undiff.","Prunus.virginiana.type","Pteridium","Quercus","Ranunculus.flabellaris.type","Rhus","Rubus","Rumex","Sagittaria","Salix","Sambucus","Saxifragaceae","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Spiraea.type","Taxodium","Thalictrum","Tilia","Toxicodendron.radicans","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum.acerifolium.type","Viburnum.lentago.type","Viburnum.opulus.type","Vitis","Xanthium","Zea.mays"
74,4972,0,1,1,1,0,0,1,0,3,22,0,1,9,0,0,0,0,0,6,0,0,0,0,0,0,11,5,0,39,0,0,0,0,0,31,24,0,0,0,0,0,0,0,0,0,0,2,0,25,2,0,4,0,0,1,0,0,0,5,3,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,0,0,15,0,1,0,0,3,0,0,0,0,0,0,0,129,0,0,0,0,0,85,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,3,0,0
76,5599,0,4,0,0,0,0,0,0,32,51,0,0,48,0,0,0,0,1,10,0,0,0,0,0,0,21,49,0,64,0,0,0,0,0,29,20,0,0,0,0,0,0,0,0,0,0,8,0,32,4,0,7,0,0,3,0,0,0,13,6,2,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,4,0,1,5,0,0,0,0,1,0,38,0,3,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,3,32,0,0,0,0,0,1,0,1,1,0,0,0,7,0,1,0,1,0,50,2,1
78,6225,0,0,0,0,0,0,0,1,83,31,5,0,57,0,0,0,0,0,15,0,0,1,0,0,0,41,21,0,74,0,0,0,0,0,11,35,0,0,0,0,0,0,0,0,0,0,5,0,30,1,0,10,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,62,0,5,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,5,29,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,69,0,0
80,6852,0,0,0,0,0,0,0,1,83,52,3,1,19,0,0,0,0,0,13,0,0,0,0,0,0,30,25,1,27,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,8,0,26,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,140,0,24,0,0,1,0,0,0,0,0,0,0,223,0,0,0,0,16,5,0,0,0,0,0,4,0,0,0,0,0,1,5,0,0,0,0,0,38,0,0
85,7651,0,1,0,1,0,0,0,2,61,39,7,0,29,0,0,0,0,2,25,0,0,0,0,0,0,28,22,2,51,0,0,0,0,2,7,4,0,0,0,4,0,0,0,0,0,0,11,0,25,0,0,8,0,0,0,0,0,0,14,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,19,0,11,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,2,35,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,97,2,0
87,7767,0,0,0,0,0,0,0,4,73,48,12,2,19,0,0,0,0,1,13,0,0,0,0,0,0,29,9,1,30,0,0,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,2,0,36,2,0,5,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,64,0,18,0,0,1,0,0,0,0,0,0,0,212,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,88,0,0
94,8171,0,0,0,0,0,0,0,1,170,78,13,0,40,0,0,0,0,1,42,0,0,0,0,0,0,43,10,0,77,0,0,0,0,3,1,12,0,0,0,0,0,0,0,0,0,0,36,0,36,0,3,20,0,0,0,1,0,0,10,0,3,3,0,1,0,1,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,175,0,38,0,0,2,0,0,0,0,0,0,0,196,0,0,0,0,3,5,12,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,50,0,0
105,8806,0,0,0,1,0,0,0,0,62,27,5,0,11,0,0,0,0,2,21,0,0,0,0,0,0,51,20,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,111,0,23,0,0,2,0,0,0,0,0,0,0,219,0,0,0,0,28,5,2,0,0,0,0,0,0,0,1,0,0,5,14,0,0,0,0,0,9,0,0
110,9095,0,0,0,2,0,0,0,2,48,46,2,0,9,0,0,0,0,3,25,0,0,0,0,0,2,37,27,0,21,0,0,0,0,2,6,13,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,13,2,1,0,0,2,4,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,130,0,15,0,0,3,0,0,0,0,0,0,0,234,0,0,0,0,17,8,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,7,1,0
115,9739,0,0,0,1,0,0,0,2,27,32,2,2,5,0,0,0,0,13,9,0,0,0,0,0,2,51,25,2,4,0,0,0,0,4,12,11,0,0,0,0,0,0,0,0,0,0,17,0,3,1,0,0,0,0,0,0,0,0,26,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,3,0,1,9.5,0,1,0,0,2,0,45,0,23,0,0,1,1,0,0,0,0,0,0,189,0,0,0,0,22,10,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,1,0,7,0,0
