"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..shrub.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Lonicera","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Rhamnus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium.type","Poaceae","Rosaceae","Thalictrum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Sparganium.type","Typha.angustifolia","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
10,215,3,3,8,0,0,64,0,0,1,0,0,0,0,1,0,0,0,0,0,180,0,21,0,9,0,0,0,0,1,0,1,11,0,0,3,0,0,0,0,1,1,0,1,3,0,0,1,0,0,0,1,2,3,1,0,0
14,320,4,3,53,0,0,156,0,0,0,0,0,0,0,14,0,0,0,0,0,58,0,14,0,2,0,0,0,0,2,0,37,10,0,0,0,0,0,1,0,1,2,1,3,3,5,1,5,0,0,0,3,5,3,2,3,0
16,372,9,2,37,0,0,47,0,0,0,2,0,0,0,0,1,0,0,0,0,168,2,22,0,6,0,0,0,1,7,1,3,4,0,0,2,0,0,0,0,2,1,0,0,0,0,0,64,0,0,0,2,3,3,2,6,1
18,424,8,11,38,0,0,666,0,0,0,0,8,0,0,8,2,0,0,0,4,70,1,28,0,2,1,0,0,0,27,1,6,0,0,0,1,0,0,2,0,0,3,0,14,51,1,0,24,0,0,0,4,3,16,9,0,1
21,503,14,6,4,1,0,150,0,1,0,0,11,0,0,6,0,0,0,0,1,58,0,28,0,3,0,0,0,0,27,0,2,0,0,0,2,0,0,0,0,0,3,0,0,57,3,1,200,0,0,0,7,9,11,7,0,0
23,555,6,8,2,9,0,169,2,1,1,0,3,0,0,8,0,0,0,0,0,26,2,62,0,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,1,1,41,0,0,14,0,0,0,9,5,8,2,7,3
24,581,11,20,8,3,0,297,0,0,0,0,13,1,0,8,0,0,0,0,0,37,0,132,0,7,0,0,0,1,31,2,0,1,0,0,0,0,0,3,0,1,11,0,0,35,2,0,16,0,0,0,3,7,8,1,8,0
25,607,7,5,5,0,0,149,0,0,0,0,4,0,1,2,0,0,0,0,0,123,0,60,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,4,0,3,153,1,0,122,0,0,0,6,5,15,0,31,0
27,659,8,10,8,0,0,172,0,0,0,0,6,0,0,1,0,0,0,0,0,44,3,120,0,6,0,0,0,0,50,0,1,0,0,0,0,0,0,1,0,0,2,0,1,42,2,0,19,0,0,0,19,14,8,0,70,1
29,712,4,14,5,0,0,150,0,0,1,0,14,0,0,7,0,0,0,0,0,55,1,48,0,10,0,0,0,0,32,0,1,1,0,0,0,0,0,0,0,0,0,0,4,34,2,0,19,0,0,0,10,12,11,0,19,1
30,738,6,15,2,0,0,200,0,1,0,1,6,0,0,3,0,0,0,0,0,34,0,58,0,5,0,0,0,0,23,0,1,1,0,0,0,0,0,0,0,0,2,0,2,24,3,1,20,0,0,0,3,6,14,0,4,0
32,2231,8,9,20,2,0,214,0,0,3,4,10,1,0,7,0,0,0,0,0,18,3,84,0,6,0,0,0,1,28,3,2,1,0,1,2,0,0,1,0,0,2,0,3,64,8,1,58,0,0,0,6,9,18,3,20,2
34,3251,2,32,3,0,0,203,0,0,0,0,14,2,1,7,0,0,0,0,0,7,9,47,0,13,0,0,2,0,23,1,0,2,0,1,0,0,0,0,0,0,0,0,0,9,2,0,35,0,0,0,9,12,11,3,15,0
35,3367,5,25,5,0,0,152,0,0,1,0,3,1,3,5,0,0,0,0,0,20,4,112,0,14,0,3,0,2,34,1,5,0,0,0,0,0,0,0,0,0,3,0,0,11,4,0,93,0,0,0,4,5,9,0,5,1
37,3599,2,8,2,0,0,157,0,0,0,0,19,1,0,0,0,0,0,0,1,8,10,44,0,15,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,1,0,40,0,0,49,0,0,0,7,5,8,0,20,1
40,3948,6,55,7,0,0,144,1,0,4,1,15,3,1,10,0,0,0,0,1,19,0,103,4,10,0,2,0,0,28,2,10,0,0,0,0,0,0,0,0,0,2,0,2,50,3,0,133,0,0,0,5,10,13,0,8,3
42,4180,2,22,3,0,0,146,0,0,0,0,5,1,0,25,0,0,0,0,0,3,3,55,0,7,0,1,0,0,19,0,1,0,0,0,1,0,0,0,0,0,1,0,0,43,8,0,32,0,0,0,3,17,6,1,13,0
45,4529,2,34,4,1,0,143,0,0,0,1,6,2,0,23,2,0,0,0,1,22,3,98,1,10,0,0,0,0,26,2,10,0,0,0,0,0,0,1,0,0,1,0,1,30,3,1,146,0,0,0,0,0,0,0,0,0
47,4760,4,43,12,0,0,119,0,0,2,0,8,0,1,72,0,0,0,0,0,10,3,76,3,8,0,0,0,0,52,4,1,0,0,0,1,0,0,1,0,0,0,0,0,28,3,1,145,0,0,0,6,4,9,3,8,1
50,5107,2,28,12,0,0,116,0,0,1,0,9,1,0,79,0,0,0,0,1,10,14,133,0,11,0,0,0,0,94,1,1,2,0,0,0,0,0,0,0,0,11,2,3,47,13,0,128,0,0,0,8,15,16,0,7,0
53,5454,2,63,9,0,0,159,0,0,2,0,12,0,8,63,0,0,0,0,0,13,1,83,0,19,0,0,0,0,28,3,9,0,0,0,0,0,0,5,0,0,2,0,1,18,9,0,19,0,0,0,6,12,17,0,6,2
55,5685,10,3,20,0,0,195,0,0,1,0,2,0,1,3,0,0,0,0,1,26,0,28,0,6,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,2,0,2,23,9,0,24,0,0,0,3,9,8,0,3,3
