"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Avicennia","Betula","Bumelia","Bursera.simaruba","Carya","Casuarina","Celtis","cf..Acanthaceae","Conocarpus","Cupressaceae.Taxaceae","Cyperaceae","Cyrilla.racemiflora","Decodon.verticillatus","Ericaceae","Euphorbiaceae","Fabaceae.undiff.","Fraxinus","Hippocratea","Ilex","Juglans","Liliaceae","Liquidambar","Meliaceae","Myrica","Myriophyllum","Nymphaea","Ostrya.Carpinus","Pinus","Poaceae","Polygonaceae","Quercus","Rhizophora","Sagittaria","Salix","Schinus","Sophora","Typha","Ulmus","Unknown..monolete.","Unknown..tetracolporate.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
1.5,-35,0,4,20,0,0,16,6,0,0,0,18,10,0,2,10,0,2,2,0,0,10,12,0,0,0,0,0,0,0,4,0,2,0,56,2,0,22,30,0,0,2,0,8,0,0,0,0,20,10,0,16,0
2.5,-29,0,0,16,8,0,18,10,4,0,0,14,22,0,4,6,0,12,0,2,2,6,4,0,0,2,0,0,0,0,4,0,0,0,50,8,0,36,44,2,0,0,0,4,0,0,0,0,22,2,0,46,2
3.5,-23,0,8,22,18,2,18,4,2,2,0,28,14,0,6,10,0,2,2,2,0,4,12,0,2,2,0,0,0,0,2,2,0,0,64,0,0,32,26,0,0,0,0,2,0,2,0,0,16,0,0,28,4
4.5,-16,0,6,22,8,0,18,0,8,0,0,6,20,0,0,2,0,6,12,0,0,4,4,0,2,2,0,0,0,0,6,0,0,2,80,2,0,14,8,0,0,0,0,2,0,2,0,0,38,8,0,0,0
5.5,-10,0,8,18,4,0,12,6,4,2,0,52,12,0,2,14,0,4,8,0,0,18,12,0,0,0,0,0,2,0,2,0,2,0,56,4,2,34,28,2,0,4,20,6,0,4,0,0,36,8,0,40,0
6.5,-5,0,2,18,6,0,6,2,10,0,0,8,10,0,0,2,0,4,0,0,0,10,14,0,0,2,0,0,0,0,2,0,2,0,42,6,0,14,28,0,0,0,0,4,0,2,0,0,24,4,0,14,0
7.5,0,2,4,18,6,0,10,0,4,0,2,26,12,0,4,12,0,6,12,4,0,6,22,0,0,2,0,0,0,0,0,0,0,0,36,10,0,20,16,0,0,2,0,0,0,0,0,0,36,0,4,8,0
8.5,5,0,6,18,12,0,20,0,4,2,0,26,14,0,16,12,0,4,0,0,0,12,26,4,0,4,0,0,0,0,4,0,4,0,30,0,0,14,22,0,0,2,2,2,0,0,0,2,34,4,0,44,4
9.5,10,0,2,22,12,0,20,4,0,0,2,48,12,0,8,4,2,2,2,0,0,24,10,0,0,2,0,0,0,0,0,0,0,0,42,0,0,22,28,0,0,4,0,4,0,0,0,0,70,0,0,0,0
10.5,15,0,0,14,2,0,10,0,2,0,0,14,24,2,12,6,0,6,0,2,0,16,8,0,0,2,0,0,0,0,0,0,0,0,40,2,0,12,4,0,0,0,0,0,0,0,0,0,46,0,0,16,0
11.5,20,0,0,16,4,0,14,0,8,0,0,8,34,2,2,4,0,28,2,4,0,16,14,0,0,2,0,0,0,0,2,0,0,0,114,4,0,14,14,2,0,0,4,2,0,4,0,0,64,2,0,54,0
12.5,25,0,0,10,0,0,20,0,4,0,0,16,34,0,2,12,0,36,2,2,0,6,10,0,0,4,0,0,0,0,6,0,0,0,110,2,0,14,6,2,0,0,6,0,0,2,0,0,70,0,2,62,4
13.5,30,0,2,6,0,0,34,0,4,0,0,0,36,0,0,2,0,190,2,0,0,10,8,0,0,2,0,0,0,0,4,0,2,0,136,8,0,12,6,8,0,0,4,2,0,14,0,0,118,6,0,56,0
14.5,35,0,4,10,2,0,116,2,0,0,0,0,0,2,0,10,0,186,0,0,0,0,6,0,0,2,0,0,0,0,20,0,0,0,170,2,0,14,20,10,0,0,0,28,0,2,0,0,92,12,106,64,4
15.5,40,0,4,16,0,0,58,0,0,0,0,8,18,2,0,8,0,190,0,2,0,2,4,0,0,2,0,0,0,0,12,0,0,0,150,0,0,8,10,8,0,0,2,10,0,10,0,2,98,14,0,132,2
16.5,45,0,0,0,0,0,116,0,2,0,0,18,26,0,0,8,0,120,2,0,2,2,2,0,0,2,0,0,0,0,14,0,0,0,102,4,0,6,10,0,2,0,0,4,0,4,0,2,84,16,0,72,2
17.5,50,0,4,4,2,2,146,10,2,0,0,0,0,2,0,6,0,138,0,0,0,2,4,0,0,2,0,0,2,0,8,0,0,0,98,6,0,18,10,2,0,0,2,4,2,0,0,0,78,6,86,38,0
18.5,94,0,2,8,2,0,188,0,0,2,0,2,0,8,0,30,0,80,0,6,0,12,16,0,0,4,0,0,0,2,16,0,0,0,80,4,0,24,24,12,2,0,18,0,0,0,2,0,98,4,76,28,10
19.5,138,0,2,10,4,0,110,2,0,0,0,0,0,2,0,24,0,162,0,2,2,12,6,0,0,0,0,0,0,0,0,0,0,2,90,6,0,28,24,0,0,0,0,0,0,4,0,0,80,16,82,44,6
20.5,181,0,2,16,0,2,106,0,0,0,0,2,0,2,0,28,0,108,0,4,0,8,16,4,0,0,0,0,0,0,2,0,0,0,90,0,0,24,12,0,0,4,4,0,0,0,0,2,104,2,92,32,2
21.5,225,0,2,8,0,0,30,0,0,0,0,4,0,0,0,34,0,170,0,0,0,6,6,0,0,0,2,2,0,0,2,0,0,0,78,6,0,16,16,0,0,0,14,4,0,4,0,0,94,6,78,28,2
22.5,259,0,4,12,0,0,44,4,4,2,0,0,0,2,0,16,0,130,0,0,0,8,18,0,2,0,2,0,0,0,2,0,0,0,84,0,2,18,16,4,0,0,2,10,2,0,0,0,102,12,64,20,2
23.5,282,0,4,10,0,0,10,2,0,4,0,0,0,0,0,52,0,8,0,4,4,8,2,0,2,4,0,0,0,0,2,0,0,0,76,0,0,16,24,0,0,0,6,2,0,0,0,0,124,2,78,26,0
24.5,306,0,0,6,0,0,8,0,0,0,0,0,0,2,0,2,0,26,0,0,0,4,2,0,0,0,0,0,4,0,58,0,0,0,136,0,0,8,6,0,0,0,0,4,0,0,0,0,2,14,2,12,0
26,341,0,2,16,2,2,24,0,0,0,0,4,0,2,0,20,0,36,0,0,0,2,6,0,2,0,0,0,2,0,80,0,0,0,116,2,0,14,6,0,0,0,0,2,0,0,0,2,2,2,0,12,2
28,388,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,4,2,0,0,0,0,0,0,0,50,0,0,0,268,0,0,14,4,0,2,0,0,0,0,2,0,2,2,10,2,10,0
32,481,0,6,8,0,0,14,0,0,2,2,0,0,0,0,14,0,34,0,0,0,12,14,0,0,2,0,0,0,0,116,0,0,0,204,0,0,20,10,0,0,0,0,2,0,0,0,0,2,4,4,10,0
34,528,0,2,6,0,0,6,0,0,0,0,0,0,4,0,4,0,26,0,0,0,0,10,0,0,8,0,0,0,0,96,0,0,0,216,2,0,16,12,0,0,0,0,0,0,0,0,0,0,2,6,18,0
