"sample.depths","sample.ages","Abies","Acer","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Cassiope.type","Cyperaceae","Dryas.type","Ericales.undiff.","Fabaceae","Gymnocarpium","Huperzia.selago","Indeterminable","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Lycopodium.clavatum","Picea","Pinus","Poaceae","Quercus","Salix","Selaginella","Sphagnum","Ulmus","Unknown","Vaccinium"
975,46,1,0,46,0,4,4,0,65,1,0,80,1,2,0,0,1,0,1,0,5,1,124,16,8,0,2,1,8,0,0,0
985,617,0,0,48,0,0,4,0,57,0,0,64,0,1,0,0,2,0,1,0,6,0,125,13,4,0,1,0,4,0,0,0
995,1188,0,0,44,0,1,2,0,47,0,0,41,0,0,0,0,0,0,0,0,3,0,175,13,5,0,2,0,4,0,0,1
1005,1758,0,0,48,0,0,0,1,61,0,0,24,0,1,0,0,0,1,0,0,1,0,226,4,2,0,1,0,5,0,0,2
1015,2255,0,0,41,0,0,1,0,44,0,0,20,0,0,0,0,0,0,0,0,7,0,200,8,0,0,2,0,1,0,0,2
1025,2532,0,0,58,0,1,0,0,44,0,0,27,0,2,0,0,0,0,0,0,4,0,167,5,4,0,3,0,4,0,0,2
1035,2808,0,0,86,0,0,2,0,61,0,0,20,0,0,0,0,0,0,0,0,4,0,190,7,0,0,0,0,2,1,0,0
1045,3084,0,0,74,0,0,1,0,64,0,1,12,0,0,0,0,0,0,0,2,1,1,145,1,2,0,2,0,2,0,0,0
1055,3361,0,0,90,0,0,2,0,81,0,0,30,0,0,0,0,0,0,0,0,2,0,176,6,1,0,2,0,1,0,0,1
1065,3692,1,0,49,0,1,3,1,46,0,0,28,0,0,1,0,0,1,0,2,1,0,165,11,1,0,1,0,1,1,0,1
1075,4188,0,0,124,0,1,4,0,96,0,0,20,0,0,0,0,1,0,1,1,4,0,219,6,3,0,1,0,4,0,1,0
1085,4684,1,1,154,0,1,1,0,113,0,0,28,0,0,0,2,0,0,0,0,3,0,119,7,7,1,1,0,5,0,0,0
1095,5179,0,0,322,0,0,2,2,228,0,0,31,0,0,0,0,0,0,2,0,13,0,73,7,6,1,5,0,2,0,0,0
1105,5675,0,0,221,2,0,1,0,134,0,0,29,0,0,0,0,1,0,0,0,11,0,26,11,4,0,10,0,5,0,0,0
1115,NA,0,0,164,2,0,2,0,55,0,1,54,1,0,0,0,0,0,0,0,1,0,10,6,3,0,13,0,3,0,1,4
