"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula...20.µm.","Betula...20.µm..1","Brassicaceae","Caprifoliaceae","Caryophyllaceae","cf..Myrica","Cornus","Corylus","Cyperaceae","Drosera","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Indeterminable","Isoëtes","Juglans","Juniperus","Lamiaceae","Lycopodiaceae","Myrica","Nemopanthus","Nuphar","Nymphaea","Osmunda","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Primulaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix","Sanguisorba","Sarracenia","Saxifragaceae","Selaginella","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae"
0,-27,15,0,10,1,0,11,0,4,40,0,0,0,25,0,0,43,0,16,0,0,54,93,0,0,1,0,29,42,6,0,1,25,77,1,9,0,2,0,0,0,1,0,0,0,0,0,0,153,1,12,0,0,0,0
10,440,22,0,8,0,0,16,1,5,89,1,0,0,30,0,0,14,0,38,1,0,115,98,0,1,0,0,79,48,9,0,1,34,101,1,2,0,6,0,0,0,5,0,0,0,0,0,2,327,3,22,0,0,0,0
15,673,45,0,6,1,0,11,0,1,85,1,3,1,47,1,0,42,0,40,2,0,88,97,1,0,3,0,38,36,4,4,0,28,84,0,3,0,1,0,0,0,3,0,0,0,0,0,0,283,4,23,0,0,0,0
20,906,15,0,10,1,0,6,0,1,83,0,1,2,23,0,1,25,1,37,1,2,100,42,7,0,1,0,65,37,4,0,1,22,111,6,4,0,2,0,1,0,1,0,1,0,0,0,0,272,0,14,0,0,0,0
25,1139,19,0,5,2,0,9,0,6,54,1,0,0,38,0,0,63,0,16,1,0,88,74,0,0,11,0,30,34,5,0,0,22,83,0,8,0,3,0,2,0,0,0,0,0,0,0,2,205,4,16,0,2,0,0
30,1373,43,0,9,2,0,18,0,10,123,0,1,3,56,0,0,51,0,38,4,3,113,67,4,0,1,0,58,60,6,3,0,52,134,5,6,0,3,0,1,0,2,0,0,0,0,0,2,339,1,37,0,0,0,0
35,1606,14,0,10,0,0,16,1,8,70,0,1,2,35,0,2,72,0,21,3,1,82,71,0,0,7,0,32,33,4,0,0,25,78,6,12,1,8,0,1,4,6,0,0,0,0,0,0,205,0,15,0,1,0,0
40,1839,31,0,17,0,0,21,0,11,120,0,2,0,55,1,0,85,1,44,5,1,66,58,2,0,3,0,32,49,2,4,0,27,129,10,19,0,6,0,1,2,4,0,2,0,0,0,0,166,3,11,0,0,0,0
45,2072,31,1,3,1,0,10,1,6,88,1,0,0,26,0,0,39,0,26,1,1,41,67,0,0,2,0,22,35,2,1,0,14,79,3,6,0,1,0,0,0,2,0,0,0,0,0,1,152,1,8,0,0,0,0
50,2306,23,0,7,0,0,12,0,5,89,0,0,0,49,0,0,52,0,20,6,1,65,47,1,0,1,0,38,41,5,1,1,25,72,6,9,0,3,0,1,0,1,0,0,0,0,0,0,148,3,10,0,0,1,0
55,2539,19,0,5,0,0,7,0,7,77,0,1,1,10,0,0,25,0,14,1,0,45,58,1,0,2,0,13,33,1,0,0,13,78,5,10,0,0,0,0,0,1,0,0,0,0,0,0,113,0,6,0,0,1,0
60,2772,21,0,10,1,0,14,0,2,109,3,0,0,50,0,0,50,0,29,8,0,134,65,0,0,5,0,42,52,4,5,0,35,111,1,8,0,1,0,5,0,1,0,0,0,0,0,0,230,1,5,0,1,2,0
65,3005,27,0,4,0,0,7,0,4,58,0,2,0,19,0,1,23,0,19,0,0,67,46,1,1,0,0,16,27,2,2,0,13,79,10,8,0,2,0,1,0,4,0,0,0,0,0,0,138,0,2,0,0,0,0
68,3145,25,0,5,0,1,2,0,4,45,3,0,0,11,0,0,35,0,4,9,2,52,41,2,0,4,0,11,9,0,0,0,10,41,7,2,0,1,0,0,0,1,0,0,0,0,1,0,90,1,4,0,0,0,0
70,3239,26,0,5,0,0,3,0,2,110,0,0,0,14,0,2,21,0,4,1,0,74,46,0,0,1,0,18,21,4,3,0,17,109,6,3,2,3,0,0,0,2,0,0,0,0,0,0,148,9,4,0,0,0,0
75,3419,16,1,3,1,0,3,0,5,94,0,0,0,4,0,0,14,0,6,0,1,29,26,0,0,0,0,11,5,0,5,0,5,47,4,0,0,0,0,1,1,0,0,0,0,0,0,0,35,0,5,0,0,0,0
85,3619,6,0,3,0,0,4,1,2,99,0,0,0,19,0,0,12,0,6,0,0,57,25,1,0,0,0,34,15,1,1,0,21,61,3,2,0,4,0,1,0,3,0,0,0,0,0,0,118,2,5,0,0,0,0
95,3820,17,0,3,0,0,4,0,4,60,1,0,1,10,0,0,13,0,3,4,0,51,33,4,0,1,0,18,14,0,1,0,13,56,3,2,1,0,0,1,0,1,0,0,0,0,0,0,112,1,4,0,0,0,0
105,4020,21,0,3,0,0,10,0,0,100,1,0,0,22,0,1,5,0,4,1,0,106,49,18,0,1,0,37,25,3,1,0,36,66,6,2,1,0,0,2,0,3,0,0,0,0,0,0,242,10,15,0,0,0,0
115,4221,47,0,4,0,0,6,0,2,80,1,0,0,12,0,0,12,0,1,2,0,92,71,2,0,0,0,25,9,1,3,0,29,83,4,0,1,5,0,1,1,3,1,1,0,0,0,1,158,12,9,0,0,0,0
125,4422,20,0,1,0,0,8,0,2,102,0,1,0,15,1,0,4,0,1,0,1,99,26,0,0,0,0,26,16,0,1,0,29,43,0,0,0,6,0,1,2,7,0,1,0,0,0,0,203,11,12,0,0,0,0
135,4622,24,0,4,0,0,1,0,0,104,0,0,1,9,0,0,8,0,5,3,0,107,40,0,0,0,1,22,9,0,0,0,26,61,2,2,0,1,0,0,0,4,0,1,0,0,0,0,97,15,3,0,0,0,0
145,4823,12,0,4,0,0,0,0,2,76,0,0,0,9,0,0,9,0,1,2,2,44,31,0,0,2,0,18,10,1,5,0,8,71,4,1,0,2,0,4,1,0,0,1,0,1,0,0,63,4,3,1,0,0,0
155,5024,23,0,7,0,0,4,1,0,113,1,0,0,14,0,0,4,0,4,2,0,115,25,2,1,0,0,39,12,2,1,0,0,63,5,1,0,0,0,1,0,5,0,2,0,0,0,0,129,16,6,0,0,0,0
165,5224,27,0,2,0,0,3,0,3,107,2,0,0,11,0,0,21,0,2,0,0,91,42,1,0,0,0,29,6,5,2,0,23,65,4,0,0,2,0,3,0,6,0,1,0,0,0,0,145,7,3,0,0,0,0
168,5284,26,0,0,0,1,4,0,8,97,5,0,0,9,1,0,7,0,1,0,0,105,51,0,0,3,0,34,5,0,6,2,24,42,5,1,0,3,2,1,0,4,0,2,0,0,0,0,101,2,2,0,0,0,0
175,5466,19,0,3,0,0,2,0,11,88,4,0,0,7,0,0,5,0,2,1,0,69,55,0,0,0,1,33,3,0,2,0,23,53,2,1,0,2,0,1,0,2,0,2,0,0,0,0,92,6,2,0,0,0,0
185,5875,26,0,0,0,0,3,0,1,94,1,0,0,11,0,0,6,0,2,2,0,102,33,1,0,0,0,32,7,1,3,0,20,68,5,2,0,4,0,1,0,1,0,0,0,0,0,0,122,12,0,0,0,0,0
195,6283,16,0,5,0,0,6,0,1,78,1,0,0,16,1,0,3,0,3,1,0,101,24,1,0,1,0,43,6,1,1,0,28,65,1,1,3,0,0,0,0,5,0,1,0,0,0,0,127,9,2,0,0,2,0
205,6692,78,0,15,0,2,7,0,12,261,0,1,0,28,2,0,26,0,6,1,0,310,70,0,0,1,0,113,14,0,4,6,87,101,9,4,7,16,0,0,3,8,0,0,1,0,0,0,206,0,12,0,1,2,1
210,6896,7,0,1,0,0,2,0,5,115,1,0,0,21,1,0,7,0,1,0,1,94,37,2,0,0,0,42,8,2,1,0,28,74,1,5,3,5,1,0,0,5,0,3,0,0,0,0,261,17,6,0,1,0,0
