"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Lamiaceae","Plantago","Poaceae","Polygonum.persicaria","Rumex","Thalictrum","Urtica"
0,-24,0,0,0.0226950354609929,0.0170212765957447,0,0.0879432624113475,0.00851063829787234,0.00141843971631206,0,0,0.00141843971631206,0,0,0.024113475177305,0.0127659574468085,0.00709219858156028,0.00141843971631206,0,0,0,0.0184397163120567,0.00141843971631206,0.187234042553191,0.00141843971631206,0,0.0780141843971631,0.00709219858156028,0,0,0.00709219858156028,0.0269503546099291,0.0212765957446809,0,0.0567375886524823,0,0.00141843971631206,0.00141843971631206,0,0.00141843971631206,0.00567375886524823,0,0,0.00283687943262411,0.395744680851064,0.00141843971631206,0,0,0
10,261,0,0.00261096605744125,0.02088772845953,0.00783289817232376,0,0.0796344647519582,0.00391644908616188,0.00261096605744125,0,0,0,0,0,0.0339425587467363,0.00913838120104439,0.00652741514360313,0,0.00130548302872063,0.00261096605744125,0,0.00913838120104439,0.00522193211488251,0.177545691906005,0.00261096605744125,0,0.097911227154047,0.00391644908616188,0,0,0.00652741514360313,0.031331592689295,0.031331592689295,0,0.0783289817232376,0.00130548302872063,0.00783289817232376,0.00261096605744125,0,0,0.00391644908616188,0,0,0,0.366840731070496,0,0.00261096605744125,0,0
20,548,0,0.0036101083032491,0.0288808664259928,0.00962695547533093,0,0.0734055354993983,0.0036101083032491,0.00120336943441637,0,0,0.00240673886883273,0,0,0.0385078219013237,0.00842358604091456,0.00481347773766546,0.00240673886883273,0.0036101083032491,0,0,0.0156438026474128,0.00481347773766546,0.163658243080626,0,0,0.0553549939831528,0.0036101083032491,0,0,0.00601684717208183,0.0409145607701564,0.0336943441636582,0,0.049338146811071,0,0,0,0.00120336943441637,0,0,0.00120336943441637,0,0,0.442839951865223,0,0.00120336943441637,0,0
30,838,0,0,0.00726978998384491,0.00403877221324717,0,0.0355411954765751,0.00403877221324717,0,0,0,0.000807754442649435,0,0,0.0250403877221325,0.00484652665589661,0.00807754442649435,0.0024232633279483,0,0,0,0.00484652665589661,0.00323101777059774,0.12924071082391,0.00161550888529887,0,0.0597738287560582,0.00323101777059774,0,0,0.0024232633279483,0.0210016155088853,0.0105008077544426,0,0.0298869143780291,0,0.0024232633279483,0,0,0,0.000807754442649435,0.000807754442649435,0,0,0.638126009693053,0,0,0,0
40,1134,0,0,0.0172143974960876,0.00938967136150235,0,0.0719874804381847,0.0172143974960876,0.00312989045383412,0,0,0.00312989045383412,0,0,0.02660406885759,0.0109546165884194,0.00625978090766823,0,0,0.00469483568075117,0,0.0156494522691706,0.00782472613458529,0.129890453834116,0,0,0.0876369327073552,0.00156494522691706,0,0,0.00625978090766823,0.0406885758998435,0.0359937402190923,0,0.07981220657277,0,0.00782472613458529,0.00156494522691706,0,0,0.00312989045383412,0.00938967136150235,0,0,0.394366197183099,0,0.00782472613458529,0,0
50,1438,0.0143884892086331,0,0.0215827338129496,0.00719424460431655,0,0.0959232613908873,0.00719424460431655,0.00239808153477218,0,0,0.00479616306954436,0,0,0.0455635491606715,0.00239808153477218,0.0239808153477218,0.00479616306954436,0,0,0,0.0119904076738609,0,0.357314148681055,0,0,0.0239808153477218,0,0,0,0.0215827338129496,0.0383693045563549,0.0311750599520384,0,0.00959232613908873,0,0,0,0,0,0,0.00479616306954436,0,0,0.268585131894484,0.00239808153477218,0,0,0
60,1751,0,0,0.0141843971631206,0.00886524822695036,0.00354609929078014,0.0780141843971631,0.00709219858156028,0,0,0,0,0,0,0.024822695035461,0.024822695035461,0.00354609929078014,0,0,0.00709219858156028,0,0.0212765957446809,0.00177304964539007,0.265957446808511,0,0.00531914893617021,0.138297872340426,0.0124113475177305,0,0,0.0124113475177305,0.0460992907801418,0.0319148936170213,0,0.00354609929078014,0,0,0,0,0,0,0.00354609929078014,0,0,0.278368794326241,0.00177304964539007,0.00531914893617021,0,0
70,2075,0,0,0.0556844547563805,0.0208816705336427,0,0.0904872389791183,0,0,0,0,0.00696055684454756,0,0,0.0835266821345708,0,0.0510440835266821,0,0.00232018561484919,0.00232018561484919,0.00464037122969838,0.0278422273781903,0.00696055684454756,0.22969837587007,0,0,0.0904872389791183,0.00232018561484919,0,0,0.0185614849187935,0.0440835266821346,0.037122969837587,0,0.00232018561484919,0,0,0,0,0,0,0,0,0,0.220417633410673,0.00232018561484919,0,0,0
80,2413,0,0,0.0294627383015598,0.00173310225303293,0,0.095320623916811,0.00693240901213172,0.00173310225303293,0,0,0.00519930675909879,0,0,0.135181975736568,0.00519930675909879,0,0.00173310225303293,0,0,0,0.0294627383015598,0,0.194107452339688,0,0.00173310225303293,0.131715771230503,0.00173310225303293,0,0,0.0294627383015598,0.0797227036395147,0.0311958405545927,0,0,0,0,0,0,0,0,0,0,0,0.218370883882149,0,0,0,0
90,2765,0,0,0.0672413793103448,0.0155172413793103,0,0.0637931034482759,0.00689655172413793,0.00344827586206897,0.00172413793103448,0.00172413793103448,0.0206896551724138,0.00172413793103448,0,0.0724137931034483,0.0155172413793103,0.0137931034482759,0.00172413793103448,0,0.00344827586206897,0,0.0241379310344828,0.00344827586206897,0.170689655172414,0.00344827586206897,0,0.141379310344828,0.00517241379310345,0,0,0.00689655172413793,0.0517241379310345,0.0379310344827586,0,0,0,0.00517241379310345,0.00172413793103448,0,0,0.00172413793103448,0,0,0,0.256896551724138,0,0,0,0
