"sample.depths","sample.ages","upland.sum","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tricolpate.","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rhus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Populus","Amaranthaceae","Poaceae","Rosaceae","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Artemisia","Betula","Celtis","Salix","Alnus","Acer.saccharinum","Abies","Acer.undiff.","Cupressaceae","Fraxinus..tetracolpate.","Larix","Cornus","Urtica","Pinus.strobus","Rhamnus","Tsuga","Ericaceae","Other.herbs","Morus","Thalictrum","Apiaceae","Galium"
545,9935,333,29,1,8,5,13,17,2,1,8,164,1,1,3,53,4,1,4,4,1,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,10163,432,44,3,8,1,15,24,1,3,15,199,0,1,6,65,12,0,5,3,0,6,4,0,0,2,1,8,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,10448,446,18,6,12,0,29,45,0,24,0,193,0,1,7,60,10,1,0,7,0,6,4,0,0,0,3,2,0,3,0,1,1,4,4,1,1,1,1,1,0,0,0,0,0,0,0
645,10647,376,7,9,13,0,22,19,3,31,1,163,0,2,2,50,0,1,1,8,1,5,5,0,0,0,9,0,1,8,1,3,0,0,0,3,0,0,7,0,1,0,0,0,0,0,0
653,10704,462,7,11,52,0,19,29,25,49,0,105,0,1,5,46,2,2,0,30,1,8,2,1,0,7,11,0,6,16,1,5,0,0,0,9,0,0,6,0,3,2,1,0,0,0,0
661,10761,440,6,16,53,0,39,29,17,33,1,97,0,1,6,39,2,4,0,29,1,1,0,0,2,8,10,0,1,20,1,7,0,0,4,6,0,0,0,0,2,0,1,1,2,1,0
669,10818,576,8,12,71,0,36,41,35,14,0,143,0,1,11,49,5,0,2,52,0,5,4,0,12,11,15,1,4,12,1,6,0,1,1,10,0,0,2,0,9,0,1,0,1,0,0
673,10847,437,8,13,51,2,27,32,35,12,1,119,0,1,8,28,3,7,0,33,0,9,1,0,3,5,6,0,3,12,0,5,0,0,1,9,0,0,1,0,0,1,0,0,0,0,1
685,10932,475,7,8,67,1,54,44,20,3,0,104,0,0,13,30,10,11,3,38,0,11,4,0,0,10,6,1,7,9,0,2,0,0,2,5,0,0,1,0,1,0,1,0,2,0,0
693,10989,427,12,11,27,4,82,57,25,2,0,76,0,0,5,57,4,5,0,12,1,5,3,0,2,4,4,1,4,3,0,1,0,0,10,5,0,0,0,0,1,0,0,0,4,0,0
703,11061,471,9,6,43,5,119,66,20,5,1,100,0,0,7,21,2,11,0,14,2,3,1,0,0,2,1,0,8,1,0,0,0,2,10,3,0,4,0,1,0,0,0,0,3,0,1
729,11246,393,4,3,29,0,127,42,24,0,3,78,0,0,2,23,3,7,1,13,0,6,1,0,0,4,2,4,5,2,1,1,0,1,2,2,0,0,1,1,0,0,0,0,1,0,0
745,NA,366,0,1,31,0,96,22,88,1,0,58,0,0,9,12,3,3,1,14,0,3,2,0,0,1,0,0,8,7,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1
777,NA,389,0,2,27,1,19,14,223,1,0,35,0,0,5,7,3,1,0,16,0,0,0,0,0,9,4,0,1,9,0,1,0,1,2,4,0,0,0,0,0,0,1,0,1,0,2
801,NA,417,1,0,11,0,10,13,332,1,0,11,0,0,2,2,2,3,0,13,0,0,0,0,0,4,1,0,1,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
