"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.undiff.","Artemisia","Betula","Carya","Cupressaceae","Ericaceae","Fagus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Poaceae","Rosaceae","Acer.saccharum","Cyperaceae","Ulmus","Fraxinus.americana","Larix.laricina","Aquifoliaceae","Amaranthaceae","Ostrya.Carpinus","Juglans.cinerea","Juglans.undiff.","Fraxinus.nigra","Alnus.undiff.","Tilia","Arceuthobium","Corylus","Juglans.nigra","Liquidambar","Fraxinus.undiff."
0,-44,349,6,5,6,2,145,1,1,2,9,12,13,30,69,1,17,1,1,19,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-32,357,2,0,0,0,175,0,9,4,11,18,14,6,71,5,9,0,0,23,1,2,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-19,346,5,4,0,0,158,0,2,10,7,21,3,6,76,4,20,0,3,14,0,2,0,3,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,-7,352,7,5,3,0,168,0,0,6,19,15,11,5,71,8,12,0,2,11,0,0,0,3,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,6,345,1,5,0,0,182,0,0,25,8,16,2,7,55,4,22,0,1,11,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,339,4,1,1,0,118,0,0,5,13,13,30,8,107,6,8,0,0,14,0,0,0,4,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,31,349,4,0,3,0,150,0,0,0,14,18,10,5,84,3,18,3,3,18,0,6,0,3,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7,43,350,3,2,2,0,175,0,1,9,22,21,3,1,77,3,16,0,0,7,0,1,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,68,354,4,3,2,1,167,0,0,21,15,19,10,19,28,8,22,1,3,14,1,1,0,4,4,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
11,93,376,5,2,0,0,167,0,0,22,23,25,1,8,32,3,34,0,3,32,0,4,0,1,7,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,107,338,0,0,3,2,132,1,0,0,34,51,3,3,44,10,17,0,2,5,0,2,0,5,14,4,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0
18,201,357,3,1,0,1,128,1,9,0,45,31,9,11,38,15,31,0,0,2,0,0,0,3,8,9,0,0,1,0,7,0,0,1,1,0,1,1,0,0,0
24,294,331,1,3,5,0,101,0,1,0,30,55,9,12,36,9,44,0,1,0,1,0,0,6,2,5,2,1,0,0,0,3,0,0,1,1,0,0,1,1,0
30,412,348,1,0,3,0,112,2,0,0,25,36,2,23,55,11,58,0,0,2,0,0,0,4,5,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
36,651,372,1,1,2,0,126,1,1,2,40,69,4,13,31,7,50,0,1,1,0,0,0,3,8,5,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1
42,889,335,0,0,0,2,106,1,0,1,41,34,4,8,43,12,62,3,3,0,1,0,0,1,8,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
44,968,328,1,1,3,0,106,0,2,0,32,37,2,8,49,7,55,0,2,0,1,1,0,3,5,3,0,0,1,0,1,1,0,4,0,1,2,0,0,0,0
46,1048,328,0,0,2,0,168,2,0,0,30,20,0,0,49,6,32,0,3,0,1,0,0,2,0,3,0,0,2,0,4,0,0,0,0,4,0,0,0,0,0
48,1127,330,0,1,1,0,227,0,0,1,21,6,1,0,21,12,21,0,4,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
