"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Ilex","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fabaceae","Rosaceae.undiff.","Juglans","Myrica","Pinus","Poaceae","Polygonum","Asteraceae.subf..Cichorioideae","Picea","Thalictrum","Fraxinus","Populus","Amaranthaceae","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Nyssa","Viburnum","Impatiens","Platanus","Liriodendron","Abies","Acer.undiff.","Potentilla.type","Ranunculaceae.undiff.","Trees.undiff.","Rhamnaceae","Corylus","Artemisia","Apiaceae","Caryophyllaceae","Celtis","Larix","Liliaceae","Onagraceae","Galium","Plantago","Shepherdia.canadensis","Dryas.type"
7.5,27,999,3,42,76,73,42,35,31,3,42,7,31,7,14,263,21,7,3,7,135,7,21,3,3,33,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,89.5,925,4,8,66,33,28,57,32,0,61,0,4,4,2,324,13,19,30,6,129,0,0,0,6,33,34,0,2,1,2,21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,127,971,5,23,79,20,19,23,42,0,70,0,19,0,5,418,9,9,23,4,100,0,5,0,5,58,25,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,216,914,8,16,20,48,40,52,4,0,5,0,24,8,16,343,4,12,32,4,160,4,4,0,16,46,16,0,0,4,4,8,0,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,281,981,0,21,10,88,42,28,0,0,42,7,10,7,0,465,0,21,25,7,144,0,0,0,0,46,0,0,0,7,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.4,420,986,3,6,10,95,39,36,3,6,26,3,16,6,6,477,0,16,20,0,128,0,0,0,6,49,3,0,0,3,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,594,976,0,20,10,70,30,35,0,0,25,0,15,0,0,434,0,20,10,30,135,0,5,0,10,57,45,0,0,0,0,15,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.5,783.5,989,12,5,0,73,61,23,0,0,46,0,25,2,5,503,0,25,8,13,124,0,0,0,2,28,10,0,0,4,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,982,981,4,20,4,91,43,32,2,7,23,4,23,0,7,409,0,32,18,7,153,0,14,0,0,59,2,0,0,1,2,18,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.6,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1371,1048,3,6,3,100,42,29,0,6,12,3,29,0,0,572,0,6,6,3,113,0,6,0,3,95,3,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.6,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
