"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Moraceae","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae"
0,-35,418,3,9,0,136,1,0,0,0,20,0,10,1,0,1,0,0,0,0,5,8,29,15,78,0,3,22,0,1,0,0,0,31,3,0,23,3,3,5,2,5,0,0,1,0
20,696,406,2,13,7,92,0,0,0,0,18,0,9,2,0,0,3,0,0,0,4,7,35,15,90,5,0,14,0,1,0,0,0,49,4,0,25,2,1,4,0,4,0,0,0,0
40,1427,269,7,15,10,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,12,25,25,78,1,6,0,0,1,0,0,0,45,0,0,23,1,3,6,3,3,0,0,1,0
60,2158,411,4,6,9,90,1,0,0,0,20,0,16,0,0,2,2,0,0,1,4,12,25,25,81,1,0,13,0,0,0,0,0,48,2,1,35,3,1,1,3,5,0,0,0,0
64,2304,481,5,12,7,106,0,0,0,1,7,0,11,3,0,1,6,0,0,0,2,8,25,25,135,2,1,19,0,1,0,0,0,60,6,0,23,5,0,0,1,8,0,0,1,0
70,2523,502,11,9,8,106,0,2,0,0,13,0,11,2,0,0,2,0,0,0,2,12,24,26,159,1,1,13,0,0,0,0,1,66,6,0,15,1,2,1,3,3,1,0,1,0
74,2669,534,3,8,10,113,2,0,0,0,17,0,16,0,0,0,6,0,0,0,0,14,22,28,158,0,4,19,0,0,0,0,0,83,8,1,12,1,0,1,6,1,0,0,1,0
80,2889,503,4,10,3,98,0,0,0,2,18,1,9,0,0,2,5,0,0,0,3,12,24,26,143,3,1,16,0,0,0,0,0,97,3,0,14,3,1,2,0,3,0,0,0,0
84,3035,514,4,9,8,137,1,0,0,0,13,1,19,2,0,0,3,0,0,0,3,19,27,25,116,0,2,26,0,0,0,0,0,73,5,0,13,2,1,2,1,2,0,0,0,0
90,3254,578,2,8,11,148,0,0,0,0,13,0,20,4,0,0,7,0,0,0,3,18,17,33,151,3,0,25,0,0,0,0,0,89,4,0,13,5,1,1,0,0,0,2,0,0
107,4051,514,0,13,5,119,0,0,0,1,21,0,20,1,0,0,0,0,0,0,6,16,22,28,217,3,0,15,0,1,0,0,0,0,7,0,9,3,0,0,1,4,0,1,1,0
120,4661,472,4,10,9,99,0,0,0,0,25,0,15,1,0,0,2,0,0,0,4,12,21,29,148,0,0,7,0,1,0,1,1,76,3,0,1,0,0,1,2,0,0,0,0,0
140,5665,491,13,7,6,72,1,0,0,0,12,0,21,3,0,0,3,1,0,2,4,6,22,28,145,1,3,23,0,0,0,0,0,102,2,1,5,6,0,0,0,2,0,0,0,0
160,6817,458,2,6,10,65,0,0,0,0,17,0,22,1,0,0,1,0,0,0,6,12,22,28,145,0,1,13,0,0,0,0,0,88,2,0,5,5,2,1,1,2,0,1,0,0
185,8197,407,1,6,7,67,0,0,0,1,11,0,13,5,0,0,2,0,0,0,2,7,17,33,116,0,0,6,0,0,0,1,0,99,6,0,3,0,1,0,1,2,0,0,0,0
