"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.negundo","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Populus","Poaceae","Acer.rubrum","Juglans.nigra","Asteraceae.subf..Cichorioideae","Pinus.undiff.","Platanus","Castanea","Caryophyllaceae","Herbs.undiff.","Rosaceae","Thalictrum","Sarcobatus.vermiculatus","Ephedra","Celtis","Iva.annua.type","Ericaceae"
1,-17,510,1,12,1,92,2,101,2,3,1,29,6,2,1,1,2,3,3,2,16,55,21,1,2,2,13,6,24,36,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13,565,0,14,0,142,3,67,3,8,0,29,17,9,0,1,0,3,4,4,0,0,32,2,2,3,14,0,13,17,3,80,1,1,2,89,2,0,0,0,0,0,0,0,0,0,0
40,52,454,1,5,0,52,1,25,0,6,1,13,8,2,0,4,1,0,2,1,13,92,17,4,3,10,19,5,7,20,2,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,106,504,6,7,0,74,1,38,0,6,0,19,20,7,0,0,0,6,7,3,19,138,17,8,7,7,17,1,5,8,0,81,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
70,141,446,3,13,0,19,1,22,2,4,0,24,12,20,5,3,0,1,10,1,9,129,26,2,3,7,34,1,24,1,1,65,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
80,183,486,1,23,1,1,2,61,1,0,0,23,6,21,4,8,2,1,9,3,13,146,55,0,1,10,49,1,36,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,232,350,1,23,0,0,1,23,5,0,0,31,10,30,2,4,3,2,31,1,7,37,35,0,0,1,63,1,28,5,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0
100,287,354,2,34,0,1,0,44,5,1,0,10,7,36,8,5,0,3,21,0,3,12,31,0,1,8,64,1,47,0,1,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
120,417,369,1,41,0,0,0,36,4,0,1,13,24,74,3,4,2,4,6,2,0,0,18,0,0,2,69,2,33,1,1,5,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0
140,571,379,0,34,0,2,0,23,3,0,0,10,17,96,2,7,2,0,9,1,0,0,23,0,0,4,60,3,44,4,1,6,0,0,0,26,1,0,0,0,0,1,0,0,0,0,0
160,747,328,0,35,0,1,0,35,5,0,1,13,11,56,6,5,1,0,15,0,0,0,30,0,0,9,49,0,31,6,0,3,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
180,944,336,0,25,0,2,0,34,4,0,0,5,20,80,4,8,2,0,13,1,0,0,11,0,1,8,47,1,48,4,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
200,1160,378,0,43,0,1,0,29,2,1,1,8,17,83,7,6,2,0,20,2,0,0,20,0,0,4,62,1,34,5,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
220,1393,337,0,46,0,0,0,25,3,1,0,12,18,64,3,1,0,1,15,2,0,0,19,0,0,7,49,1,33,1,1,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
