"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Herbs.undiff.","Picea","Platanus","Quercus","Rumex","Salix","Tilia","Ulmus","Acer","Pinus","Poaceae","Plantago","Betula","Asteraceae.undiff.","Juglans.undiff.","Ostrya.Carpinus","Alnus","Corylus","Populus","Cupressaceae","Rosaceae.undiff.","Celtis","Thalictrum","Abies","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Tsuga","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Larix","Trees.undiff.","Saxifragaceae","Sanguisorba"
0,-24,218,43,5,12,2,2,4,4,2,1,1,78,2,2,1,6,11,38,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-23,215,39,2,15,2,0,5,9,7,0,0,84,3,2,0,9,1,24,3,0,4,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-23,219,55,1,9,4,0,2,3,3,4,0,90,4,0,2,6,2,21,5,0,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-21,219,59,0,5,4,0,4,8,0,6,0,88,5,1,0,20,0,11,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-18,262,87,2,15,2,0,6,3,3,1,0,99,2,0,1,9,2,17,3,0,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-14,227,84,1,4,1,0,1,0,1,1,0,95,7,0,0,10,1,11,2,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-8,236,93,1,9,2,0,3,3,5,1,0,72,14,0,0,4,0,10,9,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,208,88,0,2,2,2,2,0,0,2,0,56,20,0,0,10,1,4,11,2,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,13,255,107,0,5,0,1,5,3,0,3,0,76,18,1,1,12,1,6,8,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,27,213,86,0,2,0,0,2,2,0,2,1,74,13,0,2,10,0,4,9,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,46,235,38,1,6,0,0,8,4,1,1,5,130,11,0,1,5,2,6,6,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,69,229,31,5,1,2,3,9,7,0,4,0,125,4,0,0,15,1,4,3,0,8,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,96,229,26,3,12,1,0,7,7,1,3,0,115,8,0,0,11,0,13,1,0,6,4,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,128,218,6,0,10,0,0,10,4,1,2,0,146,2,1,2,8,1,8,0,0,7,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,166,238,1,0,8,0,0,13,4,0,0,1,177,0,0,0,11,1,5,0,0,10,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,209,227,6,1,12,0,0,19,11,0,0,2,135,0,0,0,12,3,8,0,0,5,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,257,212,1,0,16,0,0,22,7,0,0,1,132,0,0,0,11,2,11,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
