"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Corylus","Cupressaceae","Fagus","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Acer.saccharum","Cyperaceae","Ericaceae","Salix","Fraxinus.nigra","Acer.rubrum","Tilia","Cornus","Acer.negundo","Juglans.cinerea","Juglans.nigra","Populus","Thalictrum","Rumex","Rosaceae","Dalea.purpurea"
0,-31,0.0220125786163522,0.00314465408805031,0.276729559748428,0.00314465408805031,0.00314465408805031,0.0251572327044025,0.0345911949685535,0.00314465408805031,0.00628930817610063,0.0188679245283019,0.0220125786163522,0.0157232704402516,0.059748427672956,0.00314465408805031,0.0157232704402516,0.00943396226415094,0.0251572327044025,0.0691823899371069,0.00943396226415094,0.308176100628931,0.00314465408805031,0.0220125786163522,0.0408805031446541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,394,0.0146627565982405,0,0.263929618768328,0.00586510263929619,0,0.0117302052785924,0.0175953079178886,0.00586510263929619,0.00293255131964809,0.0146627565982405,0.0263929618768328,0.0146627565982405,0.12316715542522,0.00293255131964809,0.0263929618768328,0,0.0381231671554252,0.0381231671554252,0.0117302052785924,0.299120234604106,0.00879765395894428,0.0205278592375367,0.032258064516129,0.00586510263929619,0.00293255131964809,0.00293255131964809,0.00879765395894428,0,0,0,0,0,0,0,0,0,0,0
40,819,0.0124069478908189,0,0.339950372208437,0.00248138957816377,0.00248138957816377,0.0124069478908189,0.0397022332506203,0.00248138957816377,0.00248138957816377,0.0173697270471464,0.0124069478908189,0.0297766749379653,0.186104218362283,0,0.0421836228287841,0.00248138957816377,0.00744416873449132,0.00744416873449132,0.00248138957816377,0.213399503722084,0,0.00496277915632754,0.0223325062034739,0,0.00248138957816377,0.0173697270471464,0.0099255583126551,0.00248138957816377,0.00496277915632754,0,0,0,0,0,0,0,0,0
60,1247,0.0102739726027397,0,0.342465753424658,0,0.00342465753424658,0.00684931506849315,0.0753424657534247,0,0,0.0102739726027397,0.0136986301369863,0.0205479452054795,0.160958904109589,0,0.0308219178082192,0,0.0376712328767123,0,0,0.219178082191781,0,0,0.023972602739726,0,0,0.0171232876712329,0.0171232876712329,0.00684931506849315,0.00342465753424658,0,0,0,0,0,0,0,0,0
80,1679,0.0120481927710843,0,0.29718875502008,0.00401606425702811,0.00803212851405622,0.0160642570281124,0.0602409638554217,0,0,0.0240963855421687,0.0120481927710843,0.0281124497991968,0.172690763052209,0,0.0160642570281124,0,0.0200803212851406,0,0,0.240963855421687,0,0,0.0562248995983936,0.00401606425702811,0,0.00803212851405622,0.0120481927710843,0.00803212851405622,0,0,0,0,0,0,0,0,0,0
100,2114,0.0066006600660066,0,0.3003300330033,0.0033003300330033,0.0033003300330033,0.0099009900990099,0.0759075907590759,0.0066006600660066,0,0.0132013201320132,0.0429042904290429,0.0297029702970297,0.122112211221122,0,0.0594059405940594,0,0.0264026402640264,0.0033003300330033,0,0.240924092409241,0,0.0066006600660066,0.0198019801980198,0,0,0.0033003300330033,0.0165016501650165,0,0.0099009900990099,0,0,0,0,0,0,0,0,0
120,2555,0.0084985835694051,0.0028328611898017,0.263456090651558,0,0.0056657223796034,0.0226628895184136,0.0538243626062323,0,0.0028328611898017,0.0084985835694051,0.0311614730878187,0.0169971671388102,0.0906515580736544,0,0.0396600566572238,0,0.028328611898017,0.0028328611898017,0,0.351274787535411,0,0,0.0368271954674221,0,0.0028328611898017,0.0084985835694051,0.0169971671388102,0.0028328611898017,0.0028328611898017,0,0,0,0,0,0,0,0,0
140,3003,0.0102040816326531,0.00255102040816327,0.318877551020408,0,0.00510204081632653,0.0127551020408163,0.038265306122449,0,0,0.00255102040816327,0.0178571428571429,0.0153061224489796,0.10969387755102,0,0.0357142857142857,0,0.0153061224489796,0,0,0.38265306122449,0.00255102040816327,0,0.0178571428571429,0.00255102040816327,0,0.00255102040816327,0.00255102040816327,0.00255102040816327,0.00255102040816327,0,0,0,0,0,0,0,0,0
160,3458,0.00831024930747922,0,0.310249307479224,0.00277008310249307,0.00554016620498615,0.0166204986149584,0.0415512465373961,0.00277008310249307,0.00554016620498615,0.0138504155124654,0.0193905817174515,0.0443213296398892,0.0443213296398892,0.00277008310249307,0.0277008310249307,0,0.0221606648199446,0,0,0.329639889196676,0.00277008310249307,0.00277008310249307,0.0609418282548476,0,0,0.00554016620498615,0.0277008310249307,0.00277008310249307,0,0,0,0,0,0,0,0,0,0
180,3922,0.0088235294117647,0.0088235294117647,0.302941176470588,0.00294117647058824,0.00588235294117647,0.0323529411764706,0.0529411764705882,0,0.00588235294117647,0.0176470588235294,0.0352941176470588,0.0323529411764706,0.0647058823529412,0,0.0323529411764706,0,0.0088235294117647,0.00588235294117647,0,0.323529411764706,0.00294117647058824,0,0.0352941176470588,0.00294117647058824,0,0.0088235294117647,0.00588235294117647,0.00294117647058824,0,0,0,0,0,0,0,0,0,0
