"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Iva.annua.type","Lamiaceae","Plantago","Poaceae.undiff.","Rosaceae","Rumex","Thalictrum","Zea.mays"
0,-27,367,0,1,4,22,0,0,0,0,0,0,0,0,0,0,0,156,0,1,65,0,0,5,3,0,0,2,0,54,0,0,29,7,0,0,0,0,18,0,0,0,0
40,230,410,0,3,14,32,0,0,1,0,0,3,0,0,1,0,0,50,4,2,39,0,0,17,5,0,0,7,1,152,0,0,3,13,30,1,1,1,29,0,1,0,0
50,294,371,2,6,14,23,0,0,0,5,0,4,3,0,1,0,1,81,4,5,20,1,0,17,31,3,5,7,0,55,0,0,1,2,19,0,0,0,58,0,2,0,1
60,358,113,2,2,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,61,1,0,10,1,0,19,4,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0
90,551,146,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,93,0,0,6,1,1,23,2,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0
110,680,172,2,2,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0,3,104,0,0,8,1,0,35,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
130,808,148,0,9,1,5,1,0,0,0,0,0,0,1,0,0,2,1,0,2,86,0,0,3,3,1,24,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
160,1001,117,0,13,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,5,50,0,0,11,12,1,9,3,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0
180,1129,130,0,11,1,0,0,0,0,2,0,8,1,0,0,0,0,0,0,1,62,0,0,6,26,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,1193,120,0,7,1,4,1,0,0,0,0,7,2,1,0,0,0,0,0,3,39,0,0,17,5,0,18,2,0,0,0,1,0,0,1,0,0,0,11,0,0,0,0
200,1276,183,0,11,2,10,0,1,0,1,0,9,3,2,2,0,0,1,6,2,30,1,0,20,4,0,14,9,0,2,0,0,1,0,3,0,0,0,49,0,0,0,0
210,1375,239,0,6,0,13,1,0,0,0,0,10,2,5,0,0,0,1,5,1,32,0,0,13,6,0,12,5,0,0,0,0,1,0,4,0,0,0,122,0,0,0,0
220,1475,320,0,6,3,16,0,0,0,5,0,13,0,2,0,0,1,1,3,1,16,0,0,22,1,3,8,11,0,0,0,1,1,0,3,0,0,0,203,0,0,0,0
230,1575,283,1,13,1,11,1,0,0,4,0,12,0,4,0,0,0,0,4,2,13,0,0,22,4,4,4,12,0,0,0,0,0,0,1,0,0,0,170,0,0,0,0
240,1675,176,0,13,2,12,1,0,0,6,0,7,11,2,0,0,0,0,4,2,19,0,0,15,12,1,9,7,0,0,1,0,0,0,6,0,0,0,45,0,0,1,0
255,1825,149,0,10,1,12,1,0,0,1,0,18,3,4,0,0,0,2,0,0,16,0,0,18,8,2,6,10,0,0,0,0,0,0,6,0,0,0,31,0,0,0,0
260,1875,183,1,5,1,17,1,0,1,3,0,9,1,2,0,0,0,0,5,0,20,0,0,29,4,0,11,3,0,2,0,0,0,0,0,0,0,0,67,0,0,1,0
270,1975,169,1,4,4,15,2,0,0,7,0,17,5,2,0,2,0,2,3,0,16,1,0,16,17,0,7,7,0,0,1,0,0,0,5,0,0,0,35,0,0,0,0
280,2074,230,0,12,3,12,1,0,0,1,0,15,5,4,0,0,0,1,9,1,14,1,0,20,0,0,7,5,0,0,0,0,0,0,8,0,0,0,110,0,0,1,0
290,2174,201,1,9,4,15,2,0,0,3,0,17,7,2,1,0,0,2,3,0,16,0,0,15,0,0,4,6,1,0,0,1,0,0,3,0,0,0,89,0,0,0,0
300,2274,201,0,12,1,13,0,0,0,3,0,21,4,3,1,0,0,0,3,0,12,0,0,15,0,2,5,11,1,2,0,0,1,0,8,0,0,0,83,0,0,0,0
310,2740,258,0,16,2,23,1,0,0,4,0,25,4,0,0,0,0,0,6,1,39,0,0,28,1,1,6,9,0,0,0,0,0,1,0,0,0,0,91,0,0,0,0
315,2973,175,0,18,2,15,0,0,0,3,0,17,1,1,0,0,1,0,3,0,24,0,0,13,0,1,2,7,0,0,0,2,1,0,1,1,0,0,62,0,0,0,0
320,3206,191,0,17,4,8,2,0,0,5,0,11,0,2,1,0,1,1,2,0,27,0,0,21,0,3,9,11,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0
330,3671,209,1,9,3,10,3,1,0,1,0,23,4,1,2,0,0,0,6,1,42,1,0,28,0,1,4,5,0,4,0,0,0,0,0,0,0,0,58,0,0,1,0
340,4137,207,0,9,1,7,2,0,0,0,0,12,4,3,1,0,0,0,5,1,35,0,0,22,4,2,8,5,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0
350,NA,140,0,7,2,4,6,2,0,0,0,10,0,2,0,0,0,4,2,1,30,0,0,20,1,1,4,8,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0
351,NA,116,0,7,0,6,1,0,0,0,0,4,2,0,0,0,0,0,8,1,52,1,0,15,0,2,6,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
360,NA,135,1,3,0,4,0,0,0,1,0,2,1,2,0,0,0,0,16,1,79,1,0,13,0,1,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
370,NA,107,0,8,0,7,0,0,0,0,0,1,0,1,0,0,0,0,5,0,64,1,0,14,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
375,NA,122,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,94,0,0,8,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
380,NA,109,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,75,0,0,12,0,0,1,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
390,NA,96,1,0,2,3,1,0,0,0,0,0,0,2,0,0,0,1,1,1,72,0,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
400,NA,122,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,96,0,0,4,0,0,1,3,0,0,0,1,1,0,1,0,0,0,5,0,0,0,0
410,NA,137,1,2,0,4,2,0,0,0,0,1,0,0,0,0,2,1,2,0,94,0,1,11,1,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0
420,NA,123,2,3,0,14,0,0,0,0,0,0,0,2,0,0,0,0,5,2,72,1,1,9,0,0,3,4,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0
425,NA,114,0,0,0,7,0,0,0,1,0,0,1,0,0,0,1,1,0,1,78,2,0,12,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
435,NA,133,1,1,0,9,0,1,1,0,0,1,1,1,0,0,2,0,0,1,97,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0
445,NA,110,1,1,0,5,0,0,1,0,0,0,2,2,0,0,0,0,0,0,79,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
