"sample.depths","sample.ages","Abies","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Picea","Quercus","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Plantago","Fagus","Asteraceae.subf..Cichorioideae","Castanea","Amaranthaceae.undiff.","Larix","Thalictrum","Corylus","Tilia","Ulmus","Carya","Iva.xanthifolia","Acer.saccharum","Populus","Iva.annua","Fraxinus.nigra"
1,63,0.00808080808080808,0.00404040404040404,0.321212121212121,0.00404040404040404,0.00404040404040404,0.117171717171717,0.00606060606060606,0.173737373737374,0.00202020202020202,0.00202020202020202,0.00202020202020202,0.0363636363636364,0.00202020202020202,0.00202020202020202,0.0444444444444444,0.00202020202020202,0.133333333333333,0.0262626262626263,0.00808080808080808,0.0565656565656566,0.0424242424242424,0.00202020202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,419,0.0235294117647059,0.00235294117647059,0.308235294117647,0,0.00235294117647059,0.103529411764706,0.00941176470588235,0.157647058823529,0.00705882352941176,0,0.00235294117647059,0.0352941176470588,0,0.00235294117647059,0.0494117647058823,0,0.127058823529412,0.00235294117647059,0.0141176470588235,0.103529411764706,0.0423529411764706,0,0.00470588235294118,0.00235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0
10,864,0.0258823529411765,0.00235294117647059,0.329411764705882,0,0.00470588235294118,0.0752941176470588,0.0117647058823529,0.192941176470588,0.00470588235294118,0,0,0.0352941176470588,0,0.00235294117647059,0.04,0.00235294117647059,0.167058823529412,0,0.0117647058823529,0.0635294117647059,0.0188235294117647,0,0,0.00235294117647059,0.00235294117647059,0.00235294117647059,0.00235294117647059,0.00235294117647059,0,0,0,0,0,0,0,0,0
20,1753,0.0200445434298441,0,0.314031180400891,0,0.0022271714922049,0.0824053452115813,0.0066815144766147,0.169265033407572,0.0089086859688196,0.0022271714922049,0,0.0690423162583519,0,0.0089086859688196,0,0,0.162583518930958,0,0.0111358574610245,0.0712694877505568,0.0489977728285078,0,0.0089086859688196,0,0.0022271714922049,0.0022271714922049,0,0,0.0022271714922049,0.0022271714922049,0.0044543429844098,0,0,0,0,0,0
30,2643,0.0219512195121951,0,0.31219512195122,0,0.0024390243902439,0.0536585365853659,0.00731707317073171,0.119512195121951,0.00731707317073171,0,0.0048780487804878,0.0439024390243902,0,0.00731707317073171,0.0414634146341463,0.00731707317073171,0.204878048780488,0,0.0121951219512195,0.0804878048780488,0.0560975609756098,0,0,0.0024390243902439,0.0048780487804878,0,0,0.0024390243902439,0,0,0.0024390243902439,0.0024390243902439,0.0024390243902439,0,0,0,0
40,3532,0.0167064439140811,0.0071599045346062,0.329355608591885,0,0,0.0525059665871122,0.0119331742243437,0.178997613365155,0.00954653937947494,0,0,0.0286396181384248,0,0.00238663484486874,0.0334128878281623,0.00477326968973747,0.174224343675418,0,0.00954653937947494,0.0883054892601432,0.0381861575178998,0,0.00238663484486874,0.00238663484486874,0,0,0,0.00238663484486874,0,0,0.0071599045346062,0,0,0,0,0,0
50,4422,0.0264423076923077,0.00240384615384615,0.302884615384615,0,0,0.0408653846153846,0.00721153846153846,0.139423076923077,0.00480769230769231,0,0,0.0576923076923077,0,0.00721153846153846,0.0456730769230769,0.00480769230769231,0.189903846153846,0,0.00480769230769231,0.108173076923077,0.0408653846153846,0,0.00240384615384615,0,0,0,0,0.0120192307692308,0,0,0,0,0,0.00240384615384615,0,0,0
60,5311,0.0206185567010309,0.00257731958762887,0.29639175257732,0,0,0.056701030927835,0.0154639175257732,0.162371134020619,0.00257731958762887,0,0,0.0103092783505155,0,0.0077319587628866,0.0489690721649485,0,0.190721649484536,0,0.00257731958762887,0.134020618556701,0.0231958762886598,0,0,0,0,0.00257731958762887,0,0.0180412371134021,0,0,0.00515463917525773,0,0,0,0,0,0
70,6201,0.024390243902439,0.00542005420054201,0.368563685636856,0,0,0.018970189701897,0.018970189701897,0.105691056910569,0.010840108401084,0,0.002710027100271,0.040650406504065,0,0,0.040650406504065,0.013550135501355,0.178861788617886,0,0,0.13550135501355,0.018970189701897,0,0,0,0,0.002710027100271,0,0.010840108401084,0,0,0,0,0,0,0.002710027100271,0,0
80,7091,0.0251256281407035,0,0.344221105527638,0,0.00251256281407035,0.0376884422110553,0,0.118090452261307,0.00251256281407035,0,0.0050251256281407,0,0,0.00753768844221105,0.0100502512562814,0.0050251256281407,0.180904522613065,0,0.00251256281407035,0.226130653266332,0.0251256281407035,0,0,0.00251256281407035,0,0,0,0,0,0,0,0,0,0,0.00251256281407035,0.00251256281407035,0
