"sample.depths","sample.ages","Carya","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Onagraceae","Polygonaceae","Justicia","Casuarina","Waltheria","Ilex","Apiaceae","Cyperaceae.undiff.","Iva","Euphorbiaceae","Vitis","Ericaceae","Ostrya.Carpinus"
0.5,-17,0.0125,0.075,0.05,0.0375,0.15,0.0625,0.025,0.25,0.1,0.0375,0.05,0.0875,0.0125,0.0375,0.0125,0,0,0,0,0,0,0,0
2.5,104,0,0.0865384615384615,0.00961538461538462,0.0192307692307692,0.375,0.0288461538461538,0.0480769230769231,0.0961538461538462,0.269230769230769,0.0288461538461538,0,0.0192307692307692,0,0,0,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0
9.5,531,0.0198019801980198,0.138613861386139,0.0594059405940594,0.0495049504950495,0.366336633663366,0.0198019801980198,0.0693069306930693,0.099009900990099,0.099009900990099,0.0099009900990099,0.0099009900990099,0.0396039603960396,0,0,0,0,0.0099009900990099,0.0099009900990099,0,0,0,0,0
15.5,896,0,0.00448430493273543,0.031390134529148,0,0.0179372197309417,0,0,0.0582959641255605,0.856502242152466,0,0.00448430493273543,0.0134529147982063,0,0,0,0,0,0.00896860986547085,0.00448430493273543,0,0,0,0
21,1231,0,0.005,0.01,0.01,0.02,0,0.01,0.135,0.755,0.005,0,0.025,0,0,0,0.005,0.005,0.005,0.005,0.005,0,0,0
25,1475,0,0.0169491525423729,0.0451977401129944,0.00564971751412429,0.0169491525423729,0,0.00564971751412429,0.248587570621469,0.525423728813559,0.0225988700564972,0.0112994350282486,0.0677966101694915,0,0,0,0,0,0.0225988700564972,0,0,0.0112994350282486,0,0
29,1718,0,0,0,0,0,0,0,0.380952380952381,0.542857142857143,0.00952380952380952,0,0.0571428571428571,0,0,0,0,0,0.00952380952380952,0,0,0,0,0
35,2124,0,0,0.0121951219512195,0,0,0,0,0.804878048780488,0.158536585365854,0.0182926829268293,0,0,0,0,0,0,0,0,0.00609756097560976,0,0,0,0
39,2448,0,0,0,0.0155440414507772,0.00518134715025907,0,0.00518134715025907,0.55440414507772,0.393782383419689,0,0,0.0155440414507772,0,0,0,0,0,0.00518134715025907,0.00518134715025907,0,0,0,0
45,2934,0,0,0.00847457627118644,0.00847457627118644,0,0,0.00847457627118644,0.398305084745763,0.533898305084746,0,0,0,0,0,0,0,0,0.00847457627118644,0.00847457627118644,0,0,0.00847457627118644,0.0169491525423729
49,3258,0,0,0.00352112676056338,0.00352112676056338,0,0.00704225352112676,0,0.433098591549296,0.545774647887324,0,0,0.00352112676056338,0,0,0,0,0,0,0.00352112676056338,0,0,0,0
61,3651,0,0,0,0.0317460317460317,0,0,0,0.523809523809524,0.428571428571429,0,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0
