"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Picea","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","cf..Myrica","Quercus","Rosaceae.undiff.","Ericales","Juniperus","Taxus","Ulmus","Ambrosia","Salix","Acer","Brassicaceae","Caprifoliaceae.undiff.","Fraxinus","Caryophyllaceae","Castanea","Humulus","Corylus","Ranunculaceae.undiff.","Fagus","Amaranthaceae","Ostrya.Carpinus","Filipendula","Shepherdia.canadensis","Tsuga","Urtica","Artemisia","Rumex.Oxyria.digyna","Epilobium","Cornus","Fabaceae","Sambucus","Circaea","Apiaceae","Saxifragaceae","Gentianaceae"
0,-30,310,14,66,1,88,1,2,116,4,10,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,193,345,4,46,6,92,0,5,151,4,9,0,4,14,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,417,396,3,85,6,69,0,4,192,6,13,0,6,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1311,368,10,105,2,150,1,4,63,2,13,1,1,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2206,307,6,118,1,94,0,1,56,3,9,0,1,13,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2653,311,15,89,1,109,0,1,52,5,18,2,0,14,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3101,316,6,130,4,78,0,0,60,8,13,0,0,11,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3548,317,6,135,2,73,0,1,63,6,17,0,1,9,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3995,312,7,133,4,58,0,0,65,4,18,3,0,12,0,1,0,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4666,350,39,158,4,70,0,3,43,2,10,3,3,8,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5007,320,17,112,1,87,0,2,35,2,46,2,1,1,3,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,5197,332,17,92,4,122,2,0,40,3,47,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5387,501,47,204,2,91,0,0,96,1,31,2,1,13,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
