"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Fraxinus.pennsylvanica","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Populus.tremuloides","Abies","Corylus","Juglans.cinerea","Juniperus.Thuja","Iva.annua","Amorpha","Iva.xanthifolia","Acer.saccharum","Fraxinus.nigra","Vitis","Populus.undiff.","Sarcobatus.vermiculatus","Rosaceae.undiff.","Carya","Acer.negundo","Acer.rubrum","Rumex","Comptonia.peregrina","Potentilla","Thalictrum","Ericaceae","Juglans.nigra","Populus.balsamifera","Apiaceae","Shepherdia.canadensis","Ephedra.trifurca.type","Pinus.undiff.","Ranunculus","Taxus","Celtis","Lamiaceae","Urticaceae","Plantago","Rubiaceae","Dalea.purpurea","Caryophyllaceae"
480,NA,444,9,14,4,6,1,6,1,6,44,25,1,1,5,6,8,1,32,1,32,237,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,349,9,12,4,10,0,6,0,10,40,30,1,0,3,4,4,6,18,0,36,147,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,346,8,4,7,14,0,1,1,11,39,14,3,0,0,1,3,9,26,2,44,156,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,NA,349,7,19,0,3,0,15,0,9,41,28,1,2,0,2,7,8,14,3,33,150,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,NA,355,14,6,5,4,0,8,0,12,38,21,1,0,0,7,15,10,17,1,41,141,0,0,2,0,0,3,0,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,NA,348,17,18,4,7,0,16,1,22,28,73,3,1,2,7,13,18,32,1,33,42,0,0,3,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,347,11,28,4,4,0,0,0,38,12,116,3,0,3,10,17,20,15,0,41,13,1,0,3,0,0,0,0,2,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,NA,348,20,16,9,8,1,4,0,45,5,20,3,0,1,16,30,15,15,0,117,13,0,0,2,0,0,2,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,NA,351,7,50,5,9,1,2,0,46,4,7,0,0,1,19,29,10,17,2,107,9,5,1,3,0,0,1,0,0,0,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,NA,346,2,36,3,7,3,6,2,49,1,7,2,0,1,20,26,12,12,1,132,3,2,3,5,0,1,3,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,NA,334,8,30,6,13,1,2,3,50,0,12,3,0,1,13,29,5,6,0,142,0,0,2,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,NA,348,13,42,4,7,2,5,6,49,1,11,4,1,1,16,34,5,2,0,126,3,0,4,1,1,1,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,NA,350,10,45,6,10,9,2,10,50,0,11,7,0,0,19,40,5,3,0,99,0,2,1,4,0,1,0,0,0,0,7,0,3,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
610,NA,344,6,51,1,8,2,4,10,50,0,9,6,0,1,11,35,6,3,0,120,0,0,6,5,1,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
620,NA,352,14,42,2,18,2,3,10,50,0,11,4,0,1,16,42,2,10,0,100,0,0,2,8,1,0,0,0,0,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
630,NA,296,8,54,1,6,3,5,16,0,0,16,3,0,1,23,40,6,6,0,0,0,0,8,5,0,1,0,0,0,0,4,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,0,0,0,0,0
640,NA,298,5,48,3,8,4,4,23,0,0,14,3,0,1,17,57,2,5,0,0,0,0,4,0,0,3,0,0,2,1,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,0,0,0,0
650,NA,301,6,56,1,14,7,8,21,0,0,17,3,0,1,28,36,4,3,1,0,0,7,9,1,0,3,0,0,0,0,6,0,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,56,0,0,1,0,0,0,0,0,0
