"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Carya","Celtis","Cupressaceae","Cyperaceae","Poaceae.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Quercus","Salix","Saxifragaceae","Ulmus","Vitis","Alnus","Amaranthaceae","Cephalanthus","Herbs.undiff.","Asteraceae.subf..Asteroideae.undiff.","Betula","Polygonum","Artemisia","Xanthium","Fraxinus","Corylus","Juglans.nigra","Thalictrum","Cerealia","Parthenocissus","Fagus","Rubus","Clethra","Acer.saccharum.type","Juglans.cinerea","Acer.negundo","Liriodendron","Rhus","Pinus.subg..Strobus","Fabaceae","Sambucus","Urtica.type","Rosaceae.undiff.","Cornus","Onagraceae","Picea","Populus"
1,36,0.00632911392405063,0.00632911392405063,0.10126582278481,0.0316455696202532,0.0126582278481013,0.0253164556962025,0.0506329113924051,0.0126582278481013,0.0506329113924051,0.126582278481013,0.0189873417721519,0.0886075949367089,0.107594936708861,0.00632911392405063,0.208860759493671,0.00632911392405063,0.0126582278481013,0.0379746835443038,0.0189873417721519,0.0569620253164557,0.0126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,137,0.0072463768115942,0,0.0652173913043478,0.036231884057971,0,0.0217391304347826,0.036231884057971,0.0072463768115942,0.0579710144927536,0.181159420289855,0,0.188405797101449,0.101449275362319,0.0072463768115942,0.22463768115942,0,0,0.0144927536231884,0,0.0144927536231884,0,0.0072463768115942,0.0072463768115942,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,262,0,0,0.0116959064327485,0.0175438596491228,0,0,0.140350877192982,0.0175438596491228,0.0467836257309941,0.157894736842105,0.00584795321637427,0.0935672514619883,0.105263157894737,0,0.251461988304094,0,0,0.0116959064327485,0,0.0526315789473684,0.00584795321637427,0,0.0292397660818713,0.0409356725146199,0.00584795321637427,0.00584795321637427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,388,0,0,0.00537634408602151,0.0268817204301075,0,0,0.0698924731182796,0.00537634408602151,0.043010752688172,0.198924731182796,0,0.145161290322581,0.112903225806452,0,0.290322580645161,0,0,0,0,0.00537634408602151,0.00537634408602151,0,0.0268817204301075,0.0483870967741935,0,0.00537634408602151,0.00537634408602151,0.00537634408602151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,656,0,0,0.00952380952380952,0.019047619047619,0,0.00476190476190476,0.080952380952381,0.00476190476190476,0.0285714285714286,0.247619047619048,0,0.104761904761905,0.0857142857142857,0,0.314285714285714,0,0,0,0,0.00476190476190476,0.00952380952380952,0,0.00952380952380952,0.0571428571428571,0.00476190476190476,0,0.00476190476190476,0.00476190476190476,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1478,0,0,0.019047619047619,0.0285714285714286,0,0,0,0.00476190476190476,0.0523809523809524,0.347619047619048,0.00476190476190476,0.00476190476190476,0.0952380952380952,0,0.376190476190476,0.00476190476190476,0,0.00476190476190476,0,0.0142857142857143,0.00952380952380952,0,0.00476190476190476,0.0142857142857143,0,0.00476190476190476,0,0,0,0.00476190476190476,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2300,0,0,0.0182926829268293,0.0365853658536585,0,0,0,0,0.048780487804878,0.49390243902439,0,0,0.0853658536585366,0,0.298780487804878,0,0.00609756097560976,0,0,0,0,0,0.00609756097560976,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2383,0.0131004366812227,0.00873362445414847,0.0174672489082969,0.165938864628821,0,0,0,0.0305676855895196,0.0436681222707424,0.0349344978165939,0,0,0.0262008733624454,0,0.489082969432314,0.0262008733624454,0.0131004366812227,0.00436681222707424,0.00873362445414847,0,0.00436681222707424,0.0174672489082969,0,0.0524017467248908,0.0218340611353712,0.0131004366812227,0,0,0,0,0,0.00436681222707424,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2687,0.0258064516129032,0,0.0129032258064516,0.109677419354839,0,0,0,0.0129032258064516,0.0451612903225806,0.174193548387097,0,0,0.0258064516129032,0,0.496774193548387,0.0387096774193548,0,0.0064516129032258,0.0064516129032258,0,0.0064516129032258,0.0064516129032258,0,0.0129032258064516,0.0064516129032258,0,0,0,0.0064516129032258,0,0,0,0,0.0064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2704,0,0.0151515151515152,0.0353535353535354,0.166666666666667,0.00505050505050505,0,0,0.0101010101010101,0.0454545454545455,0.121212121212121,0.0101010101010101,0.00505050505050505,0.0454545454545455,0,0.429292929292929,0,0.00505050505050505,0.0252525252525253,0.00505050505050505,0,0,0.00505050505050505,0.00505050505050505,0.0353535353535354,0.0101010101010101,0.00505050505050505,0,0,0,0,0,0,0.00505050505050505,0,0.00505050505050505,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
