"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Artemisia","Betula","Chamaedaphne.calyculata","Cupressaceae","Cyperaceae","Empetrum","Fagus","Gaultheria","Picea","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Alnus","Fraxinus","Myrica","Pinus","Amaranthaceae","Poaceae","Plantago","Ericaceae.undiff.","Acer.rubrum","Ambrosia.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Cornus","Ledum","Salix","Tilia","Pyrus.type","Carya","Cephalanthus","Gaylussacia","Ilex","Rhododendron","Rosaceae.undiff.","Juglans","Corylus","Ranunculaceae.undiff.","Populus","Sanguisorba","Brassicaceae","Caryophyllaceae","Polygonum"
0,261,592,26,5,2,103,13,2,4,18,2,1,77,4,1,31,1,1,2,32,1,19,227,1,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,304,486,27,6,1,110,25,0,2,26,1,5,72,0,0,5,1,2,3,42,2,51,67,0,9,0,9,1,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,348,419,16,0,0,106,21,2,1,26,4,1,88,2,1,21,0,1,3,10,0,20,70,0,3,1,10,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,394,318,25,0,0,43,66,0,1,8,0,0,56,0,0,9,0,0,1,12,0,39,45,0,1,0,3,0,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,441,681,11,4,0,102,49,0,0,73,1,1,144,3,0,37,0,2,0,8,0,23,190,0,0,0,25,1,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,490,611,46,1,0,59,21,0,1,34,6,0,124,0,0,64,0,1,1,6,2,10,218,0,0,0,9,0,0,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,540,354,26,0,0,63,9,0,0,28,8,0,84,2,0,29,0,1,0,4,1,4,86,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,592,713,29,1,0,150,38,2,2,55,22,0,101,1,0,65,0,0,0,11,0,28,169,0,0,0,19,0,0,0,0,0,0,10,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0
45,700,682,37,1,0,190,27,0,1,73,10,2,107,0,0,59,0,1,0,4,0,15,107,1,0,0,21,0,1,2,0,0,0,13,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
50,756,309,11,1,0,47,9,0,0,15,2,0,67,1,0,75,0,1,0,1,0,4,67,0,1,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,814,546,47,1,0,58,41,0,0,25,8,0,47,2,0,59,0,1,113,5,0,8,72,0,0,0,30,0,0,1,0,0,0,15,0,1,1,0,0,1,7,3,0,0,0,0,0,0,0,0,0
60,873,497,31,3,0,80,21,3,0,71,10,0,69,4,0,41,0,2,0,5,1,14,109,0,1,0,22,0,0,0,0,1,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
65,934,643,89,2,0,76,5,0,0,21,12,0,107,0,0,78,0,2,0,4,0,29,161,0,0,0,22,0,0,0,0,0,0,30,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0
70,996,349,5,1,0,49,42,0,0,74,3,0,39,1,0,30,0,1,0,3,0,4,75,0,0,0,18,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1060,203,24,0,0,11,4,0,0,3,3,0,52,0,0,24,0,0,0,0,0,3,66,0,0,0,6,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1125,265,15,0,0,65,20,0,1,1,4,0,44,0,0,23,0,0,0,2,0,2,73,0,1,0,1,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1261,323,14,2,0,166,2,0,0,4,5,0,25,1,0,24,0,1,0,7,0,14,53,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1402,629,21,7,0,164,2,1,1,22,20,0,78,0,0,78,0,3,0,16,1,67,134,0,0,0,5,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1475,123,10,0,0,14,3,0,0,4,13,0,10,0,0,14,0,0,0,1,0,7,45,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1550,274,13,1,0,55,0,0,0,8,5,0,27,0,0,50,0,1,0,1,3,24,80,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1626,253,25,2,0,32,0,0,0,11,9,0,36,4,0,17,0,0,0,5,1,20,76,0,0,0,2,0,0,3,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1703,463,21,0,1,57,2,0,1,9,2,0,48,1,0,79,0,0,0,8,0,24,196,0,0,0,5,0,0,1,0,1,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
125,1782,615,60,1,0,65,3,0,1,38,13,1,119,2,0,12,0,6,0,5,0,18,255,0,0,0,2,0,0,4,0,1,0,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
130,1863,591,18,2,1,131,1,0,0,28,10,1,101,2,0,75,1,3,0,10,3,16,164,0,1,0,7,2,0,3,0,2,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
135,1945,347,17,1,0,59,1,0,1,47,5,0,91,0,0,12,0,2,0,2,0,8,83,0,0,0,5,1,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
140,2028,572,36,3,0,135,0,1,1,2,18,0,135,13,0,70,0,0,0,17,1,3,120,0,0,0,4,0,0,8,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
145,2113,604,21,2,0,98,3,2,0,63,6,0,41,2,0,88,0,0,0,7,2,34,203,0,0,0,18,0,0,2,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2200,115,6,0,0,12,0,0,0,0,0,0,19,0,0,18,0,1,0,3,0,2,51,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2288,580,41,1,0,87,0,0,0,16,11,1,165,6,0,33,1,0,0,6,0,9,172,1,0,0,9,1,2,2,0,8,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
160,2378,344,7,0,0,31,1,0,0,2,3,0,65,1,0,40,0,0,0,1,0,8,170,0,0,0,6,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
165,2469,137,1,5,0,26,0,0,0,1,0,0,23,2,0,25,0,0,0,4,0,0,47,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2561,618,37,3,0,83,1,0,0,8,8,1,129,6,0,141,0,3,1,5,2,2,165,0,0,0,8,2,0,4,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2655,93,7,1,0,26,0,0,0,0,0,0,6,1,0,12,0,0,0,3,1,0,25,0,0,0,3,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2751,325,22,0,0,68,0,0,0,4,1,0,24,1,0,38,0,1,0,2,0,6,151,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
185,2848,567,27,2,0,30,7,0,0,34,3,0,77,0,0,51,0,1,0,0,0,4,316,0,0,0,9,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,2947,607,44,2,0,122,0,0,0,80,11,0,63,2,0,60,1,0,0,7,0,0,207,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3047,386,10,0,1,21,0,0,0,15,2,0,67,2,0,40,0,0,0,0,0,1,220,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,3149,470,12,1,1,91,16,0,0,5,0,0,40,1,0,22,0,0,0,7,0,1,232,0,0,0,12,0,0,1,0,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3252,586,24,0,0,107,5,0,0,17,1,0,78,0,0,28,1,0,4,10,1,0,291,0,0,1,7,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
210,3357,342,12,2,4,111,1,0,0,12,1,0,45,0,0,7,0,0,0,5,0,0,137,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,3463,527,16,0,0,39,1,0,0,9,1,0,62,0,0,33,0,0,0,0,0,1,353,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3571,243,6,0,0,18,0,0,0,3,0,0,21,0,0,10,0,0,0,1,1,0,173,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3680,364,13,0,0,30,8,0,0,18,1,0,28,0,0,18,0,0,0,0,0,0,236,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
230,3791,595,11,4,0,133,1,0,0,45,4,0,80,0,0,24,0,0,2,11,1,0,269,0,0,0,2,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3903,93,3,0,0,19,0,0,1,2,0,0,19,0,0,0,0,0,0,2,1,0,43,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4017,567,21,1,1,107,0,0,0,10,1,0,69,2,0,8,0,1,0,21,0,0,301,0,0,0,1,0,0,2,0,3,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,4249,647,100,0,1,100,5,0,0,33,0,0,70,7,0,0,0,6,4,15,3,0,281,0,0,0,6,1,0,3,0,6,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
255,4368,249,11,1,0,23,1,0,0,2,0,0,80,0,0,7,0,2,0,4,1,0,103,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4488,464,15,1,0,6,0,0,1,24,0,0,43,0,0,106,0,2,1,1,2,0,235,0,0,0,8,0,0,1,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4609,320,17,0,0,39,1,0,0,0,0,0,43,1,0,96,0,0,1,2,1,0,115,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4856,559,10,0,0,81,4,0,0,32,1,0,47,1,0,254,0,0,1,4,3,0,106,0,0,0,6,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,4982,752,24,3,0,90,16,0,0,81,0,0,84,3,0,48,0,2,6,2,7,0,362,0,0,0,11,0,1,0,0,6,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
285,5110,186,5,0,0,37,0,0,0,9,0,0,15,1,0,19,0,1,1,3,0,0,79,0,0,0,3,0,0,0,0,4,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
290,5239,410,8,2,0,41,0,0,2,16,0,0,21,2,0,42,0,1,0,14,0,0,249,0,1,0,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,5369,310,7,0,0,24,2,0,0,4,0,1,33,1,0,75,0,0,0,2,0,0,152,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
