"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Artemisia","Betula","Carya","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Liquidambar","Nemopanthus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Zea.mays","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Urticaceae","Plantago","Ranunculus","Juniperus","Castanea","Fabaceae","Thalictrum","Caryophyllaceae","Juglans.nigra","Nyssa","Ephedra","Xanthium","Coptis","Myrica","Potentilla.palustris","Lamiaceae","Cephalanthus","Juglans.undiff.","cf..Gentiana","Polygonum"
0,-14,1853,1,72,8,5,155,12,40,7,7,63,62,14,3,157,9,168,2,1,2,37,5,91,38,148,13,102,23,7,1,62,17,45,3,4,1,16,363,5,20,17,1,1,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,5,1270,0,50,9,0,75,13,8,3,17,69,71,13,4,123,3,15,2,0,0,22,0,9,25,40,8,82,31,6,1,80,19,62,2,0,0,8,342,9,8,11,0,0,27,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,45,1092,0,54,7,4,78,9,7,2,16,59,116,10,1,101,2,8,0,1,0,10,0,1,21,16,5,70,45,5,7,110,16,38,2,0,0,12,231,2,1,5,2,0,14,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,84,1128,0,51,6,1,96,5,5,2,19,61,120,13,2,102,3,1,5,1,2,15,2,2,14,15,5,70,52,4,5,94,13,29,0,0,0,13,267,4,0,6,0,0,11,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17.5,122,946,0,43,3,1,74,7,1,2,12,46,107,12,4,76,3,2,2,1,0,8,2,2,20,14,7,83,46,5,6,109,9,44,1,0,0,11,169,0,0,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,160,643,0,50,5,1,60,7,6,0,9,7,137,8,4,4,0,1,0,0,0,11,1,0,22,23,8,68,6,1,6,145,1,31,0,0,0,4,13,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27.5,198,601,0,38,8,2,59,7,4,1,8,4,114,8,5,0,2,0,0,0,0,12,3,1,25,16,5,77,0,0,7,152,1,26,0,0,0,5,6,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32.5,235,631,0,37,4,2,72,11,6,0,12,5,119,8,7,4,3,0,0,0,0,6,0,0,24,19,5,78,2,0,5,149,3,34,0,0,0,4,6,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.5,309,595,0,55,1,0,61,12,2,1,7,12,147,6,6,0,4,0,0,0,0,8,0,1,13,15,3,63,2,0,5,127,2,25,0,0,0,2,8,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
57.5,418,599,0,44,7,2,63,8,2,0,5,4,142,9,5,1,4,0,0,0,0,3,1,1,17,17,1,76,1,0,9,133,1,28,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72.5,530,611,0,43,4,2,61,10,0,2,9,5,162,9,4,1,3,3,0,0,0,12,0,0,12,11,2,60,0,0,8,150,0,22,0,0,0,6,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
92.5,688,599,0,40,4,0,44,9,2,1,1,13,208,5,3,2,0,3,0,0,0,8,0,1,17,14,6,60,0,0,10,105,1,33,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122.5,960,626,0,53,2,2,53,2,1,1,9,2,217,12,4,1,3,2,0,0,0,10,1,0,9,12,5,59,0,0,7,100,1,42,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
147.5,1232,580,0,48,3,0,54,9,1,0,5,8,217,6,4,0,0,2,0,1,0,11,0,1,14,6,4,63,0,0,6,86,1,21,0,0,0,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
