"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Carya.ovata","Corylus.cornuta","Rumex.type","Viburnum.edule","Acer.spicatum","Artemisia","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Salix.undiff.","Ranunculaceae.undiff.","Pinus.resinosa.type","Populus.balsamifera.type","Taxus","Viburnum.undiff.","Acer.pensylvanicum","Sambucus","Rosaceae.undiff.","Fraxinus.americana.type","Brassicaceae","Viburnum.lentago","Viburnum.nudum","Lamiaceae.undiff.","Rubiaceae.undiff.","Prunus.virginiana","Galium","Apiaceae","Caryophyllaceae","Potentilla.palustris.type","Prunella.type","Viburnum.alnifolium","Prunus.undiff.","Acer.undiff.","Saxifraga.oppositifolia.type","Urtica.type","Acer.cf..A..pensylvanicum","Celtis.occidentalis","Prunus.pensylvanica","Juglans.nigra","Acer.nigrum","Saxifraga.cernua.type","Linnaea.borealis","Cornus.alternifolia","Rhamnus.cathartica","cf..Sarcobatus.vermiculatus","Acer.negundo","cf..Oxyria.digyna","Fabaceae.undiff.","Asteraceae.undiff.","Onagraceae.undiff.","Salix.reticulata.type","Shepherdia.canadensis","Ephedra","Dryas","Salix.herbacea.type","Salix.vestita.type","Oxytropis.maydelliana.type","Rhamnus.alnifolia.R..frangula","Hypericum"
5,63,519,3,4,19,9,165,1,17,19,1,7,1,1,2,17,7,33,14,5,9,3,8,16,35,1,8,2,1,37,7,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,247,798,1,21,0,0,300,0,23,118,10,6,0,3,2,11,6,0,21,1,23,0,2,4,23,2,22,2,0,58,0,121,0,3,4,5,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,424,622,0,15,1,1,228,0,13,88,4,0,0,0,0,20,9,1,13,7,8,0,0,10,25,0,5,0,13,35,0,103,3,3,6,2,2,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,587,548,4,2,6,1,161,0,2,110,6,1,0,0,0,26,7,0,24,2,9,1,1,6,14,0,0,1,12,30,4,65,1,37,8,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,730,765,3,72,40,3,170,0,46,61,0,5,0,5,1,17,7,0,14,2,9,4,9,4,41,0,3,0,4,81,0,121,2,17,9,0,3,0,0,0,3,3,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,884,713,1,80,1,2,200,0,8,81,2,1,0,5,0,6,6,1,5,6,14,1,14,2,27,1,11,1,0,67,0,117,1,21,12,1,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,985,477,0,3,7,0,174,0,11,46,4,0,0,2,0,4,18,0,12,6,7,0,1,0,19,1,1,1,22,19,0,75,1,20,6,2,3,1,2,0,0,2,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1093,793,0,23,3,1,389,0,2,82,3,2,0,0,0,4,19,0,17,3,5,1,1,7,30,1,3,3,4,67,1,88,2,9,8,1,2,2,1,0,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1276,790,1,475,10,0,105,0,6,27,2,5,0,0,0,5,1,8,12,3,6,6,5,2,12,1,2,0,1,27,7,31,2,11,9,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1465,508,3,56,7,1,128,0,2,50,5,7,0,4,1,3,10,3,8,1,11,7,3,0,39,5,0,5,1,50,14,42,1,7,17,6,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
