"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Lamiaceae","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
100,1853,11,0,0,80,0,0,0,0,0,0,75,0,0,0,0,0,0,4,11,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
110,2041,28,0,0,43,0,0,1,1,3,0,96,0,0,0,0,0,0,7,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
120,2229,28,0,1,37,0,0,1,0,1,0,93,0,0,0,0,0,0,7,9,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3
130,2417,23,0,0,53,0,0,0,1,2,0,85,0,0,0,0,0,0,3,5,0,0,1,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,11,6,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,2
140,2606,22,0,0,50,0,0,1,0,5,0,87,0,0,0,0,1,0,3,7,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,1,2,1,0,0,1
150,2794,17,0,1,51,0,0,1,0,1,0,104,0,0,0,0,0,0,3,8,0,0,2,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
160,2982,17,0,1,62,0,0,1,0,2,0,84,0,0,0,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0
170,3170,31,0,0,52,0,0,0,1,2,0,77,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
180,3359,26,0,0,55,0,0,0,0,1,0,78,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1
190,3547,23,0,2,63,0,1,0,1,1,0,74,0,0,0,0,0,0,7,20,0,0,1,0,0,0,2,5,0,0,1,3,0,0,0,2,0,1,0,19,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
