"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Corylus.cornuta","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Nuphar","Onagraceae","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Saxifraga.cernua.type","Sphagnum","Thalictrum","Tsuga.canadensis","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.lentago"
15,598,4,0,0,4,73,0,0,1,4,77,0,0,0,0,0,0,0,45,0,0,2,1,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,142,33,15,14,8,11,1,0,0,0,0,0,0,0,21,2,0,0,0,3,5,0,0
20,800,8,0,0,0,95,0,1,6,1,54,0,0,0,0,0,0,0,53,0,0,2,0,0,0,0,0,3,0,1,0,2,9,1,0,0,2,0,0,211,21,10,8,2,11,0,0,1,3,0,0,1,0,38,0,1,1,1,4,2,0,0
30,1206,2,0,0,12,114,0,2,0,1,63,0,0,0,0,0,0,1,61,0,0,5,0,0,0,1,1,10,0,0,0,3,5,1,0,0,1,0,0,202,48,6,10,10,13,0,0,0,1,0,2,1,0,34,1,0,1,0,9,0,0,0
40,1613,6,0,0,5,65,0,0,3,2,53,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,1,0,1,0,0,234,15,12,9,1,11,0,1,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0
50,2019,12,0,0,3,73,1,0,1,2,62,0,0,0,1,0,0,0,34,0,0,2,0,1,0,1,0,3,0,0,0,2,3,1,0,0,2,0,0,206,31,9,4,5,6,0,0,0,0,0,0,0,1,18,0,1,0,1,1,0,0,0
60,2426,3,0,0,8,96,0,2,3,1,74,0,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,0,0,1,0,2,2,3,2,0,1,0,0,247,37,11,11,6,4,1,0,0,1,0,0,0,0,18,0,0,0,0,2,3,0,0
70,2882,9,1,0,46,152,1,1,1,6,85,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,1,0,5,7,0,2,0,2,0,0,183,26,26,7,3,11,0,1,1,0,0,0,1,0,22,0,0,0,0,12,5,0,0
80,3354,4,0,0,28,180,1,0,2,1,110,0,0,0,0,0,0,0,29,0,2,4,0,0,1,1,0,1,0,0,0,0,8,1,0,1,2,0,0,220,13,17,9,0,14,0,1,0,0,0,1,4,0,25,0,0,0,1,7,0,0,0
90,3826,7,0,1,19,151,0,1,1,0,101,0,0,0,0,0,1,2,37,0,0,4,0,0,0,1,0,6,0,0,0,5,6,0,1,0,4,0,1,226,22,13,3,4,5,0,0,0,1,0,0,0,0,23,0,0,1,1,6,1,0,0
100,4299,4,0,0,9,125,0,0,2,1,95,0,0,0,0,0,1,0,23,0,0,1,0,0,0,0,0,6,0,0,1,3,6,0,2,0,0,0,0,109,7,8,2,0,5,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0
