"sample.depths","sample.ages","Abies","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Populus","Poaceae","Iva.xanthifolia","Plantago","Acer.saccharum","Fraxinus.nigra","Acer.rubrum","Sarcobatus.vermiculatus","Carya","Caryophyllaceae","Thalictrum","Apiaceae","Xanthium","Brassicaceae","Rosaceae","Platanus","Fraxinus.americana.type","Amorpha","Humulus","Ranunculus.subg..Batrachium","Juglans.cinerea","Celtis","Vitis","Ephedra.torreyana.type","Iva.annua"
1,-15,0.000956937799043062,0.000239234449760766,0.00430622009569378,0.0148325358851675,0.00287081339712919,0.00167464114832536,0.000239234449760766,0.000478468899521531,0.000239234449760766,0.00191387559808612,0.00239234449760766,0.00430622009569378,0.00885167464114833,0.000239234449760766,0.000956937799043062,0.000478468899521531,0.000717703349282297,0.00358851674641148,0.00311004784688995,0.0124401913875598,0.0272727272727273,0.000239234449760766,0.904784688995215,0.000239234449760766,0.000239234449760766,0.000956937799043062,0.00143540669856459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,0.000821917808219178,0,0.0036986301369863,0.00712328767123288,0.00191780821917808,0.000684931506849315,0,0.000684931506849315,0,0.000410958904109589,0.00164383561643836,0.00136986301369863,0.00602739726027397,0,0.000410958904109589,0.000273972602739726,0,0.00287671232876712,0.00287671232876712,0.00589041095890411,0.0168493150684932,0,0.945205479452055,0,0.000136986301369863,0,0.000547945205479452,0.000136986301369863,0.000410958904109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,32,0.0010337374306926,9.3976130062964e-05,0.00394699746264449,0.00648435297434452,0.00169157034113335,0.00046988065031482,0,0.000375904520251856,0,0.000657832910440748,0.00281928390188892,0.00093976130062964,0.00507471102340006,9.3976130062964e-05,0.00046988065031482,0.000375904520251856,0.000845785170566676,0.0010337374306926,0.00272530777182596,0.0060144723240297,0.0228361996053003,0.000281928390188892,0.939667324499577,9.3976130062964e-05,9.3976130062964e-05,0.000375904520251856,0.000657832910440748,0,9.3976130062964e-05,9.3976130062964e-05,9.3976130062964e-05,0.000187952260125928,9.3976130062964e-05,9.3976130062964e-05,9.3976130062964e-05,9.3976130062964e-05,0,0,0,0,0,0,0,0,0,0
30,57,0.000932159502848265,0,0.00124287933713102,0.00797514241325738,0.000103573278094252,0.000414293112377007,0,0.000103573278094252,0,0.000310719834282755,0.00176074572760228,0.000932159502848265,0.00486794407042983,0,0.000103573278094252,0.000310719834282755,0.000517866390471258,0.00113930605903677,0.00134645261522527,0.0032107716209218,0.0145002589331952,0,0.959192128430865,0,0,0.000310719834282755,0.000310719834282755,0,0.000103573278094252,0,0,0.000103573278094252,0,0,0,0,0.000103573278094252,0.000103573278094252,0,0,0,0,0,0,0,0
40,234,0.000905797101449275,0.000113224637681159,0.00158514492753623,0.00554800724637681,0.000226449275362319,0.000226449275362319,0,0.000452898550724638,0,0.000905797101449275,0.000905797101449275,0.00192481884057971,0,0,0,0.000566123188405797,0.000452898550724638,0.00203804347826087,0.00113224637681159,0.00101902173913043,0.0180027173913043,0.000226449275362319,0.962635869565217,0.000113224637681159,0,0.000566123188405797,0.000113224637681159,0,0.000226449275362319,0,0,0,0,0,0,0,0,0,0.000113224637681159,0,0,0,0,0,0,0
50,563,0.00170621994726229,0,0.0027919962773383,0.00760043431053203,0.00077555452148286,0.00139599813866915,0.000155110904296572,0.000155110904296572,0,0.00170621994726229,0.00263688537304172,0.00263688537304172,0.00573910345897317,0,0.000310221808593144,0.00077555452148286,0.000620443617186288,0.00263688537304172,0.00186133085155886,0.00186133085155886,0.0192337521327749,0,0.944625407166124,0,0,0.000155110904296572,0.000155110904296572,0,0,0,0,0,0,0,0,0,0,0.000465332712889716,0,0,0,0,0,0,0,0
60,892,0.0009147935180345,0.000130684788290643,0.00117616309461579,0.00875588081547308,0.000261369576581286,0.000130684788290643,0,0,0,0.00104547830632514,0.001829587036069,0.00143753267119707,0.00483533716675379,0,0,0.000522739153162572,0.000522739153162572,0.00222164140094093,0.000653423941453215,0.00235232618923157,0.0168583376894929,0.000522739153162572,0.953998954521694,0,0,0.000522739153162572,0.0009147935180345,0,0.000130684788290643,0,0,0.000130684788290643,0,0,0,0,0,0,0,0.000130684788290643,0,0,0,0,0,0
70,1221,0.000451569202980357,0.000112892300745089,0.00203206141341161,0.00801535335290133,0.00112892300745089,0.000112892300745089,0,0,0,0.000903138405960713,0.00282230751862723,0.000677353804470535,0.0073379995484308,0,0,0.000451569202980357,0.000564461503725446,0.00158049221043125,0.000564461503725446,0.00124181530819598,0.0107247685707835,0.000225784601490178,0.959584556333258,0,0,0.000112892300745089,0.000225784601490178,0,0.000225784601490178,0.000112892300745089,0,0.000112892300745089,0,0,0,0.000112892300745089,0,0.000451569202980357,0,0,0.000112892300745089,0,0,0,0,0
80,1550,0.00105263157894737,0.000526315789473684,0.00631578947368421,0.0415789473684211,0.000526315789473684,0,0,0.000526315789473684,0,0.00157894736842105,0.0173684210526316,0.00157894736842105,0.0363157894736842,0,0.000526315789473684,0.00315789473684211,0.00263157894736842,0.01,0.00473684210526316,0.00421052631578947,0.0468421052631579,0,0.814736842105263,0.000526315789473684,0,0.000526315789473684,0.00368421052631579,0,0,0,0,0,0,0,0,0,0,0.00105263157894737,0,0,0,0,0,0,0,0
90,1879,0.000265533722782793,0,0.00424853956452469,0.0199150292087095,0.00185873605947955,0.000531067445565587,0,0.00106213489113117,0,0.000531067445565587,0.00663834306956984,0,0.0225703664365374,0,0,0.000531067445565587,0.00185873605947955,0.00504514073287307,0.00345193839617631,0.00132766861391397,0.0169941582580988,0.000531067445565587,0.908125331917153,0.000265533722782793,0,0.00106213489113117,0.00079660116834838,0,0.000265533722782793,0.000265533722782793,0.000265533722782793,0,0,0,0,0,0.000265533722782793,0.00106213489113117,0,0,0,0.000265533722782793,0,0,0,0
