"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Onagraceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Fagus","Juniperus.communis.Thuja.occidentalis.type","Ostrya.Carpinus","Corylus.cornuta","Fraxinus.nigra.type","Juglans.cinerea","Abies.balsamea","Caryophyllaceae","Fraxinus.pennsylvanica.type","Picea.glauca.type","Populus.tremuloides.type","Quercus","Tilia","Acer.saccharum","Saxifraga.oppositifolia.type","Ranunculaceae.undiff.","Ribes","cf..Oxyria.digyna","Acer.spicatum","Carya.ovata","Pinus.resinosa.type","Taxus","Potentilla.palustris.type","Fabaceae.undiff.","Urtica.type","Populus.balsamifera.type","Salix.herbacea.type","Salix.vestita.type","Castanea.dentata","Celtis.occidentalis","Oxytropis.maydelliana.type","Saxifraga.stellaris.type","Brassicaceae","Saxifraga.cernua.type"
5,493,0.0010989010989011,0.116483516483516,0.0021978021978022,0.0010989010989011,0.285714285714286,0.320879120879121,0.0263736263736264,0.00879120879120879,0.124175824175824,0.0021978021978022,0.0010989010989011,0.0010989010989011,0.0021978021978022,0.0043956043956044,0.0021978021978022,0.0010989010989011,0.010989010989011,0.0010989010989011,0.0032967032967033,0.0098901098901099,0.0010989010989011,0.0010989010989011,0.0010989010989011,0.0615384615384615,0.00879120879120879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1677,0.00404312668463612,0.105121293800539,0,0.00404312668463612,0.274932614555256,0.322102425876011,0.0215633423180593,0.00269541778975741,0.185983827493261,0.00134770889487871,0,0.00673854447439353,0,0.00269541778975741,0,0,0.00808625336927224,0,0.00134770889487871,0.0188679245283019,0,0,0,0.0296495956873315,0.00808625336927224,0.00134770889487871,0.00134770889487871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1892,0,0.103950103950104,0,0.00623700623700624,0.347193347193347,0.286902286902287,0.0311850311850312,0.00415800415800416,0.158004158004158,0,0,0,0,0,0.00415800415800416,0.00623700623700624,0.00207900207900208,0,0.00207900207900208,0.0145530145530146,0.00415800415800416,0,0.00415800415800416,0.0166320166320166,0.00415800415800416,0,0,0.00207900207900208,0.00207900207900208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2156,0.00393700787401575,0.146981627296588,0.0026246719160105,0.0078740157480315,0.293963254593176,0.263779527559055,0.015748031496063,0.00131233595800525,0.175853018372703,0.0026246719160105,0,0.0026246719160105,0,0,0,0.00131233595800525,0.0078740157480315,0,0.0183727034120735,0.0183727034120735,0,0,0,0.026246719160105,0.00656167979002625,0,0,0,0,0.00131233595800525,0.00131233595800525,0.00131233595800525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2401,0,0.115869017632242,0,0.0100755667506297,0.282115869017632,0.141057934508816,0.0075566750629723,0.00503778337531486,0.246851385390428,0,0,0,0.00503778337531486,0,0.035264483627204,0,0.00251889168765743,0,0.0100755667506297,0,0,0,0,0.0806045340050378,0,0,0,0.00251889168765743,0,0.00503778337531486,0.00251889168765743,0,0.00251889168765743,0.00251889168765743,0.0251889168765743,0.00251889168765743,0.0100755667506297,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2637,0,0.153271028037383,0.00186915887850467,0.00747663551401869,0.267289719626168,0.127102803738318,0.0168224299065421,0.00373831775700935,0.308411214953271,0.00186915887850467,0,0.00186915887850467,0,0.00186915887850467,0.00560747663551402,0,0.0280373831775701,0,0.00373831775700935,0.0168224299065421,0,0,0,0.0523364485981308,0,0,0,0,0,0.00186915887850467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2747,0,0.0918114143920596,0,0.00248138957816377,0.228287841191067,0.0570719602977667,0.0124069478908189,0.00744416873449132,0.315136476426799,0.00248138957816377,0,0,0,0,0.00744416873449132,0,0.032258064516129,0,0.00496277915632754,0.00744416873449132,0,0,0,0.225806451612903,0.00248138957816377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248138957816377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2914,0,0.172727272727273,0.00181818181818182,0.00363636363636364,0.250909090909091,0.0690909090909091,0.00545454545454545,0.00181818181818182,0.383636363636364,0.00181818181818182,0,0.00363636363636364,0.00181818181818182,0,0,0,0.00545454545454545,0,0.00363636363636364,0.02,0,0,0,0.0727272727272727,0.00181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3122,0,0.181114551083591,0.00154798761609907,0.00773993808049536,0.218266253869969,0.0526315789473684,0.00464396284829721,0,0.303405572755418,0.00619195046439629,0,0.00154798761609907,0,0.00154798761609907,0.00154798761609907,0,0.0154798761609907,0,0.0108359133126935,0.00309597523219814,0,0,0,0.185758513931889,0.00154798761609907,0,0,0,0.00154798761609907,0,0,0,0,0,0,0,0,0,0,0,0.00154798761609907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3354,0.00851063829787234,0.278723404255319,0.00638297872340425,0.0106382978723404,0.365957446808511,0.0425531914893617,0.0106382978723404,0.00212765957446809,0.21063829787234,0.00212765957446809,0,0,0,0.00212765957446809,0,0,0.0127659574468085,0,0,0,0,0,0,0.0468085106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
