"sample.depths","sample.ages","Picea.undiff.","Picea.mariana","Picea.glauca","Pinus.undiff.","Pinus.strobus","Pinus.banksiana.P..divaricata","Abies.undiff.","Tsuga.undiff.","Larix.undiff.","Betula","Populus","Quercus","Ulmus","Fagus.undiff.","Carya","Acer.undiff.","Acer.saccharum","Acer.rubrum","Acer.pensylvanicum","Acer.spicatum","Acer.nigrum","Fraxinus.undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica","Tilia","Ostrya.Carpinus","Juglans","Juniperus","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana.type","Salix","Corylus","Shepherdia.canadensis","Myrica.undiff.","Myrica.gale","Viburnum","Cornus","Castanea","Ericaceae","Taxus.undiff.","Poaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Chenopodiineae","Rosaceae.undiff.","Polygonaceae.undiff.","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Potentilla","Saxifragaceae","Impatiens","Epilobium","Androsace","Rumex","Urticaceae","Campanulaceae","Fabaceae","Dryas","Apiaceae","Rubiaceae","Cyperaceae","Oxyria.digyna","Ilex.Nemopanthus","Abies.Balsamea","Larix.Laricina","Tsuga.canadensis","Fagus.Grandifolia","Taxus.canadensis","Plantaginaceae","Cerealia"
2.5,6,0.052,0,0,0.064,0.024,0.014,0.024,0,0,0.642,0,0.01,0.004,0.032,0,0,0.004,0.002,0,0.002,0,0,0.006,0.002,0,0.002,0,0.002,0,0.008,0.032,0,0.01,0,0.028,0,0,0,0,0.006,0,0.01,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0.002,0
12.5,207,0.0639097744360902,0,0,0.0789473684210526,0.037593984962406,0.0112781954887218,0.0225563909774436,0.0037593984962406,0.0018796992481203,0.62406015037594,0,0.0131578947368421,0,0.0206766917293233,0,0,0,0.0018796992481203,0,0,0,0,0.0018796992481203,0.0018796992481203,0,0.0018796992481203,0,0.0206766917293233,0,0.0056390977443609,0.0300751879699248,0.0018796992481203,0.0018796992481203,0,0.0075187969924812,0,0,0,0,0.0018796992481203,0,0.0075187969924812,0,0,0.0056390977443609,0,0,0,0,0,0,0,0,0,0,0,0,0.0093984962406015,0,0,0,0,0,0,0.0206766917293233,0,0,0,0,0,0,0,0,0.0018796992481203
22.5,408,0.094188376753507,0,0,0.0681362725450902,0.0460921843687375,0.0180360721442886,0.0420841683366733,0.00200400801603206,0.00200400801603206,0.607214428857715,0.00200400801603206,0.00601202404809619,0,0.0220440881763527,0,0,0.00400801603206413,0,0,0,0,0,0.00400801603206413,0.00200400801603206,0,0,0,0.0160320641282565,0,0.0100200400801603,0.0220440881763527,0,0.00200400801603206,0,0.00601202404809619,0,0,0,0,0,0,0.00601202404809619,0,0,0.00200400801603206,0,0,0,0,0,0,0,0.00200400801603206,0,0,0,0,0,0,0,0,0,0,0,0.0140280561122244,0,0,0,0,0,0,0,0,0
35,659,0.0625620655412115,0,0,0.0436941410129096,0.0943396226415094,0.00794438927507448,0.0297914597815293,0.0099304865938431,0.00099304865938431,0.616683217477656,0.00099304865938431,0.00794438927507448,0.00397219463753724,0.0357497517378352,0,0,0.00595829195630586,0.00099304865938431,0.00297914597815293,0.00099304865938431,0,0,0.00297914597815293,0,0,0.00198609731876862,0,0.012909632571996,0,0.00595829195630586,0.0178748758689176,0.00099304865938431,0.00198609731876862,0,0.00695134061569017,0,0,0,0,0,0.00099304865938431,0.00794438927507448,0,0,0,0.00099304865938431,0,0,0,0,0,0,0,0,0,0,0,0.00099304865938431,0,0,0,0,0,0,0.0119165839126117,0,0,0,0,0,0,0,0,0
45,860,0.053388090349076,0,0,0.055441478439425,0.123203285420945,0.00410677618069815,0.0205338809034908,0,0,0.562628336755647,0.00410677618069815,0.00616016427104723,0.00205338809034908,0.0616016427104723,0,0,0.00616016427104723,0.00205338809034908,0,0,0,0,0.0082135523613963,0.00205338809034908,0,0.00205338809034908,0,0.00616016427104723,0,0.00205338809034908,0.0349075975359343,0.00410677618069815,0,0,0.0102669404517454,0,0,0,0,0.00410677618069815,0,0.00410677618069815,0.00205338809034908,0,0,0,0,0,0,0,0,0.00205338809034908,0,0,0,0,0,0,0,0,0,0,0,0,0.0164271047227926,0,0,0,0,0,0,0,0,0
55,1060,0.0401529636711281,0,0,0.0382409177820268,0.0803059273422562,0.00573613766730402,0.0095602294455067,0.00764818355640535,0,0.732313575525813,0,0.0133843212237094,0,0.0382409177820268,0,0,0.00382409177820268,0,0,0,0,0,0.00191204588910134,0.00191204588910134,0,0,0,0,0,0,0.0095602294455067,0,0.00191204588910134,0,0.00191204588910134,0,0,0,0,0,0,0.00191204588910134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0.00764818355640535,0,0.00191204588910134,0,0,0,0,0,0,0
65,1261,0.0297029702970297,0,0,0.0554455445544554,0.0653465346534653,0.00198019801980198,0.0316831683168317,0.00396039603960396,0.00396039603960396,0.653465346534653,0,0.0099009900990099,0.00792079207920792,0.0455445544554455,0,0,0.00198019801980198,0.00198019801980198,0.00198019801980198,0,0,0,0.0118811881188119,0,0,0.00198019801980198,0,0.00792079207920792,0,0.00594059405940594,0.0118811881188119,0,0.00198019801980198,0,0.00792079207920792,0,0.00198019801980198,0,0,0.00594059405940594,0,0.0138613861386139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138613861386139,0,0,0,0,0,0,0,0,0
85,1663,0.0516898608349901,0,0,0.0318091451292246,0.0636182902584493,0.00198807157057654,0.0298210735586481,0.00198807157057654,0,0.715705765407555,0,0.00397614314115308,0.00397614314115308,0.0417495029821074,0,0,0.00397614314115308,0.00198807157057654,0.00198807157057654,0.00198807157057654,0,0,0.00795228628230616,0,0,0.00198807157057654,0,0.00198807157057654,0,0.00198807157057654,0.0139165009940358,0,0,0,0.00596421471172962,0,0,0,0,0.00198807157057654,0,0.00596421471172962,0,0,0,0.00198807157057654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2064,0.0360824742268041,0,0,0.0326460481099656,0.156357388316151,0.00343642611683849,0.0189003436426117,0.00343642611683849,0,0.620274914089347,0,0.013745704467354,0.00171821305841924,0.0549828178694158,0,0,0.00171821305841924,0,0.00343642611683849,0,0,0,0.00171821305841924,0.00171821305841924,0.00171821305841924,0,0,0.00171821305841924,0,0.00171821305841924,0.0257731958762887,0.00171821305841924,0.00343642611683849,0,0.00515463917525773,0,0.00171821305841924,0,0,0.00171821305841924,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171821305841924,0,0,0,0,0,0,0,0,0
125,2466,0.0555555555555556,0,0,0.0416666666666667,0.140873015873016,0,0.0257936507936508,0,0,0.60515873015873,0.00198412698412698,0.0178571428571429,0.00198412698412698,0.0337301587301587,0,0,0.00595238095238095,0,0.00198412698412698,0,0,0,0.00793650793650794,0.00396825396825397,0,0,0,0,0,0.00595238095238095,0.0198412698412698,0.00595238095238095,0,0,0.00992063492063492,0,0,0,0,0.00595238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198412698412698,0.00595238095238095,0,0,0,0,0,0,0,0,0
