"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Populus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Salix","Thalictrum","Poaceae","Iva.annua.type","Ericaceae","Ulmus","Vitis","Myricaceae","Tsuga","Onagraceae","Platanus","Acer.negundo","Pinus.undiff.","Amorpha.type","Carya","Caryophyllaceae","Rumex","Urtica.type","Shepherdia","Rosaceae","Moraceae","Juglans.nigra"
10,104,352,1,2,4,7,32,1,1,3,4,1,1,1,34,195,27,2,3,2,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,361,759,6,1,12,14,57,0,0,4,5,0,7,2,106,439,37,10,0,4,41,1,1,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,619,335,2,1,2,5,26,2,0,2,3,0,2,1,38,204,26,2,0,1,15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,876,553,7,1,3,10,33,1,1,1,3,0,14,0,87,300,29,10,0,3,33,3,0,0,2,0,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1390,349,1,0,2,3,25,2,2,4,5,0,2,0,30,220,12,4,0,3,24,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1647,361,5,0,0,5,41,2,1,5,1,2,5,3,23,205,14,3,0,1,42,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1904,358,5,0,1,7,35,0,0,4,2,1,6,5,37,189,26,4,0,0,22,4,1,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90,2162,353,3,0,2,6,21,2,1,10,3,0,7,0,29,204,21,3,0,1,28,2,0,0,1,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2419,705,10,0,8,8,66,2,4,5,4,2,11,2,66,372,47,8,1,5,63,8,0,0,1,2,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2933,461,3,0,2,5,55,0,1,3,1,1,2,2,31,240,50,6,0,3,35,6,0,0,2,0,8,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,3190,350,4,0,3,4,25,1,3,6,3,2,2,0,28,198,28,4,0,1,28,1,1,0,1,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,3447,489,4,0,3,4,53,1,1,3,4,2,4,3,25,281,33,7,0,1,45,6,1,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3705,375,4,0,5,6,40,0,0,3,1,2,0,0,26,232,4,6,0,1,38,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,3962,397,4,0,0,4,42,1,0,4,5,3,3,1,14,248,15,10,0,0,32,2,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,4219,367,2,0,2,7,53,1,1,12,1,1,3,2,17,210,9,4,0,2,28,7,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4476,709,7,0,4,15,74,1,3,7,4,2,2,1,30,401,49,15,0,4,68,3,1,0,1,0,12,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
190,4733,394,3,0,4,9,48,0,0,5,5,1,2,0,18,229,21,6,0,1,29,5,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4990,495,5,0,9,10,43,2,1,7,3,1,6,1,13,277,46,7,0,5,43,4,0,0,1,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
