"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
1,6,0,0,0,15,2,3,2,0,0,16,0,0,1,9,0,0,0,0,0,0,2,0,0,1,3,1,0,1,0,0,0,213,38,0,0,0,1,0,0,1,0,0,2,0,0,44,1,0,0,0,0,3,0
10,69,0,0,0,29,0,7,2,0,0,20,0,0,1,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,225,25,0,0,1,0,0,0,2,0,0,1,0,0,47,0,1,0,0,0,2,0
20,195,0,0,0,39,0,1,4,0,0,39,0,0,4,12,0,0,4,0,0,0,2,0,0,0,3,0,0,3,0,0,0,162,38,0,0,0,0,1,0,1,0,0,8,0,0,80,0,0,0,0,0,0,0
30,377,0,0,1,18,0,3,5,1,0,17,0,0,0,16,0,1,1,0,0,0,1,0,0,0,10,0,0,1,0,0,0,218,32,0,0,1,0,0,0,1,0,0,1,0,0,41,0,0,1,0,0,0,0
40,560,0,0,0,28,0,1,6,0,0,21,0,0,0,19,0,0,4,0,0,0,3,0,0,0,8,0,0,2,3,0,0,205,42,0,0,1,0,0,0,1,0,0,2,0,0,73,0,0,0,0,0,1,0
50,742,0,0,0,36,0,1,18,2,0,34,0,0,2,20,0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,153,47,0,0,0,0,0,0,1,0,0,1,0,0,98,1,0,0,0,0,0,0
60,925,0,0,0,44,1,0,1,3,0,36,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,211,30,0,0,1,1,0,0,1,1,0,1,0,0,34,0,0,0,0,0,0,0
70,1107,2,0,0,35,0,0,6,1,0,29,0,0,0,17,0,0,3,0,0,0,0,0,0,0,6,0,0,1,0,0,0,225,29,0,0,1,0,0,0,5,2,0,2,0,0,71,0,0,0,0,0,0,0
80,1289,1,0,0,31,1,0,8,4,0,30,0,0,0,19,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,214,32,0,0,0,0,0,0,0,0,1,2,0,0,37,0,0,0,0,0,1,0
90,1472,1,0,0,31,2,1,7,5,0,32,0,0,2,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,203,34,0,0,0,0,0,0,1,0,0,3,0,0,41,0,0,0,0,1,0,0
100,1654,1,0,0,21,3,0,4,2,0,32,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,212,29,0,0,2,2,1,0,4,0,0,3,0,0,48,0,0,0,0,0,1,0
110,1837,1,0,0,36,0,1,7,2,0,28,0,0,2,15,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,188,46,0,0,1,2,0,0,0,1,0,1,0,0,41,0,0,0,0,1,0,0
120,2019,1,0,0,50,1,0,3,1,0,40,0,0,0,14,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,0,0,179,29,0,0,1,1,1,0,0,0,0,1,0,0,40,0,0,0,0,0,1,0
130,2202,0,0,0,41,1,0,3,2,0,29,0,0,2,9,0,0,2,0,1,0,0,0,0,0,8,0,0,1,0,0,0,184,39,0,0,0,1,0,0,2,1,0,3,0,0,29,0,0,0,0,0,1,0
140,2384,0,0,0,23,0,0,4,1,0,18,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,222,47,0,0,0,0,0,0,1,0,1,0,0,0,27,0,0,0,0,0,0,0
150,2566,0,1,0,35,0,0,19,1,0,28,0,0,1,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,219,39,0,0,1,0,0,0,2,0,0,1,0,0,25,0,0,0,0,0,0,0
160,2749,1,1,0,33,1,0,3,0,0,38,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,207,35,0,0,0,2,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0
170,2931,2,0,0,41,0,0,8,0,0,27,0,0,1,7,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,191,36,0,0,1,0,0,0,0,1,0,4,0,0,25,0,0,0,0,0,1,0
180,3163,1,0,0,44,0,0,3,1,0,24,0,0,0,7,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,200,37,0,0,0,2,1,0,1,0,0,1,0,0,11,0,0,0,0,0,1,0
190,3445,0,0,0,36,3,1,6,0,0,21,0,1,3,8,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,213,24,0,0,1,2,0,0,2,1,0,3,0,0,20,0,0,0,0,1,2,0
200,3727,2,0,0,46,1,1,10,3,0,26,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,195,29,0,0,1,0,0,0,2,2,0,0,0,0,20,0,0,0,0,0,0,0
210,4008,1,0,0,43,0,0,9,3,0,28,0,0,1,9,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,1,181,45,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
220,4290,0,0,0,41,2,1,9,0,0,38,0,0,2,16,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,182,32,0,0,1,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0,0,0
230,4571,1,0,0,53,0,1,3,1,0,21,0,0,1,6,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,179,37,0,0,0,2,0,0,1,0,0,1,0,0,23,0,0,0,0,0,0,0
240,4853,0,0,0,23,0,0,6,2,0,26,0,0,0,8,0,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,234,37,0,0,2,0,0,0,3,0,0,1,0,0,41,0,0,0,0,0,0,0
250,5135,0,0,0,33,0,4,7,0,1,41,0,0,0,9,0,1,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,175,32,0,0,0,0,0,0,2,0,0,1,0,0,15,0,0,0,0,1,1,0
260,5416,0,0,0,14,1,1,4,0,0,24,0,0,2,9,0,0,0,0,1,0,1,0,0,0,6,1,0,0,0,0,0,223,38,0,0,0,0,1,0,1,0,0,1,0,0,20,0,0,0,0,0,1,0
270,5698,0,0,0,31,1,0,5,0,0,25,0,0,3,8,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,199,27,0,0,0,2,1,0,2,0,0,1,0,0,20,0,0,0,0,0,0,0
