"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Juglans.cinerea","Juglans.nigra","Juniperus.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus","Quercus","Ranunculaceae","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rumex.type","Salix","Sarracenia.purpurea","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
10,305,17,0,0,0,0,8,7,1,17,1,1,0,127,0,0,0,0,0,12,0,0,0,5,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,73,7,0,5,0,20,4,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,23,0,0,1,0,0,0,2,0,0,0
25,761,25,1,0,0,1,8,3,0,7,0,5,0,106,0,0,1,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,69,12,0,2,0,16,7,0,0,0,1,0,0,0,0,5,0,0,0,1,1,0,16,0,0,1,0,1,0,1,2,0,0
40,1218,44,0,0,10,0,19,10,1,0,0,1,0,359,0,0,0,0,1,102,0,0,0,16,13,8,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,12,70,35,0,0,0,51,13,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,11,0,7,0,2,0,1,0
50,1523,35,0,0,10,0,7,4,0,1,0,1,0,275,0,2,0,1,0,24,0,0,0,17,9,0,0,1,4,0,0,0,3,0,0,3,0,0,0,0,2,0,1,89,24,2,0,0,43,14,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,5,0,0,9,1,3,5,1,0,0,0
65,1980,35,0,0,6,0,14,3,0,0,0,1,0,315,0,1,0,1,1,41,0,0,0,3,12,5,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,9,75,24,0,0,0,78,14,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,17,0,0,8,0,6,0,0,1,0,0
75,2284,23,0,0,6,0,8,4,0,2,0,3,0,348,0,0,1,0,0,47,0,0,0,12,12,2,2,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,75,35,0,2,0,56,28,0,0,0,2,0,0,0,0,9,0,0,0,0,1,0,16,0,0,3,0,0,1,2,1,0,0
85,2589,21,0,0,3,1,3,1,0,2,0,1,2,238,0,0,0,0,0,9,0,0,0,9,4,2,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,9,55,12,0,0,0,69,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,3,0,1,0,2,0,0,0
100,3046,33,0,0,7,0,10,16,0,1,0,4,1,533,0,0,0,0,0,89,0,0,0,14,6,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,59,24,2,0,0,87,29,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,16,0,9,1,4,0,0,0
110,3350,46,0,0,5,0,7,5,2,3,0,1,1,597,0,1,1,1,0,141,0,0,0,47,7,9,3,1,3,1,0,0,3,0,0,0,0,0,0,0,2,0,16,60,42,0,0,0,160,59,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,66,3,0,33,0,12,4,2,2,0,0
125,3807,16,1,0,6,0,9,6,0,3,0,1,0,634,0,2,0,0,1,25,0,0,0,46,6,13,1,1,4,1,0,0,1,1,0,0,0,0,0,1,1,0,0,48,35,1,1,0,150,67,1,0,0,1,0,0,0,0,15,0,0,0,0,1,0,96,0,1,13,1,8,2,4,2,0,0
