"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Ceanothus","Celtis","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Gleditsia","Ilex.Nemopanthus","Juglans","Larix","Moraceae","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnaceae.undiff.","Salix","Shepherdia","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Lamiaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Saxifragaceae"
1,-27,343,6,10,56,2,0,0,0,2,1,0,0,1,0,2,1,0,0,2,6,2,14,103,64,4,1,33,0,0,0,0,4,6,0,7,0,0,1,0,0,8,0,0,4,2,0,1,0
25,168,510,4,20,86,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,6,2,14,142,116,2,1,71,1,1,0,2,4,6,0,6,0,3,1,0,0,14,0,0,1,0,0,1,0
50,371,478,6,22,86,1,0,0,0,3,7,1,0,7,0,2,2,0,0,0,7,1,19,77,68,2,5,112,2,2,0,0,2,10,0,2,0,5,4,0,1,6,1,0,13,2,0,0,0
65,493,418,1,54,112,0,1,0,0,7,5,0,0,3,0,1,0,0,0,0,11,0,4,21,30,1,3,104,1,5,0,1,2,7,0,11,0,7,3,1,4,5,0,0,11,2,0,0,0
80,619,537,5,22,70,1,0,0,0,1,2,0,0,6,0,0,2,0,0,0,12,0,19,190,69,2,3,73,0,1,0,0,4,10,0,5,0,12,6,0,4,7,1,0,9,1,0,0,0
90,704,532,5,34,160,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,8,1,18,86,28,0,6,126,2,2,0,0,0,10,0,9,0,4,4,0,2,11,0,0,9,1,0,0,0
100,789,407,5,27,62,2,0,1,0,0,2,0,0,9,0,0,1,2,0,0,9,1,10,31,19,4,1,155,0,2,0,1,3,10,0,7,0,11,6,1,3,12,0,0,9,1,0,0,0
120,960,528,12,30,99,2,1,0,0,3,2,0,0,5,0,0,4,0,0,0,21,0,3,73,50,0,4,160,0,0,0,3,1,13,0,8,0,6,5,0,2,4,1,0,15,1,0,0,0
130,1088,661,21,23,117,1,0,0,0,2,1,0,0,19,0,0,1,0,0,0,20,0,13,126,48,2,5,197,0,1,0,3,1,20,0,6,0,8,5,0,1,10,3,0,7,0,0,0,0
150,1345,430,4,11,52,1,0,0,0,2,0,0,0,2,0,0,3,1,0,0,12,0,8,189,80,1,1,38,1,0,0,6,0,8,0,3,0,1,2,0,1,2,0,0,1,0,0,0,0
169,1589,410,5,17,74,1,0,0,0,4,0,0,0,2,0,0,1,1,0,0,9,0,9,93,69,1,6,87,0,0,0,0,1,6,0,5,0,1,1,0,2,8,0,0,7,0,0,0,0
190,1858,725,5,14,111,0,0,0,0,4,0,0,0,16,0,0,3,0,0,0,12,0,11,159,127,1,2,180,1,2,0,6,0,25,0,6,0,11,8,0,4,7,0,0,9,1,0,0,0
220,2243,604,8,43,58,4,1,0,0,5,2,0,0,8,0,0,4,0,1,1,11,1,8,68,123,2,3,141,0,5,0,7,0,24,0,10,0,11,8,1,7,20,0,0,18,0,1,0,0
250,2629,306,1,35,38,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,9,1,4,34,59,0,0,70,0,1,0,2,0,8,0,12,0,6,3,0,0,5,0,0,12,1,0,0,0
280,3014,629,1,50,50,2,0,0,0,3,1,0,0,4,0,0,7,3,1,0,3,1,13,52,72,0,6,265,1,1,0,3,0,9,0,13,0,10,3,0,8,23,0,0,23,0,1,0,0
300,3271,320,3,27,22,0,0,0,0,1,3,0,0,5,0,0,3,2,0,0,7,0,12,24,13,0,0,120,0,2,0,1,0,4,0,11,0,14,11,0,5,15,0,0,14,0,0,0,1
310,3399,618,5,29,30,0,0,0,0,6,3,0,0,3,0,0,1,0,0,0,11,2,22,56,33,3,4,281,0,4,0,2,0,29,0,13,0,13,5,0,12,22,0,0,29,0,0,0,0
330,3478,566,7,27,51,2,0,0,0,3,4,0,0,7,0,1,4,2,2,0,9,0,38,88,49,1,2,153,1,3,0,2,2,13,0,17,0,17,1,0,13,17,0,0,29,0,0,1,0
350,3557,551,4,27,23,3,0,0,0,2,2,0,0,7,0,0,8,1,0,0,23,0,12,75,68,0,3,170,0,2,0,6,0,28,0,13,0,16,7,0,5,15,1,0,30,0,0,0,0
370,3637,560,6,45,22,3,0,0,0,3,1,0,0,7,0,0,4,0,0,0,29,0,7,47,42,2,1,198,2,3,0,3,1,28,0,16,0,17,12,1,6,15,1,1,36,0,0,1,0
400,3755,460,4,21,25,4,0,0,0,2,3,0,2,11,0,0,6,0,0,0,25,1,6,33,20,2,2,171,1,4,0,4,0,35,0,18,0,9,4,1,7,11,0,0,28,0,0,0,0
430,4027,499,5,20,11,7,0,0,0,5,1,0,0,6,0,0,7,0,0,0,26,0,11,46,24,0,3,191,1,7,0,5,0,54,0,10,0,13,7,0,11,12,1,0,15,0,0,0,0
450,4429,559,5,25,33,8,0,1,1,7,3,0,0,10,0,0,4,0,0,1,67,2,5,31,31,3,7,158,1,3,0,17,1,61,0,15,0,10,7,0,6,13,1,0,21,1,0,0,0
460,4629,392,5,10,42,1,0,0,0,3,3,0,0,8,0,0,3,0,1,0,63,0,3,34,22,3,3,71,1,1,0,9,0,44,0,15,0,9,1,0,8,11,1,0,17,0,0,0,0
480,5031,547,6,36,61,3,0,1,0,11,2,0,0,15,0,0,3,0,0,0,78,0,8,52,51,4,3,86,1,3,0,7,0,54,0,9,0,11,5,0,6,12,1,0,18,0,0,0,0
500,5448,492,9,24,26,8,0,1,0,2,4,0,0,15,0,0,4,0,0,0,45,1,15,36,33,1,0,124,0,2,0,5,0,55,0,17,0,12,4,0,10,16,1,0,21,1,0,0,0
510,5681,537,4,39,24,7,0,0,0,6,1,0,0,4,0,0,0,0,0,0,12,1,15,39,166,2,0,101,0,2,0,0,0,35,0,13,0,14,8,0,16,17,1,0,9,1,0,0,0
520,5914,516,6,42,30,1,0,0,0,10,1,1,0,6,0,0,2,0,1,0,16,1,45,33,111,0,0,77,0,8,0,2,0,50,0,18,0,14,3,0,3,10,0,0,24,1,0,0,0
538,6333,391,4,15,20,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,10,1,8,15,59,2,1,172,0,2,0,0,0,28,0,12,0,5,5,0,6,10,0,0,9,0,0,0,0
560,6845,423,4,8,16,2,0,0,0,3,0,0,0,5,0,0,1,1,0,0,26,0,13,16,48,1,0,127,0,4,0,2,0,37,0,24,0,18,5,0,16,9,0,0,36,0,1,0,0
580,7310,595,7,47,52,2,0,0,0,8,0,1,0,7,0,0,0,0,0,0,19,2,39,65,85,3,6,72,2,16,0,2,0,48,0,26,0,21,4,0,10,14,0,0,36,0,1,0,0
600,7776,585,5,52,42,4,0,0,0,10,2,0,0,22,0,0,4,0,0,0,39,0,47,47,73,0,3,109,1,1,0,0,0,48,0,11,0,17,6,0,11,17,2,0,12,0,0,0,0
630,8474,691,5,88,54,6,1,0,0,25,7,0,0,19,1,0,1,0,1,0,38,3,42,40,75,3,5,110,0,6,0,3,0,57,0,32,1,20,6,0,11,16,0,0,15,0,0,0,0
650,8940,395,1,20,15,7,0,0,0,7,3,1,0,7,0,0,0,0,0,0,9,1,39,9,110,0,0,44,1,4,0,0,0,40,0,31,0,4,4,0,9,12,0,0,17,0,0,0,0
670,9406,495,2,17,22,4,1,0,0,6,2,1,0,14,0,0,0,0,0,2,22,1,79,13,111,0,3,55,2,3,0,0,0,44,0,16,0,11,4,0,10,10,0,0,40,0,0,0,0
690,9871,507,8,38,30,4,0,0,0,6,0,0,0,9,0,0,3,2,1,1,20,3,99,10,47,4,11,76,0,8,0,2,0,80,0,2,0,9,0,0,5,6,1,0,22,0,0,0,0
700,10104,701,5,86,92,12,0,1,1,6,2,0,0,39,0,0,2,0,0,0,31,5,104,9,36,1,3,108,0,1,0,2,0,89,0,10,0,12,2,1,10,15,0,0,16,0,0,0,0
730,10802,310,2,43,64,5,0,0,0,2,0,0,0,7,0,0,1,0,0,0,8,4,30,5,43,0,1,38,0,4,0,1,0,39,0,0,0,5,0,0,1,1,0,0,6,0,0,0,0
760,12497,352,3,26,54,2,0,0,0,3,2,0,0,16,0,0,4,0,0,0,11,10,61,0,62,0,0,23,0,0,1,0,0,53,0,5,0,2,2,0,0,5,0,0,7,0,0,0,0
780,NA,569,4,38,87,11,0,0,0,4,4,0,0,14,0,0,1,0,1,0,30,6,72,8,84,4,2,75,0,3,1,2,0,83,0,6,0,5,2,0,6,12,0,0,3,1,0,0,0
800,NA,349,1,8,91,3,0,1,0,7,1,0,0,6,0,0,4,0,1,0,7,11,52,2,52,0,2,25,0,5,0,0,0,39,1,3,0,4,0,0,8,5,0,0,10,0,0,0,0
820,NA,513,0,4,87,0,0,0,0,5,9,0,0,56,0,0,0,4,1,0,9,101,78,5,48,1,0,18,0,9,0,0,0,28,0,4,0,13,2,1,1,10,1,0,14,3,0,1,0
840,NA,288,1,6,26,0,0,0,0,3,1,1,0,14,0,0,0,0,0,0,5,153,1,2,8,0,1,12,0,4,1,0,0,3,0,3,0,16,4,1,1,6,1,0,14,0,0,0,0
860,NA,206,0,6,20,0,0,0,0,1,0,0,0,12,0,0,1,3,1,1,4,117,1,1,3,0,1,5,0,4,0,0,0,1,0,0,0,5,2,0,1,9,0,0,5,2,0,0,0
884,NA,473,2,7,66,0,0,0,0,7,15,0,0,15,0,0,0,1,1,0,7,195,0,0,3,0,2,15,0,23,1,0,0,13,0,6,0,41,8,0,6,14,0,0,22,2,1,0,0
900,NA,340,0,9,17,0,0,0,0,1,3,0,0,5,0,0,0,2,0,0,2,208,1,0,2,0,5,6,0,11,1,0,0,11,0,2,0,14,2,0,3,11,1,0,21,1,0,1,0
920,NA,292,0,12,37,0,0,0,0,9,5,0,0,11,0,0,0,3,0,0,3,123,0,0,0,0,2,9,0,9,0,0,0,14,0,3,0,19,2,1,3,8,0,0,18,0,1,0,0
940,NA,297,0,9,20,0,0,0,0,2,1,0,0,14,0,0,0,2,0,0,3,168,1,0,0,0,1,17,0,7,0,0,1,8,0,2,0,15,3,0,1,8,0,0,14,0,0,0,0
