"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Ranunculus.subg..Batrachium","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Zea.mays"
0,-21,927,1,0,0,12,2,40,20,0,0,0,6,0,6,8,3,0,7,0,14,2,48,1,1,43,467,0,0,0,0,7,22,7,112,0,3,11,1,0,6,35,0,0,0,3,33,1,3,1,0,0,0,0,1
25,66,629,1,0,1,17,2,26,5,0,0,1,9,0,6,2,1,0,11,0,8,3,59,0,2,33,12,1,0,0,5,8,33,0,214,0,3,3,0,1,10,94,0,0,0,1,54,0,0,2,0,0,1,0,0
45,135,387,1,0,0,13,2,9,1,0,0,0,20,0,4,1,1,0,25,0,2,5,103,0,0,24,5,0,0,0,10,7,9,0,28,0,0,2,2,0,1,99,0,0,0,0,12,0,0,1,0,0,0,0,0
65,205,773,0,0,0,20,1,38,5,0,0,0,23,0,14,3,1,0,10,0,16,0,115,1,0,33,0,0,0,0,4,23,16,0,3,0,1,1,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0
85,274,656,0,0,0,6,2,29,3,0,0,0,6,0,10,3,5,0,4,0,5,0,165,0,0,50,1,0,0,0,8,15,10,0,8,0,0,1,0,0,2,321,0,0,0,1,1,0,0,0,0,0,0,0,0
105,343,534,2,0,1,19,2,46,2,0,0,0,7,0,10,6,1,0,8,0,26,1,108,0,0,62,0,0,0,0,3,11,15,0,1,0,1,3,0,0,0,197,0,0,0,0,2,0,0,0,0,0,0,0,0
120,395,488,0,0,1,17,1,37,7,0,1,0,20,0,8,4,3,0,6,0,13,0,112,4,0,64,0,0,0,0,2,9,11,0,4,0,0,0,0,0,0,163,0,0,0,0,0,1,0,0,0,0,0,0,0
125,413,528,0,0,0,21,3,48,5,1,0,0,86,0,29,0,3,1,2,0,17,2,155,5,5,53,0,0,0,0,5,32,34,0,6,0,1,0,0,0,1,0,1,0,0,0,10,0,0,2,0,0,0,0,0
145,482,469,1,0,0,15,1,60,5,0,0,0,20,0,6,11,3,0,4,0,18,2,77,2,1,61,0,0,0,0,2,16,18,0,2,0,1,2,0,0,0,137,0,0,0,0,4,0,0,0,0,0,0,0,0
165,552,478,1,0,0,13,1,32,2,0,0,1,22,0,13,10,4,0,10,0,13,1,72,1,0,73,2,0,0,0,5,14,21,0,9,0,2,5,0,0,0,146,0,0,0,0,2,0,1,0,0,2,0,0,0
